Address1,CountyName,original_index,unique_index,count
1720 university blvd,jefferson,0,0,24
1720 university blvd,jefferson,1,0,24
1720 university blvd,jefferson,2,0,24
1720 university blvd,jefferson,3,0,24
1720 university blvd,jefferson,4,0,24
1720 university blvd,jefferson,5,0,24
1720 university blvd,jefferson,6,0,24
1720 university blvd,jefferson,7,0,24
1300 south montgomery avenue,jefferson,8,1,22
1300 south montgomery avenue,jefferson,9,1,22
1300 south montgomery avenue,jefferson,10,1,22
1300 south montgomery avenue,jefferson,11,1,22
1300 south montgomery avenue,jefferson,12,1,22
1300 south montgomery avenue,jefferson,13,1,22
1300 south montgomery avenue,jefferson,14,1,22
1300 south montgomery avenue,jefferson,15,1,22
1300 south montgomery avenue,jefferson,16,1,22
1300 south montgomery avenue,jefferson,17,1,22
1300 south montgomery avenue,jefferson,18,1,22
1108 ross clark circle,houston,19,2,25
1108 ross clark circle,houston,20,2,25
1108 ross clark circle,houston,21,2,25
1108 ross clark circle,houston,22,2,25
1108 ross clark circle,houston,23,2,25
1108 ross clark circle,houston,24,2,25
1108 ross clark circle,houston,25,2,25
1108 ross clark circle,houston,26,2,25
1108 ross clark circle,houston,27,2,25
1108 ross clark circle,houston,28,2,25
1108 ross clark circle,houston,29,2,25
1108 ross clark circle,houston,30,2,25
1108 ross clark circle,houston,31,2,25
1108 ross clark circle,houston,32,2,25
1108 ross clark circle,houston,33,2,25
1108 ross clark circle,houston,34,2,25
1108 ross clark circle,houston,35,2,25
1108 ross clark circle,houston,36,2,25
1108 ross clark circle,houston,37,2,25
1108 ross clark circle,houston,38,2,25
1108 ross clark circle,houston,39,2,25
1108 ross clark circle,houston,40,2,25
1108 ross clark circle,houston,41,2,25
1108 ross clark circle,houston,42,2,25
1108 ross clark circle,houston,43,2,25
2505 u s highway 431 north,marshall,44,3,23
2505 u s highway 431 north,marshall,45,3,23
2505 u s highway 431 north,marshall,46,3,23
2505 u s highway 431 north,marshall,47,3,23
2505 u s highway 431 north,marshall,48,3,23
2505 u s highway 431 north,marshall,49,3,23
2505 u s highway 431 north,marshall,50,3,23
2505 u s highway 431 north,marshall,51,3,23
2505 u s highway 431 north,marshall,52,3,23
2505 u s highway 431 north,marshall,53,3,23
2505 u s highway 431 north,marshall,54,3,23
2505 u s highway 431 north,marshall,55,3,23
2505 u s highway 431 north,marshall,56,3,23
2505xuxsxhighwayx431xnorth,marshall,57,4,1
2505 u s highway 431 north,marshall,58,3,23
2505 u s highway 431 north,marshall,59,3,23
2505 u s highway 431 north,marshall,60,3,23
2505 u s highway 431 north,marshall,61,3,23
2505 u s highway 431 north,marshall,62,3,23
2505 u s highway 431 north,marshall,63,3,23
2505 u s highway 431 north,marshall,64,3,23
2505 u s highway 431 north,marshall,65,3,23
2505 u s highway 431 north,marshall,66,3,23
2505 u s highway 431 north,mxrshxll,67,5,1
2505 u s highway 431 north,marshall,68,3,23
205 marengo street,lauderdale,69,6,23
205 marengo street,lauderdale,70,6,23
205 marengo street,lauderdale,71,6,23
205 marengo street,laudxrdalx,72,7,1
205 marengo street,lauderdale,73,6,23
205 marengo street,lauderdale,74,6,23
205 marengo street,lauderdale,75,6,23
205 marengo street,lauderdale,76,6,23
205 marengo street,laudexdale,77,8,1
205 marengo street,lauderdale,78,6,23
205 marengo street,lauderdale,79,6,23
205 marengo street,lauderdale,80,6,23
205 marengo street,lauderdale,81,6,23
205 marengo street,lauderdale,82,6,23
205 marengo street,lauderdale,83,6,23
205 marengo street,lauderdale,84,6,23
205 marengo street,lauderdale,85,6,23
205 marengo street,lauderdale,86,6,23
205 marengo street,lauderdale,87,6,23
205 marengo street,lauderdale,88,6,23
205 marengo street,lauderdale,89,6,23
205 marengo street,lauderdale,90,6,23
205 marengo street,lauderdale,91,6,23
205 marengo street,lauderdale,92,6,23
205 marengo street,lauderdale,93,6,23
702xnxmainxst,covington,94,9,1
702 n main st,covington,95,10,23
702 n main st,covington,96,10,23
702 n main st,covington,97,10,23
702 n main st,covington,98,10,23
702 n main st,covington,99,10,23
702 n main st,covington,100,10,23
702 n main st,covington,101,10,23
702 n main st,covington,102,10,23
702 n main st,covington,103,10,23
702 n main st,covington,104,10,23
702 n main st,covington,105,10,23
702 x maix st,covington,106,11,1
702 n main st,covington,107,10,23
702 n main st,covington,108,10,23
702 n main st,covington,109,10,23
702 n main st,covington,110,10,23
702 n main st,covington,111,10,23
702 n main st,covington,112,10,23
702 n main st,covington,113,10,23
702 n main st,covington,114,10,23
702 n main st,covington,115,10,23
702 n main st,covington,116,10,23
702 n main st,covington,117,10,23
702 n main st,covington,118,10,23
101 hospital circle,crenshaw,119,12,24
101 hospital circle,crenshaw,120,12,24
101 hospital circle,crenshaw,121,12,24
101 hospital circle,crenshaw,122,12,24
101 hospital circle,crenshaw,123,12,24
101 hospital circle,crenshaw,124,12,24
101 hospital circle,crenshaw,125,12,24
101 hospital circle,crenshaw,126,12,24
101 hospital circle,crenshaw,127,12,24
101 hospital circle,crenshaw,128,12,24
101 hospital circle,crenshaw,129,12,24
101 hospital circle,crenshaw,130,12,24
101 hospital circle,crenshaw,131,12,24
101 hospital circle,crenshaw,132,12,24
101 hospital circle,crenshaw,133,12,24
101 hospital circle,crenshaw,134,12,24
101 hospital circle,crenshaw,135,12,24
101 hospital circle,crxnshaw,136,13,1
101 hospital circle,crenshaw,137,12,24
101 hospital circle,crenshaw,138,12,24
101 hospital circle,crenshaw,139,12,24
101 hospital circle,crenshaw,140,12,24
101 hospital circle,crenshaw,141,12,24
101 hospital circle,crenshaw,142,12,24
101 hospital circle,crenshaw,143,12,24
201 pine street northwest,morgan,144,14,24
201 pine street northwest,morgan,145,14,24
201 pine street northwest,morgan,146,14,24
201 pine street northwest,morgan,147,14,24
201 pine street northwest,morgan,148,14,24
201 pine street northwest,morgan,149,14,24
201 pine street northwest,morgan,150,14,24
201 pine street northwest,morgan,151,14,24
