sample        ,original_index,unique_index
empty         ,0,0
empty         ,1,0
empty         ,2,0
empty         ,3,0
empty         ,4,0
empty         ,5,0
empty         ,6,0
empty         ,7,0
33 patients   ,8,1
13 patients   ,9,2
4 patients    ,10,3
4 patients    ,11,3
14 patients   ,12,4
0 patients    ,13,5
0 patients    ,14,5
114 patients  ,15,6
149 patients  ,16,7
3x patients   ,17,8
41 patients   ,18,9
270 patients  ,19,10
516 patients  ,20,11
71 patients   ,21,12
244 patients  ,22,13
441 patients  ,23,14
0 patients    ,24,5
40 patients   ,25,15
455 patients  ,26,16
514 patients  ,27,17
165 patients  ,28,18
110 patients  ,29,19
191 patients  ,30,20
125 patients  ,31,21
107 patients  ,32,22
196 patients  ,33,23
147 patients  ,34,24
160 patients  ,35,25
79 patients   ,36,26
399 patients  ,37,27
405 patients  ,38,28
385 patients  ,39,29
136 patients  ,40,30
537 patients  ,41,31
185 patients  ,42,32
184 patients  ,43,33
20 patients   ,44,34
5 patients    ,45,35
2 patients    ,46,36
0 patients    ,47,5
5 patients    ,48,35
0 patients    ,49,5
0 patients    ,50,5
110 patients  ,51,19
160 patients  ,52,25
69 patients   ,53,37
34 patients   ,54,38
172 patients  ,55,39
120 patients  ,56,40
98 patients   ,57,41
211 patients  ,58,42
175 patients  ,59,43
118 patients  ,60,44
14 patients   ,61,4
168 patients  ,62,45
167 patients  ,63,46
158 patients  ,64,47
0 patients    ,65,5
237 patients  ,66,48
76 patients   ,67,49
76 patients   ,68,49
159 patients  ,69,50
247 patients  ,70,51
43 patients   ,71,52
103 patients  ,72,53
227 patients  ,73,54
0 patients    ,74,5
61 patients   ,75,55
217 patients  ,76,56
259 patients  ,77,57
84 patients   ,78,58
53 patients   ,79,59
174 patients  ,80,60
137 patients  ,81,61
65 patients   ,82,62
200 patients  ,83,63
138 patients  ,84,64
85 patients   ,85,65
107 patients  ,86,22
457 patients  ,87,66
462 patients  ,88,67
439 patients  ,89,68
130 patients  ,90,69
619 paxienxs  ,91,70
242 patients  ,92,71
242 patients  ,93,71
5 patients    ,94,35
2 patients    ,95,36
0 patients    ,96,5
0 patients    ,97,5
2 patients    ,98,36
0 patients    ,99,5
0 patients    ,100,5
59 patients   ,101,72
76 patients   ,102,49
14 patients   ,103,4
8 patients    ,104,73
85 patients   ,105,65
64 patients   ,106,74
28 patients   ,107,75
87 patients   ,108,76
57 patients   ,109,77
63 patients   ,110,78
11 patients   ,111,79
101 patients  ,112,80
101 patients  ,113,80
100 patients  ,114,81
0 patixnts    ,115,82
123 patients  ,116,83
77 patients   ,117,84
76 patients   ,118,49
1 patients    ,119,85
1 patients    ,120,85
0 patients    ,121,5
0 patients    ,122,5
1 patients    ,123,85
0 patients    ,124,5
0 patients    ,125,5
26 patients   ,126,86
39 patients   ,127,87
8 patients    ,128,73
5 patients    ,129,35
16 patients   ,130,88
15 patients   ,131,89
9 patients    ,132,90
21 pxtients   ,133,91
21 patients   ,134,92
15 patients   ,135,89
1 patients    ,136,85
2 patients    ,137,36
2 patients    ,138,36
2 patients    ,139,36
0 patients    ,140,5
4 patients    ,141,3
4 patients    ,142,3
4 patients    ,143,3
6 patients    ,144,93
1 patients    ,145,85
1 patients    ,146,85
2 patients    ,147,36
3 patients    ,148,94
0 patients    ,149,5
0 patients    ,150,5
35 patients   ,151,95
42 patients   ,152,96
10 patients   ,153,97
12 patients   ,154,98
44 patients   ,155,99
30 patients   ,156,100
25 patients   ,157,101
51 patients   ,158,102
45 patients   ,159,103
30 patients   ,160,100
3 patients    ,161,94
6 patients    ,162,93
7 patients    ,163,104
5 patients    ,164,35
0 patients    ,165,5
xx patients   ,166,105
9 patients    ,167,90
9 patients    ,168,90
8 patients    ,169,73
6xpatients    ,170,106
2 patients    ,171,36
2 patients    ,172,36
6 patients    ,173,93
0 patients    ,174,5
0 patients    ,175,5
55 patients   ,176,107
80 patients   ,177,108
27 patients   ,178,109
10 patients   ,179,97
128 patients  ,180,110
115 patients  ,181,111
65 patients   ,182,62
158 patients  ,183,47
133 patients  ,184,112
101 patients  ,185,80
14 patients   ,186,4
66 patients   ,187,113
64 patients   ,188,74
63 patients   ,189,78
0 patients    ,190,5
155 patients  ,191,114
56 patients   ,192,115
56 patients   ,193,115
240 patients  ,194,116
295 patients  ,195,117
70 patients   ,196,118
131 patients  ,197,119
288 patients  ,198,120
0 patients    ,199,5
48 patients   ,200,121
316 patients  ,201,122
372 patients  ,202,123
130 patients  ,203,69
69 patients   ,204,37
125 patients  ,205,21
131 patients  ,206,119
69 patients   ,207,37
135 patients  ,208,124
112 patients  ,209,125
89 patients   ,210,126
125 patients  ,211,21
461 patients  ,212,127
473 patients  ,213,128
442 patients  ,214,129
127 patients  ,215,130
601 patients  ,216,131
229 patients  ,217,132
224 patients  ,218,133
46 patients   ,219,134
39 patients   ,220,87
11 patients   ,221,79
14 patients   ,222,4
41 patients   ,223,9
1 patiexts    ,224,135
5 patients    ,225,35
76 patients   ,226,49
94 patients   ,227,136
36 patients   ,228,137
15 patients   ,229,89
69 patients   ,230,37
91 patients   ,231,138
37 patients   ,232,139
88 patients   ,233,140
82 patientx   ,234,141
56 patients   ,235,115
16 patients   ,236,88
139 patients  ,237,142
147 patients  ,238,24
136 patients  ,239,30
0 patients    ,240,5
179 patients  ,241,143
90 patients   ,242,144
90 patients   ,243,144
0 patients    ,244,5
0 patients    ,245,5
0 patients    ,246,5
0 patients    ,247,5
0 patients    ,248,5
0 patients    ,249,5
0 patients    ,250,5
79 patients   ,251,26
91 patients   ,252,138
25 patients   ,253,101
17 patients   ,254,145
25 patients   ,255,101
24 patients   ,256,146
6 patients    ,257,93
24 patients   ,258,146
26 patients   ,259,86
24 patients   ,260,146
empty         ,261,0
14 patients   ,262,4
14 patients   ,263,4
14 patients   ,264,4
0 patients    ,265,5
15 patients   ,266,89
10 patients   ,267,97
10 patients   ,268,97
179 patients  ,269,143
208 patients  ,270,147
30 patients   ,271,100
98 patients   ,272,41
169 patients  ,273,148
0 patients    ,274,5
36 patients   ,275,137
210 patients  ,276,149
246 patients  ,277,150
71 patients   ,278,12
48 patients   ,279,121
235 patients  ,280,151
110 patients  ,281,19
131 patients  ,282,119
239 patients  ,283,152
116 patients  ,284,153
199 patients  ,285,154
96 patients   ,286,155
368 patients  ,287,156
370 patients  ,288,157
