PhoneNumber,HospitalOwner,original_index,unique_index,count
2053258100,voluntary non-profit - private,0,0,25
2053258100,voluntary non-profit - private,1,0,25
2053258100,voluntary non-profit - private,2,0,25
2053258100,voluntary non-profit - private,3,0,25
2053258100,voluntary non-profit - private,4,0,25
2053258100,voluntary non-profit - private,5,0,25
2053258100,voluntary non-profit - private,6,0,25
2053258100,voluntary non-profit - private,7,0,25
2563864556,government - hospital district or authority,8,1,24
2563864556,government - hospital district or authority,9,1,24
2563864556,government - hospital district or authority,10,1,24
2563864556,government - hospital district or authority,11,1,24
2563864556,government - hospital district or authority,12,1,24
2563864556,government - hospital district or authority,13,1,24
2563864556,government - hospital district or authority,14,1,24
2563864556,government - hospital district or authority,15,1,24
2563864556,government - hospital district or authority,16,1,24
2563864556,government - hospital district or authority,17,1,24
2563864556,government - hospital district or authority,18,1,24
3347938701,government - hospital district or authority,19,2,19
3347938701,government - hospital district or authority,20,2,19
3347938701,government - hospital district or authority,21,2,19
3347938701,government - hospxtal dxstrxct or authorxty,22,3,1
3347938701,government - hospital district or authority,23,2,19
334793870x,government - hospital district or authority,24,4,1
3347938701,government - hospital district or authority,25,2,19
3347938701,government - hospital district or authority,26,2,19
3347938701,government - hospital xistrict or authority,27,5,1
3347938701,government - hospital district or authority,28,2,19
3347938701,government - hospital district or authority,29,2,19
3347938701,government - hospital district or authority,30,2,19
3347938701,governmenx - hospixal disxricx or auxhorixy,31,6,1
3347938701,government - hospital district or authority,32,2,19
3347938701,government - hospital district or authority,33,2,19
3347938701,government - hospital district or authority,34,2,19
3347938701,government - hospital district or authority,35,2,19
xx479x8701,government - hospital district or authority,36,7,1
3347938701,government - hospital district or authority,37,2,19
3347938701,government - hospital district or authority,38,2,19
3347938701,government - hospital district or authority,39,2,19
3347938701,government - hospital district or authority,40,2,19
3347938701,government - hospital district or authority,41,2,19
3347938701,gxvernment - hxspital district xr authxrity,42,8,1
3347938701,government - hospital district or authority,43,2,19
2565938310,government - hospital district or authority,44,9,22
2565938310,government - hospital district or authority,45,9,22
2565938310,government - hospital district or authority,46,9,22
2565938310,government - hospital district or authority,47,9,22
2565938310,government - hospital district or authority,48,9,22
2565938310,government - hospital district or authority,49,9,22
2565938310,government - hospital district or authority,50,9,22
2565938310,government - hospital district or authority,51,9,22
2565938310,government - hospital district or authority,52,9,22
2565938310,government - hospital district or authority,53,9,22
2565938310,government - hospital district or authority,54,9,22
2565938310,government - hospital district or authority,55,9,22
2565938310,government - hospital district or authority,56,9,22
2x6x938310,government - hospital district or authority,57,10,2
2565938310,government - hospital district or authority,58,9,22
2565938310,government - hospital district or authority,59,9,22
2x6x938310,government - hospital district or authority,60,10,2
2565938310,government - hospital district or authority,61,9,22
2565938310,government - hospital district or authority,62,9,22
2565938310,government - hospital district or authority,63,9,22
2565938310,government - hospital district or authority,64,9,22
2565x38310,government - hospital district or authority,65,11,1
2565938310,government - hospital district or authority,66,9,22
2565938310,government - hospital district or authority,67,9,22
2565938310,government - hospital district or authority,68,9,22
2567688400,voluntary non-profit - other,69,12,25
2567688400,voluntary non-profit - other,70,12,25
2567688400,voluntary non-profit - other,71,12,25
2567688400,voluntary non-profit - other,72,12,25
2567688400,voluntary non-profit - other,73,12,25
2567688400,voluntary non-profit - other,74,12,25
2567688400,voluntary non-profit - other,75,12,25
2567688400,voluntary non-profit - other,76,12,25
2567688400,voluntary non-profit - other,77,12,25
2567688400,voluntary non-profit - other,78,12,25
2567688400,voluntary non-profit - other,79,12,25
2567688400,voluntary non-profit - other,80,12,25
2567688400,voluntary non-profit - other,81,12,25
2567688400,voluntary non-profit - other,82,12,25
2567688400,voluntary non-profit - other,83,12,25
2567688400,voluntary non-profit - other,84,12,25
2567688400,voluntary non-profit - other,85,12,25
2567688400,voluntary non-profit - other,86,12,25
2567688400,voluntary non-profit - other,87,12,25
2567688400,voluntary non-profit - other,88,12,25
2567688400,voluntary non-profit - other,89,12,25
2567688400,voluntary non-profit - other,90,12,25
2567688400,voluntary non-profit - other,91,12,25
2567688400,voluntary non-profit - other,92,12,25
2567688400,voluntary non-profit - other,93,12,25
3344933541,voluntary non-profit - private,94,13,23
3344933541,voluntary non-profit - private,95,13,23
3344933541,voluntary non-profit - private,96,13,23
3344933541,voluntary non-profit - private,97,13,23
3344933541,voluntary non-profit - private,98,13,23
3344933541,voluntary non-profit - private,99,13,23
3344933541,voluntary non-profit - private,100,13,23
3344x33541,voluntary non-profit - private,101,14,1
3344933541,voluntary non-profit - private,102,13,23
3344933541,voluntary non-profit - private,103,13,23
3344933541,voluntary non-profit - private,104,13,23
3344933541,voluntary non-profit - private,105,13,23
3344933541,voluntary non-profit - private,106,13,23
3344933541,voluntary non-profit - private,107,13,23
3344933541,voluntary non-profit - private,108,13,23
3344933541,voluntary non-profit - private,109,13,23
3344933541,voluntary non-profit - private,110,13,23
3344933541,voluntary non-profit - private,111,13,23
3344933541,voluntary non-profit - private,112,13,23
3344933541,volunxary non-profix - privaxe,113,15,1
3344933541,voluntary non-profit - private,114,13,23
3344933541,voluntary non-profit - private,115,13,23
3344933541,voluntary non-profit - private,116,13,23
3344933541,voluntary non-profit - private,117,13,23
3344933541,voluntary non-profit - private,118,13,23
3343353374,government - federal,119,16,25
3343353374,government - federal,120,16,25
3343353374,government - federal,121,16,25
3343353374,government - federal,122,16,25
3343353374,government - federal,123,16,25
3343353374,government - federal,124,16,25
3343353374,government - federal,125,16,25
3343353374,government - federal,126,16,25
3343353374,government - federal,127,16,25
3343353374,government - federal,128,16,25
3343353374,government - federal,129,16,25
3343353374,government - federal,130,16,25
3343353374,government - federal,131,16,25
3343353374,government - federal,132,16,25
3343353374,government - federal,133,16,25
3343353374,government - federal,134,16,25
3343353374,government - federal,135,16,25
3343353374,government - federal,136,16,25
3343353374,government - federal,137,16,25
3343353374,government - federal,138,16,25
3343353374,government - federal,139,16,25
3343353374,government - federal,140,16,25
3343353374,government - federal,141,16,25
3343353374,government - federal,142,16,25
3343353374,government - federal,143,16,25
2567736511,proprietary,144,17,21
2567736511,proprietary,145,17,21
2567736511,proprietary,146,17,21
2567736511,proprietary,147,17,21
2567736511,proprietary,148,17,21
2567736511,proprietary,149,17,21
2567736511,proprietary,150,17,21
2567736511,proprietary,151,17,21
2567736511,proprietary,152,17,21
2567736511,proprietary,153,17,21
2567736511,proprietary,154,17,21
2567736511,proprietary,155,17,21
2567736511,proprietary,156,17,21
2567736511,pxopxietaxy,157,18,2
2567736511,proprietary,158,17,21
2567736511,proxrietary,159,19,1
2567736511,proprietary,160,17,21
2567736511,proprietary,161,17,21
2567736511,xroprietary,162,20,1
2567736511,proprietary,163,17,21
2567736511,pxopxietaxy,164,18,2
2567736511,proprietary,165,17,21
2567736511,proprietary,166,17,21
2567736511,proprietary,167,17,21
2567736511,proprietary,168,17,21
2565718000,government - hospital district or authority,169,21,25
2565718000,government - hospital district or authority,170,21,25
2565718000,government - hospital district or authority,171,21,25
2565718000,government - hospital district or authority,172,21,25
2565718000,government - hospital district or authority,173,21,25
2565718000,government - hospital district or authority,174,21,25
2565718000,government - hospital district or authority,175,21,25
2565718000,government - hospital district or authority,176,21,25
2565718000,government - hospital district or authority,177,21,25
2565718000,government - hospital district or authority,178,21,25
2565718000,government - hospital district or authority,179,21,25
2565718000,government - hospital district or authority,180,21,25
2565718000,government - hospital district or authority,181,21,25
2565718000,government - hospital district or authority,182,21,25
2565718000,government - hospital district or authority,183,21,25
2565718000,government - hospital district or authority,184,21,25
2565718000,government - hospital district or authority,185,21,25
2565718000,government - hospital district or authority,186,21,25
2565718000,government - hospital district or authority,187,21,25
2565718000,government - hospital district or authority,188,21,25
2565718000,government - hospital district or authority,189,21,25
2565718000,government - hospital district or authority,190,21,25
2565718000,government - hospital district or authority,191,21,25
2565718000,government - hospital district or authority,192,21,25
2565718000,government - hospital district or authority,193,21,25
2058383122,voluntary non-profit - private,194,22,22
2058383122,voluntary non-profit - private,195,22,22
2058383122,voluntary non-profit - private,196,22,22
2058383122,voluntary non-profit - private,197,22,22
2058383122,voluntary non-profit - private,198,22,22
2058383122,voluntary non-profit - private,199,22,22
2058383122,voluntary non-profit - private,200,22,22
2058383122,voluntary non-profit - private,201,22,22
2058383122,voluntary non-profit - private,202,22,22
2058383122,voluntary non-profit - private,203,22,22
2058383122,voluntary non-profit - private,204,22,22
2058383122,voluntary non-profit - private,205,22,22
2058383122,voluntary non-profit - private,206,22,22
2058383122,voluntary non-profit - private,207,22,22
2058383122,voluntary non-profit - private,208,22,22
2058383122,voluntary non-profit - private,209,22,22
2058383122,voluntary non-profit - private,210,22,22
2058383122,voluntary non-profit - private,211,22,22
2058383122,voluntary non-profit - private,212,22,22
2058383122,voluntary non-profit - private,213,22,22
2058383122,voluntary non-profit - private,214,22,22
2058383122,voluntary non-profit - private,215,22,22
2058383122,volunxary non-profix - privaxe,216,23,1
2058x8x122,voluntary non-profit - private,217,24,1
2058383122,voluntary nonxprofit x private,218,25,1
2568453150,voluntary non-profit - church,219,26,22
2568453150,voluntary non-profit - church,220,26,22
2568453150,voluntaryxnon-profitx-xchurch,221,27,1
2568453150,voluntary non-profit - church,222,26,22
2568453150,voluntary non-profit - church,223,26,22
2568453150,voluntary non-profit - church,224,26,22
2568453150,voluntary non-profit - church,225,26,22
2568453150,voluntary non-profit - church,226,26,22
2568453150,voluntary non-profit - church,227,26,22
2568453x50,voluntary non-profit - church,228,28,1
2568453150,voluntary non-profit - church,229,26,22
2568453150,voluntary non-profit - church,230,26,22
2568453150,voluntary non-profit - church,231,26,22
2568453150,voluntary non-profit - church,232,26,22
2568453150,voluntary non-profit - church,233,26,22
2568453150,voluntary non-profit - church,234,26,22
2568453150,voluntary non-profit - church,235,26,22
2568453150,voluntary non-profit - church,236,26,22
2568453150,voluntary non-profit - church,237,26,22
2568453150,voxuntary non-profit - church,238,29,1
2568453150,voluntary non-profit - church,239,26,22
2568453150,voluntary non-profit - church,240,26,22
2568453150,voluntary non-profit - church,241,26,22
2568453150,voluntary non-profit - church,242,26,22
2568453150,voluntary non-profit - church,243,26,22
3346366221,government - federal,244,30,23
3346366221,government - federal,245,30,23
3346366221,government - federal,246,30,23
xx46x66221,governxent - federal,247,31,1
3346366221,government - federal,248,30,23
3346366221,government - federal,249,30,23
3346366221,government - federal,250,30,23
3346366221,government - federal,251,30,23
3346366221,government - federal,252,30,23
3346366221,government - federal,253,30,23
3346366221,government - federal,254,30,23
3346366221,government - federal,255,30,23
3346366221,government - federal,256,30,23
3346366221,government - federal,257,30,23
3346366221,government - federal,258,30,23
3346366221,government - federal,259,30,23
3346366221,government - federal,260,30,23
334x3xx221,government - federal,261,32,1
3346366221,government - federal,262,30,23
3346366221,government - federal,263,30,23
3346366221,government - federal,264,30,23
3346366221,government - federal,265,30,23
3346366221,government - federal,266,30,23
3346366221,government - federal,267,30,23
3346366221,government - federal,268,30,23
2056208100,voluntary non-profit - church,269,33,25
2056208100,voluntary non-profit - church,270,33,25
2056208100,voluntary non-profit - church,271,33,25
2056208100,voluntary non-profit - church,272,33,25
2056208100,voluntary non-profit - church,273,33,25
2056208100,voluntary non-profit - church,274,33,25
2056208100,voluntary non-profit - church,275,33,25
2056208100,voluntary non-profit - church,276,33,25
2056208100,voluntary non-profit - church,277,33,25
2056208100,voluntary non-profit - church,278,33,25
2056208100,voluntary non-profit - church,279,33,25
2056208100,voluntary non-profit - church,280,33,25
2056208100,voluntary non-profit - church,281,33,25
2056208100,voluntary non-profit - church,282,33,25
2056208100,voluntary non-profit - church,283,33,25
2056208100,voluntary non-profit - church,284,33,25
2056208100,voluntary non-profit - church,285,33,25
2056208100,voluntary non-profit - church,286,33,25
2056208100,voluntary non-profit - church,287,33,25
2056208100,voluntary non-profit - church,288,33,25
2056208100,voluntary non-profit - church,289,33,25
2056208100,voluntary non-profit - church,290,33,25
2056208100,voluntary non-profit - church,291,33,25
2056208100,voluntary non-profit - church,292,33,25
2056208100,voluntary non-profit - church,293,33,25
2053258100,voluntary non-profit - private,294,0,25
2053258100,voluntary non-profit - private,295,0,25
2053258100,voluntary non-profit - private,296,0,25
2053258100,voluntary non-profit - private,297,0,25
2053258100,voluntary non-profit - private,298,0,25
2053258100,voluntary non-profit - private,299,0,25
2053258100,voluntary non-profit - private,300,0,25
2053258100,voluntary non-profit - private,301,0,25
2053258100,voluntary non-profit - private,302,0,25
2053258100,voluntary non-profit - private,303,0,25
2053258100,voluntary non-profit - private,304,0,25
2053258100,voluntary non-profit - private,305,0,25
2053258100,voluntary non-profit - private,306,0,25
2053258100,voluntary non-profit - private,307,0,25
2053258100,voluntary non-profit - private,308,0,25
2053258100,voluntary non-profit - private,309,0,25
2053258100,voluntary non-profit - private,310,0,25
2562358900,proprietary,311,34,26
2562358900,proprietary,312,34,26
2562358900,prxprietary,313,35,1
2562358900,proprietary,314,34,26
2562358900,proprietary,315,34,26
2562358900,proprietary,316,34,26
2562358900,proprietary,317,34,26
2562358900,proprietary,318,34,26
2562358900,proprietary,319,34,26
2562358900,proprietary,320,34,26
256235x900,proprietary,321,36,1
2562358900,proprietary,322,34,26
2562358900,proprietary,323,34,26
2562358900,proprietary,324,34,26
2562358900,proprietary,325,34,26
2562358900,proprietary,326,34,26
2562358900,proprietary,327,34,26
2562358900,proprietary,328,34,26
2562358900,proprietary,329,34,26
2562358900,proprietary,330,34,26
3347935000,proprietary,331,37,15
3347935000,proxrietary,332,38,1
3347935000,proprietary,333,37,15
3347935000,proprietary,334,37,15
3347935000,proprietary,335,37,15
3347935000,proprietary,336,37,15
3347935000,proprietary,337,37,15
3347935000,proprietary,338,37,15
3347935000,proprietary,339,37,15
3347935000,proprietary,340,37,15
3347935000,proprietary,341,37,15
xx479x5000,proprietary,342,39,1
3347935000,proprietary,343,37,15
3347935000,proprietary,344,37,15
3347935000,proprietary,345,37,15
3347935000,proprietary,346,37,15
3347935000,proprietary,347,37,15
2059397000,voluntary non-profit - other,348,40,5
2059397000,voluntary non-profit - other,349,40,5
2059397000,voluntary non-profit - other,350,40,5
2059397000,voluntary non-profit - other,351,40,5
2059397000,voluntary non-profit - other,352,40,5
2563412000,government - hospital district or authority,353,41,1
