column_1_name,column_2_name,column_1_count,column_2_count,dependency
Address1,CountyName,13,14,"Address1, CountyName"
City,State,18,5,"City, State"
City,ZipCode,14,12,"City, ZipCode"
Condition,MeasureName,9,2,"Condition, MeasureName"
Condition,Sample,29,23,"Condition, Sample"
Address1,HospitalName,6,10,"HospitalName, Address1"
Condition,HospitalName,25,21,"HospitalName, Condition"
HospitalName,HospitalOwner,3,8,"HospitalName, HospitalOwner"
HospitalName,HospitalType,3,8,"HospitalName, HospitalType"
HospitalOwner,MeasureCode,17,3,"HospitalOwner, MeasureCode"
Condition,HospitalType,39,27,"HospitalType, Condition"
HospitalOwner,HospitalType,16,10,"HospitalType, HospitalOwner"
MeasureCode,MeasureName,2,8,"MeasureCode, MeasureName"
MeasureCode,Stateavg,3,34,"MeasureCode, Stateavg"
MeasureName,ProviderNumber,21,10,"MeasureName, Sample"
Address1,ProviderNumber,31,4,"ProviderNumber, Address1"
City,ProviderNumber,26,8,"ProviderNumber, City"
Condition,ProviderNumber,24,17,"ProviderNumber, Condition"
HospitalName,ProviderNumber,3,11,"ProviderNumber, HospitalName"
HospitalType,ProviderNumber,7,7,"ProviderNumber, HospitalType"
ProviderNumber,Score,19,40,"ProviderNumber, Score"
HospitalName,ProviderNumber,3,3,"Score, Sample"
State,ZipCode,5,21,"State, ZipCode"
