style,brewery-name,original_index,unique_index
American Pale Lager,10 Barrel Brewing Company,0,0
American Pale Ale (APA),18th Street Brewery,1,1
American IPA,18th Street Brewery,2,2
American Double / Imperial IPA,18th Street Brewery,3,3
American IPA,18th Street Brewery,4,2
Oatmeal Stout,18th Street Brewery,5,4
American Pale Ale (APA),18th Street Brewery,6,1
American Porter,18th Street Brewery,7,5
American Pale Ale (APA),18th Street Brewery,8,1
American Double / Imperial IPA,18th Street Brewery,9,3
Saison / Farmhouse Ale,18th Street Brewery,10,6
Saison / Farmhouse Ale,18th Street Brewery,11,6
Saison / Farmhouse Ale,18th Street Brewery,12,6
Belgian IPA,18th Street Brewery,13,7
American Pale Ale (APA),18th Street Brewery,14,1
Cider,2 Towns Ciderhouse,15,8
Cider,2 Towns Ciderhouse,16,8
Cider,2 Towns Ciderhouse,17,8
Cider,2 Towns Ciderhouse,18,8
Baltic Porter,21st Amendment Brewery,19,9
Tripel,21st Amendment Brewery,20,10
American Barleywine,21st Amendment Brewery,21,11
Winter Warmer,21st Amendment Brewery,22,12
American Stout,21st Amendment Brewery,23,13
American Pale Ale (APA),21st Amendment Brewery,24,14
Fruit / Vegetable Beer,21st Amendment Brewery,25,15
Fruit / Vegetable Beer,21st Amendment Brewery,26,15
Fruit / Vegetable Beer,21st Amendment Brewery,27,15
American IPA,21st Amendment Brewery,28,16
American IPA,21st Amendment Brewery,29,16
American IPA,21st Amendment Brewery,30,16
English Strong Ale,21st Amendment Brewery,31,17
American Double / Imperial IPA,21st Amendment Brewery,32,18
American Pale Ale (APA),21st Amendment Brewery,33,14
Winter Warmer,21st Amendment Brewery,34,12
American Black Ale,21st Amendment Brewery,35,19
Belgian Dark Ale,21st Amendment Brewery,36,20
American IPA,21st Amendment Brewery,37,16
Fruit / Vegetable Beer,21st Amendment Brewery,38,15
American IPA,3 Daughters Brewing,39,21
American Blonde Ale,3 Daughters Brewing,40,22
American Amber / Red Ale,3 Daughters Brewing,41,23
Berliner Weissbier,4 Hands Brewing Company,42,24
American Blonde Ale,4 Hands Brewing Company,43,25
American Brown Ale,4 Hands Brewing Company,44,26
American Amber / Red Ale,4 Hands Brewing Company,45,27
American Black Ale,4 Hands Brewing Company,46,28
American IPA,4 Hands Brewing Company,47,29
American IPA,4 Hands Brewing Company,48,29
American Pale Wheat Ale,4 Hands Brewing Company,49,30
American IPA,450 North Brewing Company,50,31
American IPA,450 North Brewing Company,51,31
Belgian Strong Dark Ale,450 North Brewing Company,52,32
American IPA,450 North Brewing Company,53,31
English Strong Ale,450 North Brewing Company,54,33
Kölsch,450 North Brewing Company,55,34
Belgian Dark Ale,450 North Brewing Company,56,35
American IPA,7 Seas Brewing Company,57,36
English Pale Ale,7 Seas Brewing Company,58,37
English Pale Ale,7 Seas Brewing Company,59,37
American Double / Imperial IPA,7 Seas Brewing Company,60,38
Berliner Weissbier,7venth Sun,61,39
American Amber / Red Lager,AC Golden Brewing Company,62,40
American Amber / Red Lager,AC Golden Brewing Company,63,40
American IPA,Abita Brewing Company,64,41
Fruit / Vegetable Beer,Abita Brewing Company,65,42
American Amber / Red Lager,Abita Brewing Company,66,43
American IPA,Against The Grain Brewery,67,44
American Brown Ale,Against The Grain Brewery,68,45
American Double / Imperial IPA,Against the Grain Brewery,69,46
English Barleywine,Against the Grain Brewery,70,47
Milk / Sweet Stout,Against the Grain Brewery,71,48
American Pale Ale (APA),Against the Grain Brewery,72,49
German Pilsener,Against the Grain Brewery,73,50
Pumpkin Ale,Against the Grain Brewery,74,51
Belgian Pale Ale,Against the Grain Brewery,75,52
American Pilsner,Against the Grain Brewery,76,53
American Double / Imperial IPA,Against the Grain Brewery,77,46
Saison / Farmhouse Ale,Against the Grain Brewery,78,54
American Wild Ale,Against the Grain Brewery,79,55
American IPA,Against the Grain Brewery,80,56
English Brown Ale,Against the Grain Brewery,81,57
American Stout,Airways Brewing Company,82,58
American Pale Ale (APA),Airways Brewing Company,83,59
American Pilsner,Airways Brewing Company,84,60
American Pilsner,Alameda Brewing,85,61
American Pale Ale (APA),Alameda Brewing,86,62
American Double / Imperial IPA,Alameda Brewing,87,63
American Pale Ale (APA),Alaskan Brewing Company,88,64
Altbier,Alaskan Brewing Company,89,65
American Pale Ale (APA),Ale Asylum,90,66
Kölsch,Alltech's Lexington Brewing Company,91,67
American IPA,Alltech's Lexington Brewing Company,92,68
American Pale Ale (APA),Amnesia Brewing Company,93,69
American IPA,Amnesia Brewing Company,94,70
American IPA,Amnesia Brewing Company,95,70
American IPA,Anchor Brewing Company,96,71
American IPA,Anchor Brewing Company,97,71
American Pale Wheat Ale,Anchor Brewing Company,98,72
American Amber / Red Lager,Anchor Brewing Company,99,73
California Common / Steam Beer,Anchor Brewing Company,100,74
Gose,Anderson Valley Brewing Company,101,75
American Pale Ale (APA),Anderson Valley Brewing Company,102,76
Gose,Anderson Valley Brewing Company,103,75
Pumpkin Ale,Anderson Valley Brewing Company,104,77
Oatmeal Stout,Anderson Valley Brewing Company,105,78
Cream Ale,Anderson Valley Brewing Company,106,79
American IPA,Anderson Valley Brewing Company,107,80
American Amber / Red Ale,Anderson Valley Brewing Company,108,81
Oatmeal Stout,Anderson Valley Brewing Company,109,78
Vienna Lager,Anderson Valley Brewing Company,110,82
American Amber / Red Ale,Anderson Valley Brewing Company,111,81
Cream Ale,Anderson Valley Brewing Company,112,79
Oatmeal Stout,Anderson Valley Brewing Company,113,78
Winter Warmer,Anderson Valley Brewing Company,114,83
American IPA,Anderson Valley Brewing Company,115,80
American Amber / Red Ale,Anderson Valley Brewing Company,116,81
Cream Ale,Anderson Valley Brewing Company,117,79
American Pale Ale (APA),Anderson Valley Brewing Company,118,76
American IPA,Angry Minnow,119,84
American Pale Ale (APA),Angry Minnow Brewing Company,120,85
Oatmeal Stout,Angry Minnow Brewing Company,121,86
Cider,Angry Orchard Cider Company,122,87
Cider,Angry Orchard Cider Company,123,87
Cider,Angry Orchard Cider Company,124,87
Belgian Pale Ale,Anthem Brewing Company,125,88
Witbier,Anthem Brewing Company,126,89
American Stout,Anthem Brewing Company,127,90
American IPA,Appalachian Mountain Brewery,128,91
American Blonde Ale,Appalachian Mountain Brewery,129,92
American Porter,Appalachian Mountain Brewery,130,93
American Pale Ale (APA),Arcadia Brewing Company,131,94
American Pale Wheat Ale,Arcadia Brewing Company,132,95
American Pale Ale (APA),Arctic Craft Brewery,133,96
American Double / Imperial Stout,Armadillo Ale Works,134,97
Saison / Farmhouse Ale,Armadillo Ale Works,135,98
Gose,Armstrong Brewing Company,136,99
American IPA,Asher Brewing Company,137,100
Kölsch,Asheville Brewing Company,138,101
American Porter,Asheville Brewing Company,139,102
American IPA,Asheville Brewing Company,140,103
Kölsch,Aslan Brewing Company,141,104
American IPA,Aslan Brewing Company,142,105
American Amber / Red Ale,Aslan Brewing Company,143,106
American Blonde Ale,Aspen Brewing Company,144,107
American IPA,Aspen Brewing Company,145,108
American Stout,Astoria Brewing Company,146,109
American Double / Imperial IPA,Astoria Brewing Company,147,110
American Porter,Astoria Brewing Company,148,111
American Amber / Red Ale,Astoria Brewing Company,149,112
American Double / Imperial IPA,Atwater Brewery,150,113
American Porter,Atwater Brewery,151,114
Fruit / Vegetable Beer,Atwater Brewery,152,115
American Blonde Ale,Atwater Brewery,153,116
American IPA,Atwater Brewery,154,117
Munich Helles Lager,Atwater Brewery,155,118
American Black Ale,Austin Beerworks,156,119
American IPA,Austin Beerworks,157,120
American Pale Ale (APA),Austin Beerworks,158,121
German Pilsener,Austin Beerworks,159,122
Schwarzbier,Austin Beerworks,160,123
American Double / Imperial IPA,Avery Brewing Company,161,124
Saison / Farmhouse Ale,Avery Brewing Company,162,125
German Pilsener,Avery Brewing Company,163,126
Witbier,Avery Brewing Company,164,127
American IPA,Avery Brewing Company,165,128
American Brown Ale,Avery Brewing Company,166,129
Pumpkin Ale,Aviator Brewing Company,167,130
Märzen / Oktoberfest,Aviator Brewing Company,168,131
American Pale Wheat Ale,Aviator Brewing Company,169,132
American IPA,Aviator Brewing Company,170,133
Tripel,Aviator Brewing Company,171,134
American Amber / Red Ale,Aviator Brewing Company,172,135
American Double / Imperial IPA,Back East Brewing Company,173,136
American Porter,Back East Brewing Company,174,137
