CountyName,EmergencyService,original_index,unique_index,count
jefferson,yes,0,0,97
jefferson,yes,1,0,97
jefferson,yes,2,0,97
jefferson,yes,3,0,97
jefferson,yes,4,0,97
jefferson,yes,5,0,97
jefferson,yes,6,0,97
jefferson,yes,7,0,97
jefferson,yes,8,0,97
jefferson,yes,9,0,97
jefferson,yes,10,0,97
jefferson,yes,11,0,97
jefferson,yes,12,0,97
jefferson,yes,13,0,97
jefferson,yes,14,0,97
jefferson,yes,15,0,97
jefferson,yes,16,0,97
jefferson,yes,17,0,97
jefferson,yes,18,0,97
houston,yes,19,1,38
houston,yes,20,1,38
houston,yes,21,1,38
houston,yes,22,1,38
houston,yes,23,1,38
houston,yxs,24,2,1
houston,yes,25,1,38
houston,yes,26,1,38
houston,yes,27,1,38
houston,yes,28,1,38
houston,yes,29,1,38
houston,yes,30,1,38
houston,yes,31,1,38
houston,yes,32,1,38
houston,yes,33,1,38
houston,yes,34,1,38
houston,yes,35,1,38
houston,yes,36,1,38
houston,yes,37,1,38
houston,yes,38,1,38
houston,yes,39,1,38
houston,yes,40,1,38
houston,yes,41,1,38
houston,yes,42,1,38
houston,yex,43,3,2
marshall,yes,44,4,48
marshall,yes,45,4,48
marshall,yes,46,4,48
marshall,yes,47,4,48
marshall,yes,48,4,48
marshall,yes,49,4,48
marshall,yes,50,4,48
marshall,yxs,51,5,1
marshall,yes,52,4,48
marshall,yes,53,4,48
marshall,yes,54,4,48
marshall,yes,55,4,48
marshall,yes,56,4,48
marshall,yes,57,4,48
marshall,yes,58,4,48
marshall,yes,59,4,48
marshall,yes,60,4,48
marshall,yes,61,4,48
marshall,yes,62,4,48
marshall,yes,63,4,48
marshall,yes,64,4,48
marshall,yes,65,4,48
marshall,yes,66,4,48
mxrshxll,yes,67,6,1
marshall,yes,68,4,48
lauderdale,yes,69,7,23
lauderdale,yes,70,7,23
lauderdale,yes,71,7,23
laudxrdalx,yes,72,8,1
lauderdale,yes,73,7,23
lauderdale,yes,74,7,23
lauderdale,yes,75,7,23
