ZipCode,PhoneNumber,original_index,unique_index,count
35233,2053258100,0,0,25
35233,2053258100,1,0,25
35233,2053258100,2,0,25
35233,2053258100,3,0,25
35233,2053258100,4,0,25
35233,2053258100,5,0,25
35233,2053258100,6,0,25
35233,2053258100,7,0,25
35660,2563864556,8,1,25
35660,2563864556,9,1,25
35660,2563864556,10,1,25
35660,2563864556,11,1,25
35660,2563864556,12,1,25
35660,2563864556,13,1,25
35660,2563864556,14,1,25
35660,2563864556,15,1,25
35660,2563864556,16,1,25
35660,2563864556,17,1,25
35660,2563864556,18,1,25
36302,3347938701,19,2,23
36302,3347938701,20,2,23
36302,3347938701,21,2,23
36302,3347938701,22,2,23
36302,3347938701,23,2,23
36302,334793870x,24,3,1
36302,3347938701,25,2,23
36302,3347938701,26,2,23
36302,3347938701,27,2,23
36302,3347938701,28,2,23
36302,3347938701,29,2,23
36302,3347938701,30,2,23
36302,3347938701,31,2,23
36302,3347938701,32,2,23
36302,3347938701,33,2,23
36302,3347938701,34,2,23
36302,3347938701,35,2,23
36302,xx479x8701,36,4,1
36302,3347938701,37,2,23
36302,3347938701,38,2,23
36302,3347938701,39,2,23
36302,3347938701,40,2,23
36302,3347938701,41,2,23
36302,3347938701,42,2,23
36302,3347938701,43,2,23
x5957,2565938310,44,5,1
35957,2565938310,45,6,20
35957,2565938310,46,6,20
35957,2565938310,47,6,20
35957,2565938310,48,6,20
35957,2565938310,49,6,20
35957,2565938310,50,6,20
35957,2565938310,51,6,20
35957,2565938310,52,6,20
35957,2565938310,53,6,20
35957,2565938310,54,6,20
35957,2565938310,55,6,20
35957,2565938310,56,6,20
35957,2x6x938310,57,7,2
35957,2565938310,58,6,20
35957,2565938310,59,6,20
35957,2x6x938310,60,7,2
35957,2565938310,61,6,20
35957,2565938310,62,6,20
3595x,2565938310,63,8,1
35957,2565938310,64,6,20
35957,2565x38310,65,9,1
35957,2565938310,66,6,20
35957,2565938310,67,6,20
35957,2565938310,68,6,20
35631,2567688400,69,10,23
3563x,2567688400,70,11,2
35631,2567688400,71,10,23
35631,2567688400,72,10,23
35631,2567688400,73,10,23
35631,2567688400,74,10,23
35631,2567688400,75,10,23
35631,2567688400,76,10,23
35631,2567688400,77,10,23
35631,2567688400,78,10,23
35631,2567688400,79,10,23
35631,2567688400,80,10,23
35631,2567688400,81,10,23
35631,2567688400,82,10,23
35631,2567688400,83,10,23
35631,2567688400,84,10,23
35631,2567688400,85,10,23
35631,2567688400,86,10,23
35631,2567688400,87,10,23
35631,2567688400,88,10,23
35631,2567688400,89,10,23
35631,2567688400,90,10,23
35631,2567688400,91,10,23
35631,2567688400,92,10,23
3563x,2567688400,93,11,2
36467,3344933541,94,12,24
36467,3344933541,95,12,24
36467,3344933541,96,12,24
36467,3344933541,97,12,24
36467,3344933541,98,12,24
36467,3344933541,99,12,24
36467,3344933541,100,12,24
36467,3344x33541,101,13,1
36467,3344933541,102,12,24
36467,3344933541,103,12,24
36467,3344933541,104,12,24
36467,3344933541,105,12,24
36467,3344933541,106,12,24
36467,3344933541,107,12,24
36467,3344933541,108,12,24
36467,3344933541,109,12,24
36467,3344933541,110,12,24
36467,3344933541,111,12,24
36467,3344933541,112,12,24
36467,3344933541,113,12,24
36467,3344933541,114,12,24
36467,3344933541,115,12,24
36467,3344933541,116,12,24
36467,3344933541,117,12,24
36467,3344933541,118,12,24
36049,3343353374,119,14,23
36049,3343353374,120,14,23
36049,3343353374,121,14,23
36049,3343353374,122,14,23
36049,3343353374,123,14,23
36049,3343353374,124,14,23
36049,3343353374,125,14,23
36049,3343353374,126,14,23
36049,3343353374,127,14,23
36049,3343353374,128,14,23
36049,3343353374,129,14,23
36049,3343353374,130,14,23
36049,3343353374,131,14,23
36049,3343353374,132,14,23
36049,3343353374,133,14,23
36049,3343353374,134,14,23
36049,3343353374,135,14,23
36049,3343353374,136,14,23
36x49,3343353374,137,15,1
36049,3343353374,138,14,23
360x9,3343353374,139,16,1
36049,3343353374,140,14,23
36049,3343353374,141,14,23
36049,3343353374,142,14,23
36049,3343353374,143,14,23
35640,2567736511,144,17,23
35640,2567736511,145,17,23
35640,2567736511,146,17,23
35640,2567736511,147,17,23
35640,2567736511,148,17,23
3x640,2567736511,149,18,2
35640,2567736511,150,17,23
35640,2567736511,151,17,23
35640,2567736511,152,17,23
35640,2567736511,153,17,23
35640,2567736511,154,17,23
35640,2567736511,155,17,23
35640,2567736511,156,17,23
3x640,2567736511,157,18,2
35640,2567736511,158,17,23
35640,2567736511,159,17,23
35640,2567736511,160,17,23
35640,2567736511,161,17,23
35640,2567736511,162,17,23
35640,2567736511,163,17,23
35640,2567736511,164,17,23
35640,2567736511,165,17,23
35640,2567736511,166,17,23
35640,2567736511,167,17,23
35640,2567736511,168,17,23
35976,2565718000,169,19,25
35976,2565718000,170,19,25
35976,2565718000,171,19,25
35976,2565718000,172,19,25
35976,2565718000,173,19,25
35976,2565718000,174,19,25
35976,2565718000,175,19,25
35976,2565718000,176,19,25
35976,2565718000,177,19,25
35976,2565718000,178,19,25
35976,2565718000,179,19,25
35976,2565718000,180,19,25
35976,2565718000,181,19,25
35976,2565718000,182,19,25
35976,2565718000,183,19,25
35976,2565718000,184,19,25
35976,2565718000,185,19,25
