ibu,brewery-id,original_index,unique_index
,408,0,0
,177,1,1
,177,2,1
,177,3,1
,177,4,1
,177,5,1
,177,6,1
,177,7,1
,177,8,1
,177,9,1
,177,10,1
,177,11,1
,177,12,1
,177,13,1
60.0,177,14,2
,154,15,3
,154,16,3
,154,17,3
,154,18,3
,368,19,4
,368,20,4
92.0,368,21,5
45.0,368,22,6
,368,23,4
42.0,368,24,7
17.0,368,25,8
17.0,368,26,8
17.0,368,27,8
70.0,368,28,9
70.0,368,29,9
70.0,368,30,9
52.0,368,31,10
94.0,368,32,11
42.0,368,33,7
45.0,368,34,6
65.0,368,35,12
35.0,368,36,13
65.0,368,37,12
17.0,368,38,8
82.0,67,39,14
,67,40,15
,67,41,15
11.0,60,42,16
18.0,60,43,17
,60,44,18
,60,45,18
,60,46,18
,60,47,18
,60,48,18
28.0,60,49,19
,27,50,20
45.0,27,51,21
,27,52,20
65.0,27,53,22
50.0,27,54,23
15.0,27,55,24
18.0,27,56,25
75.0,481,57,26
30.0,481,58,27
30.0,481,59,27
82.0,481,60,28
,373,61,29
26.0,462,62,30
26.0,462,63,30
52.0,533,64,31
13.0,533,65,32
17.0,533,66,33
68.0,62,67,34
20.0,62,68,35
68.0,1,69,36
80.0,1,70,37
25.0,1,71,38
42.0,1,72,39
25.0,1,73,38
21.0,1,74,40
13.0,1,75,41
17.0,1,76,42
68.0,1,77,36
38.0,1,78,43
,1,79,44
65.0,1,80,45
20.0,1,81,46
35.0,367,82,47
35.0,367,83,47
33.0,367,84,48
20.0,117,85,49
36.0,117,86,50
103.0,117,87,51
40.0,270,88,52
18.0,270,89,53
,73,90,54
,388,91,55
,388,92,55
,401,93,56
,401,94,56
43.0,401,95,57
,35,96,58
,35,97,58
,35,98,58
,35,99,58
,35,100,58
,171,101,59
,171,102,59
,171,103,59
,171,104,59
13.0,171,105,60
4.0,171,106,61
80.0,171,107,62
15.0,171,108,63
13.0,171,109,60
25.0,171,110,64
15.0,171,111,63
4.0,171,112,61
13.0,171,113,60
6.0,171,114,65
80.0,171,115,62
15.0,171,116,63
4.0,171,117,61
28.0,171,118,66
,146,119,67
,542,120,68
,542,121,68
,434,122,69
,434,123,69
,434,124,69
,193,125,70
,193,126,70
,193,127,70
75.0,69,128,71
19.0,69,129,72
23.0,69,130,73
55.0,541,131,74
17.0,541,132,75
,513,133,76
50.0,426,134,77
20.0,426,135,78
10.0,461,136,79
45.0,429,137,80
27.0,528,138,81
26.0,528,139,82
69.0,528,140,83
,353,141,84
,353,142,84
,353,143,84
27.0,523,144,85
67.0,523,145,86
40.0,374,146,87
138.0,374,147,88
35.0,374,148,89
35.0,374,149,89
115.0,72,150,90
12.0,72,151,91
,72,152,92
8.0,72,153,93
62.0,72,154,94
12.0,72,155,91
,413,156,95
,413,157,95
,413,158,95
,413,159,95
,413,160,95
,37,161,96
,37,162,96
42.0,37,163,97
10.0,37,164,98
69.0,37,165,99
17.0,37,166,100
17.0,360,167,101
22.0,360,168,102
23.0,360,169,103
,360,170,104
5.0,360,171,105
41.0,360,172,106
,235,173,107
,235,174,107
,235,175,107
,235,176,107
,235,177,107
,286,178,108
43.0,286,179,109
70.0,483,180,110
38.0,483,181,111
,34,182,112
40.0,34,183,113
23.0,34,184,114
75.0,34,185,115
,34,186,112
