ProviderNumber,HospitalName,original_index,unique_index,count
10018,callahan eye foundation hospital,0,0,25
10018,callahan eye foundation hospital,1,0,25
10018,callahan eye foundation hospital,2,0,25
10018,callahan eye foundation hospital,3,0,25
10018,callahan eye foundation hospital,4,0,25
10018,callahan eye foundation hospital,5,0,25
10018,callahan eye foundation hospital,6,0,25
10018,callahan eye foundation hospital,7,0,25
10019,helen keller memorial hospital,8,1,24
10019,helen keller memorial hospital,9,1,24
10019,helen keller memorial hospital,10,1,24
10019,helen keller memorial hospital,11,1,24
10019,helen keller memorial hospital,12,1,24
1xx19,helen keller memorial hospital,13,2,1
10019,helen keller memorial hospital,14,1,24
10019,helen keller memorial hospital,15,1,24
10019,helen keller memorial hospital,16,1,24
10019,helen keller memorial hospital,17,1,24
10019,helen keller memorial hospital,18,1,24
10001,southeast alabama medical center,19,3,24
10001,southeast alabama medical center,20,3,24
10001,southeast alabama medical center,21,3,24
10001,southeast alabama medical center,22,3,24
10001,southeast alabama medical center,23,3,24
10001,southeast alabama medical center,24,3,24
10001,southeast alabama medical center,25,3,24
10001,southeast alabama medxcal center,26,4,1
10001,southeast alabama medical center,27,3,24
10001,southeast alabama medical center,28,3,24
10001,southeast alabama medical center,29,3,24
10001,southeast alabama medical center,30,3,24
10001,southeast alabama medical center,31,3,24
10001,southeast alabama medical center,32,3,24
10001,southeast alabama medical center,33,3,24
10001,southeast alabama medical center,34,3,24
10001,southeast alabama medical center,35,3,24
10001,southeast alabama medical center,36,3,24
10001,southeast alabama medical center,37,3,24
10001,southeast alabama medical center,38,3,24
10001,southeast alabama medical center,39,3,24
10001,southeast alabama medical center,40,3,24
10001,southeast alabama medical center,41,3,24
10001,southeast alabama medical center,42,3,24
10001,southeast alabama medical center,43,3,24
10005,marshall medical center south,44,5,24
x0005,marshall medical center south,45,6,1
10005,marshall medical center south,46,5,24
10005,marshall medical center south,47,5,24
10005,marshall medical center south,48,5,24
10005,marshall medical center south,49,5,24
10005,marshall medical center south,50,5,24
10005,marshall medical center south,51,5,24
10005,marshall medical center south,52,5,24
10005,marshall medical center south,53,5,24
10005,marshall medical center south,54,5,24
10005,marshall medical center south,55,5,24
10005,marshall medical center south,56,5,24
10005,marshall medical center south,57,5,24
10005,marshall medical center south,58,5,24
10005,marshall medical center south,59,5,24
10005,marshall medical center south,60,5,24
10005,marshall medical center south,61,5,24
10005,marshall medical center south,62,5,24
10005,marshall medical center south,63,5,24
10005,marshall medical center south,64,5,24
10005,marshall medical center south,65,5,24
10005,marshall medical center south,66,5,24
10005,marshall medical center south,67,5,24
10005,marshall medical center south,68,5,24
10006,eliza coffee memorial hospital,69,7,24
10006,eliza coffee memorial hospital,70,7,24
10006,eliza coffee memorial hospital,71,7,24
10006,eliza coffee memorial hospital,72,7,24
10006,eliza coffee memorial hospital,73,7,24
10006,eliza coffee memorial hospital,74,7,24
10006,eliza coffee memorial hospital,75,7,24
10006,eliza coffee memorial hospital,76,7,24
10006,eliza coffee memorial hospital,77,7,24
10006,eliza coffee memorial hospital,78,7,24
10006,eliza coffee memorial hospital,79,7,24
10006,eliza coffee memorial hospital,80,7,24
1000x,eliza coffee memorial hospital,81,8,1
10006,eliza coffee memorial hospital,82,7,24
10006,eliza coffee memorial hospital,83,7,24
10006,eliza coffee memorial hospital,84,7,24
10006,eliza coffee memorial hospital,85,7,24
10006,eliza coffee memorial hospital,86,7,24
10006,eliza coffee memorial hospital,87,7,24
10006,eliza coffee memorial hospital,88,7,24
10006,eliza coffee memorial hospital,89,7,24
10006,eliza coffee memorial hospital,90,7,24
10006,eliza coffee memorial hospital,91,7,24
10006,eliza coffee memorial hospital,92,7,24
10006,eliza coffee memorial hospital,93,7,24
10007,mizell memorial hospital,94,9,25
10007,mizell memorial hospital,95,9,25
10007,mizell memorial hospital,96,9,25
10007,mizell memorial hospital,97,9,25
10007,mizell memorial hospital,98,9,25
10007,mizell memorial hospital,99,9,25
10007,mizell memorial hospital,100,9,25
10007,mizell memorial hospital,101,9,25
10007,mizell memorial hospital,102,9,25
10007,mizell memorial hospital,103,9,25
10007,mizell memorial hospital,104,9,25
10007,mizell memorial hospital,105,9,25
10007,mizell memorial hospital,106,9,25
10007,mizell memorial hospital,107,9,25
10007,mizell memorial hospital,108,9,25
10007,mizell memorial hospital,109,9,25
10007,mizell memorial hospital,110,9,25
10007,mizell memorial hospital,111,9,25
10007,mizell memorial hospital,112,9,25
10007,mizell memorial hospital,113,9,25
