folder,iteration,accuracy,precision,recall,completion_tokens,prompt_tokens,total_tokens,output_valid,output_rows,response_time
flights,0,0,0,0,1215,84681,85896,False,0,50.27347445487976
flights,1,0,0,0,2304,40504,42808,False,0,65.43835401535034
flights,2,0,0,0,2070,19878,21948,False,0,44.459922075271606
flights,3,0,0,0,1419,9906,11325,False,0,28.223028659820557
flights,4,0,0,0,1535,5077,6612,False,0,25.24030828475952
flights,5,,0.0,0.0,689,2761,3450,True,0,10.925342798233032
flights,6,0,0,0,411,1537,1948,False,0,8.139165163040161
flights,7,0,0,0,239,859,1098,False,0,3.4881794452667236
flights,8,0,0,0,119,524,643,False,0,2.2306394577026367
flights,9,0,0,0,59,341,400,False,0,1.7679455280303955
flights,10,,0.0,0.0,42,268,310,True,0,1.2849171161651611
flights,11,0,0,0,23,239,262,False,0,0.7277584075927734
