article_title,author_list,original_index,unique_index,count
Late repair of injuries of the anal sphincter,"{""A. G. Parks"",""J. F. McPartlin""}",0,0,1.0
Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}",1,1,1.0
Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}",2,2,1.0
"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]","{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}",3,3,1.0
Diagnosis and Management of Cutaneous B-cell Lymphoma.,"{""Lauren C Pinter-Brown""}",4,4,1.0
"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain","{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}",5,5,1.0
Activation and blockade of beta adrenoceptors in common cardiac disorders,"{""B N Prichard"",""J W Black""}",6,6,1.0
Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,"{""St��_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}",7,7,1.0
Awareness of deficits and on-road driving performance,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}",8,8,1.0
A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}",9,9,1.0
Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,"{""J. L. Li"",""P. Newcomb""}",10,10,1.0
Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}",11,11,1.0
Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}",12,12,1.0
Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}",13,13,1.0
Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}",14,14,1.0
Latex allergy in atopic children.,"{""R S Lever"",""S A Holme""}",15,15,1.0
"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.","{""Andreas Kruse"",""Manh Hung Nguyen""}",16,16,1.0
"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17","{""J. H. Littell"",""M. Popa"",""B. Forsythe""}",17,17,1.0
Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}",18,18,1.0
Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}",19,19,1.0
