style,ounces,original_index,unique_index
American Pale Lager,12.0 oz,0,0
American Pale Ale (APA),12.0 oz.,1,1
American IPA,12.0 ounce,2,2
American Double / Imperial IPA,12.0 oz,3,3
American IPA,12.0 OZ.,4,4
Oatmeal Stout,12.0 oz,5,5
American Pale Ale (APA),12.0 oz.,6,1
American Porter,12.0 ounce,7,6
American Pale Ale (APA),12.0 oz.,8,1
American Double / Imperial IPA,12.0 ounce,9,7
Saison / Farmhouse Ale,12.0 oz.,10,8
Saison / Farmhouse Ale,12.0 oz.,11,8
Saison / Farmhouse Ale,12.0 OZ.,12,9
Belgian IPA,12.0 oz.,13,10
American Pale Ale (APA),12.0 ounce,14,11
Cider,12.0 ounce,15,12
Cider,12.0 oz.,16,13
Cider,12.0 oz. Alumi-Tek,17,14
Cider,12.0 ounce,18,12
Baltic Porter,12.0 oz.,19,15
Tripel,12.0 oz.,20,16
American Barleywine,8.4 ounce,21,17
Winter Warmer,12.0 OZ.,22,18
American Stout,12.0 oz.,23,19
American Pale Ale (APA),12.0 oz,24,20
Fruit / Vegetable Beer,12.0 ounce,25,21
Fruit / Vegetable Beer,12.0 oz.,26,22
Fruit / Vegetable Beer,12.0 oz.,27,22
American IPA,12.0 oz.,28,23
American IPA,12.0 OZ.,29,4
American IPA,12.0 oz.,30,23
English Strong Ale,12.0 oz.,31,24
American Double / Imperial IPA,12.0 oz.,32,25
American Pale Ale (APA),12.0 oz,33,20
Winter Warmer,12.0 ounce,34,26
American Black Ale,12.0 ounce,35,27
Belgian Dark Ale,12.0 OZ.,36,28
American IPA,12.0 oz.,37,23
Fruit / Vegetable Beer,12.0 oz.,38,22
American IPA,12.0 ounce,39,2
American Blonde Ale,12.0 oz.,40,29
American Amber / Red Ale,12.0 oz.,41,30
Berliner Weissbier,12.0 oz,42,31
American Blonde Ale,12.0 oz,43,32
American Brown Ale,12.0 oz,44,33
American Amber / Red Ale,12.0 oz.,45,30
American Black Ale,12.0 oz.,46,34
American IPA,12.0 oz,47,35
American IPA,12.0 oz.,48,23
American Pale Wheat Ale,12.0 oz.,49,36
American IPA,16.0 ounce,50,37
American IPA,16.0 ounce,51,37
Belgian Strong Dark Ale,16.0 oz.,52,38
American IPA,16.0 oz.,53,39
English Strong Ale,16.0 oz. Alumi-Tek,54,40
Kölsch,16.0 ounce,55,41
Belgian Dark Ale,16.0 oz,56,42
American IPA,16.0 oz,57,43
English Pale Ale,16.0 oz,58,44
English Pale Ale,16.0 ounce,59,45
American Double / Imperial IPA,16.0 oz.,60,46
Berliner Weissbier,12.0 oz.,61,47
American Amber / Red Lager,12.0 oz,62,48
American Amber / Red Lager,12.0 ounce,63,49
American IPA,12.0 oz.,64,23
Fruit / Vegetable Beer,12.0 oz,65,50
American Amber / Red Lager,12.0 oz.,66,51
American IPA,16.0 ounce,67,37
American Brown Ale,16.0 ounce,68,52
American Double / Imperial IPA,16.0 ounce,69,53
English Barleywine,16.0 oz.,70,54
Milk / Sweet Stout,16.0 OZ.,71,55
American Pale Ale (APA),16.0 oz.,72,56
German Pilsener,16.0 oz,73,57
Pumpkin Ale,16.0 ounce,74,58
Belgian Pale Ale,16.0 oz,75,59
American Pilsner,16.0 oz.,76,60
American Double / Imperial IPA,16.0 ounce,77,53
Saison / Farmhouse Ale,16.0 OZ.,78,61
American Wild Ale,16.0 ounce,79,62
American IPA,16.0 oz.,80,39
English Brown Ale,16.0 oz,81,63
American Stout,16.0 ounce,82,64
American Pale Ale (APA),16.0 OZ.,83,65
American Pilsner,16.0 oz.,84,60
American Pilsner,12.0 OZ.,85,66
American Pale Ale (APA),12.0 oz. Alumi-Tek,86,67
American Double / Imperial IPA,12.0 oz,87,3
American Pale Ale (APA),12.0 oz.,88,1
