ZipCode,CountyName,original_index,unique_index,count
35233,jefferson,0,0,46
35233,jefferson,1,0,46
35233,jefferson,2,0,46
35233,jefferson,3,0,46
35233,jefferson,4,0,46
35233,jefferson,5,0,46
35233,jefferson,6,0,46
35233,jefferson,7,0,46
35660,jefferson,8,1,22
35660,jefferson,9,1,22
35660,jefferson,10,1,22
35660,jefferson,11,1,22
35660,jefferson,12,1,22
35660,jefferson,13,1,22
35660,jefferson,14,1,22
35660,jefferson,15,1,22
35660,jefferson,16,1,22
35660,jefferson,17,1,22
35660,jefferson,18,1,22
36302,houston,19,2,25
36302,houston,20,2,25
36302,houston,21,2,25
36302,houston,22,2,25
36302,houston,23,2,25
36302,houston,24,2,25
36302,houston,25,2,25
36302,houston,26,2,25
36302,houston,27,2,25
36302,houston,28,2,25
36302,houston,29,2,25
36302,houston,30,2,25
36302,houston,31,2,25
36302,houston,32,2,25
36302,houston,33,2,25
36302,houston,34,2,25
36302,houston,35,2,25
36302,houston,36,2,25
36302,houston,37,2,25
36302,houston,38,2,25
36302,houston,39,2,25
36302,houston,40,2,25
36302,houston,41,2,25
36302,houston,42,2,25
36302,houston,43,2,25
x5957,marshall,44,3,1
35957,marshall,45,4,22
35957,marshall,46,4,22
35957,marshall,47,4,22
35957,marshall,48,4,22
35957,marshall,49,4,22
35957,marshall,50,4,22
35957,marshall,51,4,22
35957,marshall,52,4,22
35957,marshall,53,4,22
35957,marshall,54,4,22
35957,marshall,55,4,22
35957,marshall,56,4,22
35957,marshall,57,4,22
35957,marshall,58,4,22
35957,marshall,59,4,22
35957,marshall,60,4,22
35957,marshall,61,4,22
35957,marshall,62,4,22
3595x,marshall,63,5,1
35957,marshall,64,4,22
35957,marshall,65,4,22
35957,marshall,66,4,22
35957,mxrshxll,67,6,1
35957,marshall,68,4,22
35631,lauderdale,69,7,21
3563x,lauderdale,70,8,2
35631,lauderdale,71,7,21
35631,laudxrdalx,72,9,1
35631,lauderdale,73,7,21
35631,lauderdale,74,7,21
35631,lauderdale,75,7,21
35631,lauderdale,76,7,21
35631,laudexdale,77,10,1
35631,lauderdale,78,7,21
35631,lauderdale,79,7,21
35631,lauderdale,80,7,21
35631,lauderdale,81,7,21
35631,lauderdale,82,7,21
35631,lauderdale,83,7,21
35631,lauderdale,84,7,21
35631,lauderdale,85,7,21
35631,lauderdale,86,7,21
35631,lauderdale,87,7,21
35631,lauderdale,88,7,21
35631,lauderdale,89,7,21
35631,lauderdale,90,7,21
35631,lauderdale,91,7,21
35631,lauderdale,92,7,21
3563x,lauderdale,93,8,2
36467,covington,94,11,25
36467,covington,95,11,25
36467,covington,96,11,25
36467,covington,97,11,25
36467,covington,98,11,25
36467,covington,99,11,25
36467,covington,100,11,25
36467,covington,101,11,25
36467,covington,102,11,25
36467,covington,103,11,25
36467,covington,104,11,25
36467,covington,105,11,25
36467,covington,106,11,25
36467,covington,107,11,25
36467,covington,108,11,25
36467,covington,109,11,25
36467,covington,110,11,25
36467,covington,111,11,25
36467,covington,112,11,25
36467,covington,113,11,25
36467,covington,114,11,25
36467,covington,115,11,25
36467,covington,116,11,25
36467,covington,117,11,25
36467,covington,118,11,25
36049,crenshaw,119,12,22
36049,crenshaw,120,12,22
36049,crenshaw,121,12,22
36049,crenshaw,122,12,22
36049,crenshaw,123,12,22
36049,crenshaw,124,12,22
36049,crenshaw,125,12,22
36049,crenshaw,126,12,22
36049,crenshaw,127,12,22
36049,crenshaw,128,12,22
36049,crenshaw,129,12,22
36049,crenshaw,130,12,22
36049,crenshaw,131,12,22
36049,crenshaw,132,12,22
36049,crenshaw,133,12,22
36049,crenshaw,134,12,22
36049,crenshaw,135,12,22
36049,crxnshaw,136,13,1
36x49,crenshaw,137,14,1
36049,crenshaw,138,12,22
360x9,crenshaw,139,15,1
36049,crenshaw,140,12,22
36049,crenshaw,141,12,22
36049,crenshaw,142,12,22
36049,crenshaw,143,12,22
35640,morgan,144,16,23
35640,morgan,145,16,23
35640,morgan,146,16,23
35640,morgan,147,16,23
35640,morgan,148,16,23
3x640,morgan,149,17,2
35640,morgan,150,16,23
35640,morgan,151,16,23
35640,morgan,152,16,23
35640,morgan,153,16,23
35640,morgan,154,16,23
35640,morgan,155,16,23
35640,morgan,156,16,23
3x640,morgan,157,17,2
35640,morgan,158,16,23
35640,morgan,159,16,23
35640,morgan,160,16,23
35640,morgan,161,16,23
35640,morgan,162,16,23
35640,morgan,163,16,23
35640,morgan,164,16,23
35640,morgan,165,16,23
35640,morgan,166,16,23
35640,morgan,167,16,23
35640,morgan,168,16,23
35976,marshall,169,18,25
35976,marshall,170,18,25
35976,marshall,171,18,25
35976,marshall,172,18,25
35976,marshall,173,18,25
35976,marshall,174,18,25
35976,marshall,175,18,25
35976,marshall,176,18,25
35976,marshall,177,18,25
35976,marshall,178,18,25
35976,marshall,179,18,25
35976,marshall,180,18,25
35976,marshall,181,18,25
35976,marshall,182,18,25
35976,marshall,183,18,25
35976,marshall,184,18,25
35976,marshall,185,18,25
35976,marshall,186,18,25
35976,marshall,187,18,25
35976,marshall,188,18,25
35976,marshall,189,18,25
35976,marshall,190,18,25
35976,marshall,191,18,25
35976,marshall,192,18,25
35976,marshall,193,18,25
35235,jefferson,194,19,23
35235,jefferson,195,19,23
3x23x,jefferson,196,20,1
35235,jefferson,197,19,23
35235,jefferson,198,19,23
35235,jefferson,199,19,23
35235,jefferson,200,19,23
35235,jefferson,201,19,23
35235,jefferson,202,19,23
35235,jefferson,203,19,23
35235,jefferson,204,19,23
35235,jefferson,205,19,23
35235,jefferson,206,19,23
35235,jefferson,207,19,23
35235,jefferson,208,19,23
35235,jefferson,209,19,23
35235,jefferson,210,19,23
35235,jefferson,211,19,23
35235,jefferson,212,19,23
35235,jefferson,213,19,23
35235,jefferson,214,19,23
35235,jefferson,215,19,23
35235,jeffersxn,216,21,1
35235,jefferson,217,19,23
35235,jefferson,218,19,23
35968,de kalb,219,22,20
35968,de kalb,220,22,20
