beer_name,style,original_index,unique_index,count
Pub Beer,American Pale Lager,0,0,1.0
Devil's Cup,American Pale Ale (APA),1,1,1.0
Rise of the Phoenix,American IPA,2,2,1.0
Sinister,American Double / Imperial IPA,3,3,1.0
Sex and Candy,American IPA,4,4,1.0
Black Exodus,Oatmeal Stout,5,5,1.0
Lake Street Express,American Pale Ale (APA),6,6,1.0
Foreman,American Porter,7,7,1.0
Jade,American Pale Ale (APA),8,8,1.0
Cone Crusher,American Double / Imperial IPA,9,9,1.0
Sophomoric Saison,Saison / Farmhouse Ale,10,10,1.0
Regional Ring Of Fire,Saison / Farmhouse Ale,11,11,1.0
Garce Selé,Saison / Farmhouse Ale,12,12,1.0
Troll Destroyer,Belgian IPA,13,13,1.0
Bitter Bitch,American Pale Ale (APA),14,14,1.0
Ginja Ninja,Cider,15,15,1.0
Cherried Away,Cider,16,16,1.0
Rhubarbarian,Cider,17,17,1.0
BrightCider,Cider,18,18,1.0
He Said Baltic-Style Porter,Baltic Porter,19,19,1.0
He Said Belgian-Style Tripel,Tripel,20,20,1.0
Lower De Boom,American Barleywine,21,21,1.0
Fireside Chat,Winter Warmer,22,22,1.0
Marooned On Hog Island,American Stout,23,23,1.0
Bitter American,American Pale Ale (APA),24,24,1.0
Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,25,25,2.0
Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,26,25,2.0
21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,27,26,1.0
21st Amendment IPA (2006),American IPA,28,27,1.0
Brew Free! or Die IPA (2008),American IPA,29,28,1.0
Brew Free! or Die IPA (2009),American IPA,30,29,1.0
Special Edition: Allies Win The War!,English Strong Ale,31,30,1.0
Hop Crisis,American Double / Imperial IPA,32,31,1.0
Bitter American (2011),American Pale Ale (APA),33,32,1.0
Fireside Chat (2010),Winter Warmer,34,33,1.0
Back in Black,American Black Ale,35,34,1.0
Monk's Blood,Belgian Dark Ale,36,35,1.0
Brew Free! or Die IPA,American IPA,37,36,1.0
