score ,original_index,unique_index
empty ,0,0
empty ,1,0
empty ,2,0
empty ,3,0
empty ,4,0
empty ,5,0
empty ,6,0
empty ,7,0
97%   ,8,1
92%   ,9,2
75%   ,10,3
100%  ,11,4
86%   ,12,5
empty ,13,0
empty ,14,0
80%   ,15,6
99%   ,16,7
92%   ,17,2
100%  ,18,4
98%   ,19,8
99%   ,20,7
96%   ,21,9
100%  ,22,4
99%   ,23,7
empty ,24,0
72%   ,25,10
78%   ,26,11
99%   ,27,7
91%   ,28,12
100%  ,29,4
93%   ,30,13
89%   ,31,14
99%   ,32,7
92%   ,33,2
80%   ,34,6
84%   ,35,15
72%   ,36,10
94%   ,37,16
98%   ,38,8
88%   ,39,17
96%   ,40,9
90%   ,41,18
86%   ,42,5
83%   ,43,19
80%   ,44,6
60%   ,45,20
100%  ,46,4
empty ,47,0
100%  ,48,4
empty ,49,0
empty ,50,0
78%   ,51,11
99%   ,52,7
90%   ,53,18
94%   ,54,16
97%   ,55,1
97%   ,56,1
97%   ,57,1
96%   ,58,9
92%   ,59,2
81%   ,60,21
36%   ,61,22
96%   ,62,9
93%   ,63,13
95%   ,64,23
empty ,65,0
100%  ,66,4
78%   ,67,11
74%   ,68,24
97%   ,69,1
96%   ,70,9
93%   ,71,13
100%  ,72,4
96%   ,73,9
empty ,74,0
98%   ,75,8
79%   ,76,25
97%   ,77,1
82%   ,78,26
100%  ,79,4
90%   ,80,18
95%   ,81,23
100%  ,82,4
96%   ,83,9
91%   ,84,12
88%   ,85,17
96%   ,86,9
99%   ,87,7
99%   ,88,7
94%   ,89,16
89%   ,90,14
100%  ,91,4
95%   ,92,23
92%   ,93,2
60%   ,94,20
50%   ,95,27
empty ,96,0
empty ,97,0
100%  ,98,4
empty ,99,0
empty ,100,0
98%   ,101,8
87%   ,102,28
64%   ,103,29
100%  ,104,4
87%   ,105,28
78%   ,106,11
100%  ,107,4
95%   ,108,23
88%   ,109,17
90%   ,110,18
91%   ,111,12
88%   ,112,17
91%   ,113,12
93%   ,114,13
empty ,115,0
100%  ,116,4
87%   ,117,28
88%   ,118,17
0%    ,119,30
x00%  ,120,31
empty ,121,0
empty ,122,0
0%    ,123,30
empty ,124,0
empty ,125,0
4%    ,126,32
72%   ,127,10
75%   ,128,3
0%    ,129,30
25%   ,130,33
93%   ,131,13
33%   ,132,34
95%   ,133,23
62%   ,134,35
47%   ,135,36
100%  ,136,4
100%  ,137,4
100%  ,138,4
100%  ,139,4
empty ,140,0
100%  ,141,4
100%  ,142,4
100%  ,143,4
100%  ,144,4
100%  ,145,4
100%  ,146,4
100%  ,147,4
100%  ,148,4
empty ,149,0
empty ,150,0
97%   ,151,1
98%   ,152,8
100%  ,153,4
100%  ,154,4
98%   ,155,8
100%  ,156,4
100%  ,157,4
9x%   ,158,37
100%  ,159,4
97%   ,160,1
67%   ,161,38
100%  ,162,4
x7%   ,163,39
80%   ,164,6
empty ,165,0
100%  ,166,4
78%   ,167,11
78%   ,168,11
100%  ,169,4
100%  ,170,4
50%   ,171,27
100%  ,172,4
83%   ,173,19
empty ,174,0
empty ,175,0
93%   ,176,13
84%   ,177,15
78%   ,178,11
100%  ,179,4
87%   ,180,28
94%   ,181,16
94%   ,182,16
97%   ,183,1
93%   ,184,13
90%   ,185,18
86%   ,186,5
95x   ,187,40
91%   ,188,12
100%  ,189,4
empty ,190,0
100%  ,191,4
86%   ,192,5
84%   ,193,15
99%   ,194,7
96%   ,195,9
91%   ,196,12
100%  ,197,4
99%   ,198,7
empty ,199,0
85%   ,200,41
94%   ,201,16
98%   ,202,8
98%   ,203,8
100%  ,204,4
87%   ,205,28
96%   ,206,9
100%  ,207,4
x5%   ,208,42
91%   ,209,12
85%   ,210,41
83%   ,211,19
97%   ,212,1
98%   ,213,8
81%   ,214,21
60%   ,215,20
100%  ,216,4
89%   ,217,14
83%   ,218,19
100%  ,219,4
95%   ,220,23
91%   ,221,12
100%  ,222,4
95%   ,223,23
100%  ,224,4
40%   ,225,43
89%   ,226,14
100%  ,227,4
94%   ,228,16
100%  ,229,4
97%   ,230,1
93%   ,231,13
100%  ,232,4
99%   ,233,7
88%   ,234,17
98%   ,235,8
100%  ,236,4
9x%   ,237,37
xx%   ,238,44
98%   ,239,8
empty ,240,0
100%  ,241,4
97%   ,242,1
97%   ,243,1
empty ,244,0
empty ,245,0
empty ,246,0
empty ,247,0
empty ,248,0
empty ,249,0
empty ,250,0
100%  ,251,4
89x   ,252,45
88%   ,253,17
88%   ,254,17
92%   ,255,2
x6%   ,256,46
100%  ,257,4
96%   ,258,9
100%  ,259,4
92%   ,260,2
empty ,261,0
86%   ,262,5
93%   ,263,13
86%   ,264,5
empty ,265,0
100%  ,266,4
90%   ,267,18
90%   ,268,18
99%   ,269,7
97%   ,270,1
100%  ,271,4
100%  ,272,4
97%   ,273,1
empty ,274,0
83%   ,275,19
86%   ,276,5
100%  ,277,4
97%   ,278,1
100%  ,279,4
97%   ,280,1
100%  ,281,4
100%  ,282,4
96%   ,283,9
93%   ,284,13
92%   ,285,2
89%   ,286,14
98%   ,287,8
99%   ,288,7
91%   ,289,12
93%   ,290,13
100%  ,291,4
97%   ,292,1
94%   ,293,16
empty ,294,0
empty ,295,0
empty ,296,0
empty ,297,0
empty ,298,0
empty ,299,0
empty ,300,0
empty ,301,0
empty ,302,0
empty ,303,0
empty ,304,0
empty ,305,0
empty ,306,0
empty ,307,0
empty ,308,0
empty ,309,0
empty ,310,0
100%  ,311,4
33%   ,312,34
98%   ,313,8
96%   ,314,9
93%   ,315,13
100%  ,316,4
93%   ,317,13
0%    ,318,30
87%   ,319,28
87%   ,320,28
100%  ,321,4
90%   ,322,18
100%  ,323,4
97%   ,324,1
100%  ,325,4
100%  ,326,4
97%   ,327,1
92%   ,328,2
91%   ,329,12
83%   ,330,19
100%  ,331,4
100%  ,332,4
100%  ,333,4
100%  ,334,4
100%  ,335,4
x00%  ,336,31
99%   ,337,7
99%   ,338,7
99%   ,339,7
100%  ,340,4
100%  ,341,4
100%  ,342,4
99%   ,343,7
98%   ,344,8
100%  ,345,4
100%  ,346,4
100%  ,347,4
97%   ,348,1
98%   ,349,8
85%   ,350,41
100%  ,351,4
96%   ,352,9
87%   ,353,28
100%  ,354,4
100%  ,355,4
100%  ,356,4
100%  ,357,4
100%  ,358,4
