article_jissue,original_index,unique_index
12.0,0,0
,1,1
4.0,2,2
0.0,3,3
4.0,4,2
4.0,5,2
2.0,6,4
1.0,7,5
7.0,8,6
938.0,9,7
5.0,10,8
6.0,11,9
6.0,12,9
5.0,13,8
8.0,14,10
5.0,15,8
,16,1
4.0,17,2
3.0,18,11
6.0,19,9
12.0,20,0
0.0,21,3
6.0,22,9
15.0,23,12
7.0,24,6
2.0,25,4
12.0,26,0
11.0,27,13
9.0,28,14
9.0,29,14
6.0,30,9
17.0,31,15
0.0,32,3
,33,1
2.0,34,4
3.0,35,11
2.0,36,4
2.0,37,4
10.0,38,16
3.0,39,11
1.0,40,5
10.0,41,16
7.0,42,6
1.0,43,5
12.0,44,0
10.0,45,16
0.0,46,3
,47,1
11.0,48,13
0.0,49,3
2.0,50,4
5.0,51,8
11.0,52,13
6.0,53,9
3.0,54,11
,55,1
6.0,56,9
0.0,57,3
0.0,58,3
12.0,59,0
1.0,60,5
2.0,61,4
2.0,62,4
1.0,63,5
,64,1
,65,1
0.0,66,3
3.0,67,11
3.0,68,11
3.0,69,11
2.0,70,4
2.0,71,4
1.0,72,5
7.0,73,6
3.0,74,11
1.0,75,5
3.0,76,11
10.0,77,16
17.0,78,15
9.0,79,14
2.0,80,4
1.0,81,5
3.0,82,11
4.0,83,2
2.0,84,4
0.0,85,3
4.0,86,2
1.0,87,5
1.0,88,5
3.0,89,11
3.0,90,11
1.0,91,5
4.0,92,2
5.0,93,8
1.0,94,5
3.0,95,11
0.0,96,3
5.0,97,8
3.0,98,11
3.0,99,11
0.0,100,3
3.0,101,11
2.0,102,4
2.0,103,4
4.0,104,2
3.0,105,11
3.0,106,11
2.0,107,4
2.0,108,4
2.0,109,4
9.0,110,14
10.0,111,16
0.0,112,3
4.0,113,2
4.0,114,2
0.0,115,3
1.0,116,5
0.0,117,3
3.0,118,11
0.0,119,3
5.0,120,8
2.0,121,4
,122,1
11.0,123,13
2.0,124,4
4.0,125,2
0.0,126,3
1.0,127,5
4.0,128,2
6.0,129,9
7.0,130,6
6.0,131,9
0.0,132,3
0.0,133,3
1.0,134,5
12.0,135,0
11.0,136,13
3.0,137,11
2.0,138,4
0.0,139,3
5.0,140,8
0.0,141,3
4.0,142,2
6.0,143,9
3.0,144,11
4.0,145,2
5.0,146,8
1.0,147,5
4.0,148,2
3.0,149,11
2.0,150,4
12.0,151,0
22.0,152,17
6.0,153,9
2.0,154,4
25.0,155,18
9.0,156,14
,157,1
4.0,158,2
2.0,159,4
11.0,160,13
5.0,161,8
0.0,162,3
0.0,163,3
3.0,164,11
2.0,165,4
1.0,166,5
8.0,167,10
7.0,168,6
0.0,169,3
7.0,170,6
2.0,171,4
6.0,172,9
4.0,173,2
2.0,174,4
,175,1
0.0,176,3
1.0,177,5
2.0,178,4
10.0,179,16
0.0,180,3
,181,1
0.0,182,3
7.0,183,6
5.0,184,8
6.0,185,9
0.0,186,3
6.0,187,9
2.0,188,4
3.0,189,11
5.0,190,8
1.0,191,5
6.0,192,9
15.0,193,12
3.0,194,11
0.0,195,3
,196,1
,197,1
1.0,198,5
4.0,199,2
,200,1
0.0,201,3
9.0,202,14
5.0,203,8
1.0,204,5
1.0,205,5
0.0,206,3
0.0,207,3
3.0,208,11
,209,1
6.0,210,9
5.0,211,8
27.0,212,19
0.0,213,3
1.0,214,5
4.0,215,2
3.0,216,11
1.0,217,5
0.0,218,3
1.0,219,5
6.0,220,9
4.0,221,2
1.0,222,5
0.0,223,3
0.0,224,3
0.0,225,3
9.0,226,14
3.0,227,11
3.0,228,11
0.0,229,3
4.0,230,2
3.0,231,11
4.0,232,2
5.0,233,8
1.0,234,5
3.0,235,11
4.0,236,2
,237,1
7.0,238,6
9.0,239,14
,240,1
1.0,241,5
7.0,242,6
0.0,243,3
4.0,244,2
0.0,245,3
1.0,246,5
4.0,247,2
1.0,248,5
2.0,249,4
3.0,250,11
2.0,251,4
0.0,252,3
1.0,253,5
117.0,254,20
5.0,255,8
2.0,256,4
6.0,257,9
5.0,258,8
24.0,259,21
4.0,260,2
2.0,261,4
7.0,262,6
2.0,263,4
3.0,264,11
2.0,265,4
7.0,266,6
0.0,267,3
5.0,268,8
0.0,269,3
5.0,270,8
0.0,271,3
0.0,272,3
3.0,273,11
4.0,274,2
0.0,275,3
0.0,276,3
5.0,277,8
11.0,278,13
0.0,279,3
8.0,280,10
0.0,281,3
5.0,282,8
0.0,283,3
4.0,284,2
0.0,285,3
5.0,286,8
0.0,287,3
4.0,288,2
9.0,289,14
1.0,290,5
1.0,291,5
1.0,292,5
0.0,293,3
4.0,294,2
3.0,295,11
6.0,296,9
,297,1
4.0,298,2
4.0,299,2
2.0,300,4
8.0,301,10
2.0,302,4
2.0,303,4
1.0,304,5
7.0,305,6
0.0,306,3
6.0,307,9
6.0,308,9
6.0,309,9
0.0,310,3
10.0,311,16
,312,1
0.0,313,3
0.0,314,3
2.0,315,4
8.0,316,10
8.0,317,10
0.0,318,3
3.0,319,11
10.0,320,16
4.0,321,2
3.0,322,11
,323,1
0.0,324,3
0.0,325,3
3.0,326,11
0.0,327,3
2.0,328,4
0.0,329,3
2.0,330,4
,331,1
0.0,332,3
0.0,333,3
6.0,334,9
5.0,335,8
4.0,336,2
5.0,337,8
2.0,338,4
2.0,339,4
,340,1
0.0,341,3
0.0,342,3
4.0,343,2
0.0,344,3
2.0,345,4
6.0,346,9
3.0,347,11
3.0,348,11
8.0,349,10
2.0,350,4
12.0,351,0
0.0,352,3
,353,1
4.0,354,2
3.0,355,11
,356,1
4.0,357,2
2.0,358,4
2.0,359,4
,360,1
11.0,361,13
1.0,362,5
17.0,363,15
4.0,364,2
,365,1
3.0,366,11
10.0,367,16
11.0,368,13
6.0,369,9
3.0,370,11
5.0,371,8
0.0,372,3
0.0,373,3
2.0,374,4
133.0,375,22
5.0,376,8
12.0,377,0
1.0,378,5
5.0,379,8
5.0,380,8
5.0,381,8
8.0,382,10
3.0,383,11
1.0,384,5
0.0,385,3
0.0,386,3
3.0,387,11
0.0,388,3
3.0,389,11
2.0,390,4
2.0,391,4
3.0,392,11
4.0,393,2
6.0,394,9
1042.0,395,23
2.0,396,4
3.0,397,11
1.0,398,5
3.0,399,11
4.0,400,2
2.0,401,4
4.0,402,2
2.0,403,4
1.0,404,5
12.0,405,0
4.0,406,2
7.0,407,6
0.0,408,3
15.0,409,12
0.0,410,3
1.0,411,5
6.0,412,9
0.0,413,3
0.0,414,3
14.0,415,24
2.0,416,4
2.0,417,4
11.0,418,13
0.0,419,3
4.0,420,2
,421,1
8.0,422,10
1.0,423,5
0.0,424,3
5.0,425,8
0.0,426,3
6.0,427,9
4537.0,428,25
4.0,429,2
1.0,430,5
6.0,431,9
0.0,432,3
0.0,433,3
6.0,434,9
0.0,435,3
,436,1
0.0,437,3
0.0,438,3
12.0,439,0
0.0,440,3
2.0,441,4
6.0,442,9
3.0,443,11
10.0,444,16
,445,1
,446,1
0.0,447,3
3.0,448,11
14.0,449,24
3.0,450,11
9.0,451,14
11.0,452,13
0.0,453,3
1.0,454,5
2.0,455,4
4.0,456,2
12.0,457,0
4.0,458,2
17.0,459,15
1.0,460,5
5.0,461,8
12.0,462,0
1.0,463,5
0.0,464,3
5.0,465,8
0.0,466,3
2.0,467,4
3.0,468,11
1.0,469,5
5.0,470,8
5.0,471,8
6230.0,472,26
,473,1
1.0,474,5
12.0,475,0
3.0,476,11
5.0,477,8
7.0,478,6
2.0,479,4
3.0,480,11
3.0,481,11
2.0,482,4
2.0,483,4
3.0,484,11
2.0,485,4
1.0,486,5
0.0,487,3
0.0,488,3
0.0,489,3
0.0,490,3
14.0,491,24
9.0,492,14
4.0,493,2
4.0,494,2
7.0,495,6
0.0,496,3
1.0,497,5
0.0,498,3
2.0,499,4
7.0,500,6
2.0,501,4
4.0,502,2
1.0,503,5
1.0,504,5
2.0,505,4
5.0,506,8
11.0,507,13
9.0,508,14
5.0,509,8
1.0,510,5
6.0,511,9
,512,1
3.0,513,11
1.0,514,5
4.0,515,2
7.0,516,6
4.0,517,2
10.0,518,16
40.0,519,27
1.0,520,5
4.0,521,2
4.0,522,2
4.0,523,2
40.0,524,27
19.0,525,28
2.0,526,4
1.0,527,5
1.0,528,5
6.0,529,9
0.0,530,3
5826.0,531,29
,532,1
,533,1
5.0,534,8
2.0,535,4
0.0,536,3
4.0,537,2
3.0,538,11
2.0,539,4
5.0,540,8
0.0,541,3
3.0,542,11
7462.0,543,30
0.0,544,3
11.0,545,13
3.0,546,11
0.0,547,3
3.0,548,11
,549,1
,550,1
2.0,551,4
0.0,552,3
3.0,553,11
9.0,554,14
6.0,555,9
11.0,556,13
0.0,557,3
350.0,558,31
7.0,559,6
0.0,560,3
11.0,561,13
0.0,562,3
5.0,563,8
0.0,564,3
1.0,565,5
9453.0,566,32
2.0,567,4
2.0,568,4
2.0,569,4
4.0,570,2
0.0,571,3
7.0,572,6
0.0,573,3
3.0,574,11
4.0,575,2
4.0,576,2
4.0,577,2
4.0,578,2
3.0,579,11
6.0,580,9
4.0,581,2
5.0,582,8
8.0,583,10
0.0,584,3
10.0,585,16
9.0,586,14
10.0,587,16
11.0,588,13
10.0,589,16
1.0,590,5
7.0,591,6
0.0,592,3
0.0,593,3
0.0,594,3
4.0,595,2
4.0,596,2
9.0,597,14
4.0,598,2
4.0,599,2
3.0,600,11
5.0,601,8
8.0,602,10
11.0,603,13
,604,1
2.0,605,4
11.0,606,13
1.0,607,5
1.0,608,5
4.0,609,2
5.0,610,8
5.0,611,8
4.0,612,2
4.0,613,2
5.0,614,8
7486.0,615,33
3.0,616,11
0.0,617,3
4.0,618,2
2.0,619,4
3.0,620,11
31.0,621,34
0.0,622,3
12.0,623,0
4.0,624,2
9.0,625,14
5.0,626,8
12.0,627,0
6.0,628,9
2.0,629,4
8.0,630,10
5.0,631,8
0.0,632,3
0.0,633,3
0.0,634,3
2.0,635,4
4.0,636,2
0.0,637,3
4.0,638,2
0.0,639,3
6.0,640,9
7.0,641,6
,642,1
18.0,643,35
3.0,644,11
0.0,645,3
3.0,646,11
4.0,647,2
1.0,648,5
2.0,649,4
0.0,650,3
6.0,651,9
1.0,652,5
8.0,653,10
1.0,654,5
3.0,655,11
10.0,656,16
10.0,657,16
3.0,658,11
11.0,659,13
5.0,660,8
0.0,661,3
3.0,662,11
7.0,663,6
5.0,664,8
0.0,665,3
5.0,666,8
2.0,667,4
1.0,668,5
2.0,669,4
9.0,670,14
288.0,671,36
5.0,672,8
1.0,673,5
4.0,674,2
2.0,675,4
0.0,676,3
0.0,677,3
4.0,678,2
3.0,679,11
7.0,680,6
0.0,681,3
1.0,682,5
9.0,683,14
0.0,684,3
1.0,685,5
4.0,686,2
6.0,687,9
1.0,688,5
0.0,689,3
11.0,690,13
0.0,691,3
1.0,692,5
