MeasureName,Sample,original_index,unique_index
surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,empty,0,0
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,1,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,2,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,3,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,4,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,5,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,6,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,7,7
heart attack patients given aspirin at arrival,33 patients,8,8
heart attack patients given aspirin at discharge,13 patients,9,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),4 patients,10,10
heart attack patients given smoking cessation advice/counseling,4 patients,11,11
heart attack patients given beta blocker at discharge,14 patients,12,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,13,13
heart attack patients given pci within 90 minutes of arrival,0 patients,14,14
heart failure patients given discharge instructions,114 patients,15,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,149 patients,16,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),3x patients,17,17
heart failure patients given smoking cessation advice/counseling,41 patients,18,18
heart attack patients given aspirin at arrival,270 patients,19,19
heart attack patients given aspirin at discharge,516 patients,20,20
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71 patients,21,21
heart attack patients given smoking cessation advice/counseling,244 patients,22,22
heart attack patients given beta blocker at discharge,441 patients,23,23
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,24,13
heart attack patients given pci within 90 minutes of arrival,40 patients,25,24
heart failure patients given discharge instructions,455 patients,26,25
heart failure patients given an evaluation of left ventricular systolic (lvs) function,514 patients,27,26
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),165 patients,28,27
heart failure patients given smoking cessation advice/counseling,110 patients,29,28
pneumonia patients assessed and given pneumococcal vaccination,191 patients,30,29
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,125 patients,31,30
pneumonia patients given smoking cessation advice/counseling,107 patients,32,31
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,196 patients,33,32
pneumonia patients given the most appropriate initial antibiotic(s),147 patients,34,33
pneumonia patients assessed and given influenza vaccination,160 patients,35,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,79 patients,36,35
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,399 patients,37,36
surgery patients who were given the  right kind  of antibiotic to help prevent infection,405 patients,38,37
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),385 patients,39,38
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,136 patients,40,39
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),537 patients,41,40
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,185 patients,42,41
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,184 patients,43,42
heart attack patients given aspirin at arrival,20 patients,44,43
heart attack patients given aspirin at discharge,5 patients,45,44
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),2 patients,46,45
heart attack patients given smoking cessation advice/counseling,0 patients,47,46
heart attack patients given beta blocker at discharge,5 patients,48,47
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,49,13
heart attack patients given pci within 90 minutes of arrival,0 patients,50,14
heart failure patients given discharge instructions,110 patients,51,48
heart failure patients given an evaluation of left ventricular systolic (lvs) function,160 patients,52,49
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),69 patients,53,50
heart failure patients given smoking cessation advice/counseling,34 patients,54,51
pneumonia patients assessed and given pneumococcal vaccination,172 patients,55,52
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,120 patients,56,53
pneumonia patients given smoking cessation advice/counseling,98 patients,57,54
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,211 patients,58,55
pneumonia patients given the most appropriate initial antibiotic(s),175 patients,59,56
pneumonia patients assessed and given influenza vaccination,118 patients,60,57
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,14 patients,61,58
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,168 patients,62,59
surgery patients who were given the  right kind  of antibiotic to help prevent infection,167 patients,63,60
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),158 patients,64,61
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,65,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),237 patients,66,63
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,76 patients,67,64
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,76 patients,68,65
heart attack patients given aspirin at arrival,159 patients,69,66
heart attack patients given aspirin at discharge,247 patients,70,67
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),43 patients,71,68
heart attack patients given smoking cessation advice/counseling,103 patients,72,69
heart attack patients given beta blocker at discharge,227 patients,73,70
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,74,13
heart attack patients given pci within 90 minutes of arrival,61 patients,75,71
heart failure patients given discharge instructions,217 patients,76,72
heart failure patients given an evaluation of left ventricular systolic (lvs) function,259 patients,77,73
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),84 patients,78,74
heart failure patients given smoking cessation advice/counseling,53 patients,79,75
pneumonia patients assessed and given pneumococcal vaccination,174 patients,80,76
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,137 patients,81,77
pneumonia patients given smoking cessation advice/counseling,65 patients,82,78
