src,sched_dep_time,original_index,unique_index
aa,7:10 a.m.,0,0
aa,7:45 p.m.,1,1
aa,6:30 p.m.,2,2
aa,6:40 a.m.,3,3
aa,12:15 p.m.,4,4
aa,11:25 p.m.,5,5
aa,7:00 a.m.,6,6
aa,4:15 p.m.,7,7
aa,11:50 a.m.,8,8
aa,6:00 a.m.,9,9
aa,10:45 a.m.,10,10
aa,7:55 a.m.,11,11
aa,10:15 a.m.,12,12
aa,7:30 a.m.,13,13
aa,1:00 p.m.,14,14
aa,9:05 a.m.,15,15
aa,11:45 a.m.,16,16
aa,7:25 a.m.,17,17
aa,6:45 a.m.,18,18
aa,11:35 a.m.,19,19
aa,10:40 a.m.,20,20
aa,3:35 p.m.,21,21
aa,7:15 a.m.,22,22
aa,6:45 p.m.,23,23
aa,12:00 p.m.,24,24
aa,6:00 a.m.,25,9
aa,7:10 a.m.,26,0
aa,4:55 p.m.,27,25
aa,8:00 p.m.,28,26
aa,10:40 a.m.,29,20
aa,10:40 a.m.,30,20
aa,11:55 p.m.,31,27
aa,9:00 p.m.,32,28
aa,8:25 p.m.,33,29
aa,6:59 a.m.,34,30
aa,8:35 a.m.,35,31
aa,1:30 p.m.,36,32
aa,8:20 p.m.,37,33
aa,2:35 p.m.,38,34
aa,2:55 p.m.,39,35
aa,7:15 a.m.,40,22
aa,12:10 p.m.,41,36
aa,1:05 p.m.,42,37
aa,8:35 a.m.,43,31
aa,3:05 p.m.,44,38
aa,11:25 a.m.,45,39
aa,4:00 p.m.,46,40
aa,7:10 a.m.,47,0
aa,6:00 a.m.,48,9
aa,7:10 a.m.,49,0
helloflight,,50,41
helloflight,7:00 p.m.,51,42
helloflight,,52,41
helloflight,,53,41
helloflight,,54,41
helloflight,,55,41
helloflight,,56,41
helloflight,11:25 a.m.,57,43
helloflight,,58,41
helloflight,,59,41
helloflight,,60,41
helloflight,,61,41
helloflight,12:30 a.m.,62,44
helloflight,,63,41
helloflight,7:35 a.m.,64,45
helloflight,9:45 a.m.,65,46
helloflight,,66,41
helloflight,,67,41
helloflight,,68,41
helloflight,,69,41
helloflight,,70,41
helloflight,2:30 p.m.,71,47
helloflight,8:05 a.m.,72,48
helloflight,,73,41
helloflight,,74,41
helloflight,11:40 a.m.,75,49
helloflight,,76,41
helloflight,,77,41
helloflight,6:00 a.m.,78,50
helloflight,8:40 a.m.,79,51
helloflight,,80,41
helloflight,,81,41
helloflight,,82,41
helloflight,,83,41
helloflight,,84,41
helloflight,,85,41
helloflight,,86,41
helloflight,5:25 p.m.,87,52
helloflight,7:10 p.m.,88,53
helloflight,,89,41
helloflight,,90,41
helloflight,3:35 p.m.,91,54
helloflight,,92,41
helloflight,,93,41
helloflight,,94,41
helloflight,,95,41
helloflight,7:15 p.m.,96,55
helloflight,,97,41
helloflight,9:15 a.m.,98,56
helloflight,,99,41
helloflight,,100,41
helloflight,,101,41
helloflight,,102,41
helloflight,,103,41
helloflight,,104,41
helloflight,,105,41
helloflight,10:25 a.m.,106,57
helloflight,,107,41
helloflight,,108,41
helloflight,,109,41
helloflight,,110,41
helloflight,1:29 p.m.,111,58
helloflight,,112,41
helloflight,,113,41
helloflight,,114,41
helloflight,,115,41
helloflight,,116,41
helloflight,,117,41
helloflight,,118,41
helloflight,,119,41
helloflight,2:53 p.m.,120,59
helloflight,,121,41
helloflight,11:08 p.m.,122,60
helloflight,,123,41
helloflight,,124,41
helloflight,,125,41
helloflight,,126,41
helloflight,,127,41
helloflight,2:30 p.m.,128,47
helloflight,8:55 a.m.,129,61
helloflight,,130,41
helloflight,,131,41
helloflight,,132,41
helloflight,,133,41
helloflight,,134,41
helloflight,9:05 a.m. (-00:00),135,62
helloflight,,136,41
helloflight,,137,41
helloflight,,138,41
helloflight,,139,41
helloflight,,140,41
helloflight,,141,41
helloflight,2:55 p.m.,142,63
helloflight,,143,41
helloflight,,144,41
helloflight,,145,41
helloflight,4:00 p.m.,146,64
helloflight,,147,41
helloflight,,148,41
helloflight,,149,41
boston,7:10 a.m.,150,65
boston,,151,66
boston,6:40 a.m.,152,67
boston,8:00 a.m.,153,68
boston,,154,66
boston,7:45 p.m.,155,69
boston,12:00 p.m.,156,70
boston,3:27 p.m.,157,71
boston,,158,66
boston,,159,66
boston,11:25 p.m.,160,72
boston,,161,66
boston,,162,66
boston,4:00 p.m.,163,73
boston,,164,66
boston,,165,66
boston,9:05 a.m.,166,74
boston,,167,66
boston,7:00 a.m.,168,75
boston,4:15 p.m.,169,76
boston,,170,66
boston,,171,66
boston,,172,66
boston,,173,66
boston,11:50 a.m.,174,77
boston,,175,66
boston,6:00 a.m.,176,78
boston,11:05 a.m.,177,79
boston,,178,66
boston,,179,66
boston,10:15 a.m.,180,80
boston,1:00 p.m.,181,81
boston,,182,66
boston,,183,66
boston,,184,66
boston,2:30 p.m.,185,82
boston,12:00 p.m.,186,70
boston,,187,66
boston,,188,66
boston,10:40 a.m.,189,83
boston,12:57 p.m.,190,84
boston,,191,66
boston,7:15 a.m.,192,85
boston,6:30 p.m.,193,86
boston,6:45 p.m.,194,87
boston,7:15 p.m.,195,88
boston,,196,66
boston,9:15 a.m.,197,89
boston,6:00 a.m.,198,78
boston,7:10 a.m.,199,65
boston,,200,66
boston,3:50 p.m.,201,90
boston,,202,66
boston,8:00 p.m.,203,91
boston,,204,66
boston,,205,66
boston,10:40 a.m.,206,83
boston,1:33 p.m.,207,92
boston,12:15 p.m.,208,93
boston,,209,66
boston,11:55 p.m.,210,94
boston,4:25 p.m.,211,95
boston,9:00 p.m.,212,96
boston,8:25 p.m.,213,97
boston,6:59 a.m.,214,98
boston,8:35 a.m.,215,99
boston,,216,66
boston,1:30 p.m.,217,100
boston,,218,66
boston,,219,66
boston,11:08 p.m.,220,101
boston,5:30 p.m.,221,102
boston,,222,66
boston,,223,66
boston,,224,66
boston,,225,66
boston,,226,66
boston,,227,66
boston,2:35 p.m.,228,103
boston,2:55 p.m.,229,104
boston,7:15 a.m.,230,85
boston,12:10 p.m.,231,105
boston,7:55 a.m.,232,106
boston,,233,66
boston,1:05 p.m.,234,107
boston,,235,66
boston,3:05 p.m.,236,108
boston,7:30 a.m.,237,109
boston,,238,66
boston,4:00 p.m.,239,73
boston,11:35 a.m.,240,110
boston,7:25 a.m.,241,111
boston,,242,66
boston,11:55 a.m.,243,112
boston,10:40 a.m.,244,83
boston,6:45 a.m.,245,113
boston,4:00 p.m.,246,73
boston,6:00 a.m.,247,78
boston,7:10 a.m.,248,65
boston,7:10 a.m.,249,65
weather,7:10 a.m.,250,114
weather,6:40 a.m.,251,115
weather,8:00 a.m.,252,116
weather,8:41 a.m.,253,117
weather,7:45 p.m.,254,118
weather,6:30 p.m.,255,119
weather,3:27 p.m.,256,120
weather,11:25 a.m.,257,121
weather,11:25 a.m.,258,121
weather,10:39 a.m.,259,122
weather,11:25 p.m.,260,123
weather,6:00 a.m.,261,124
weather,12:15 p.m.,262,125
weather,4:00 p.m.,263,126
weather,9:45 a.m.,264,127
weather,7:00 a.m.,265,128
weather,8:15 a.m.,266,129
weather,4:15 p.m.,267,130
weather,2:30 p.m.,268,131
weather,11:50 a.m.,269,132
weather,6:00 a.m.,270,124
weather,11:05 a.m.,271,133
weather,6:00 a.m.,272,124
weather,8:40 a.m.,273,134
weather,10:45 a.m.,274,135
weather,10:15 a.m.,275,136
weather,7:30 a.m.,276,137
weather,1:00 p.m.,277,138
weather,12:30 a.m.,278,139
weather,9:05 a.m.,279,140
weather,11:45 a.m.,280,141
weather,12:00 p.m.,281,142
weather,7:25 a.m.,282,143
weather,11:35 a.m.,283,144
weather,10:40 a.m.,284,145
weather,7:15 a.m.,285,146
weather,8:05 a.m.,286,147
weather,6:45 p.m.,287,148
weather,12:00 p.m.,288,142
weather,7:15 p.m.,289,149
weather,1:55 p.m.,290,150
weather,9:15 a.m.,291,151
weather,6:00 a.m.,292,124
weather,7:10 a.m.,293,114
weather,3:50 p.m.,294,152
weather,4:16 p.m.,295,153
weather,8:00 p.m.,296,154
weather,10:25 a.m.,297,155
weather,7:05 a.m.,298,156
weather,10:40 a.m.,299,145
weather,1:33 p.m.,300,157
weather,11:55 p.m.,301,158
weather,4:25 p.m.,302,159
weather,9:00 p.m.,303,160
weather,8:25 p.m.,304,161
weather,6:59 a.m.,305,162
weather,8:35 a.m.,306,163
weather,2:30 p.m.,307,131
weather,8:29 a.m.,308,164
weather,1:30 p.m.,309,165
weather,2:53 p.m.,310,166
weather,7:35 a.m.,311,167
weather,1:45 p.m.,312,168
weather,11:15 a.m.,313,169
weather,8:20 p.m.,314,170
weather,2:55 p.m.,315,171
weather,2:30 p.m.,316,131
weather,2:35 p.m.,317,172
weather,2:55 p.m.,318,171
weather,7:15 a.m.,319,146
weather,2:55 p.m.,320,171
weather,12:10 p.m.,321,173
weather,7:55 a.m.,322,174
weather,9:05 a.m.,323,140
weather,1:05 p.m.,324,175
weather,7:53 a.m.,325,176
weather,8:35 a.m.,326,163
weather,3:05 p.m.,327,177
weather,4:00 p.m.,328,126
weather,2:55 p.m.,329,171
weather,11:55 a.m.,330,178
weather,10:40 a.m.,331,145
weather,6:45 a.m.,332,179
weather,4:00 p.m.,333,126
weather,6:00 a.m.,334,124
weather,7:10 a.m.,335,114
weather,7:10 a.m.,336,114
airtravelcenter,,337,180
airtravelcenter,7:00 p.m.,338,181
airtravelcenter,,339,180
airtravelcenter,,340,180
airtravelcenter,,341,180
airtravelcenter,,342,180
airtravelcenter,,343,180
airtravelcenter,11:25 a.m.,344,182
airtravelcenter,,345,180
airtravelcenter,,346,180
airtravelcenter,,347,180
airtravelcenter,,348,180
airtravelcenter,12:30 a.m.,349,183
airtravelcenter,,350,180
airtravelcenter,7:35 a.m.,351,184
airtravelcenter,9:45 a.m.,352,185
airtravelcenter,,353,180
airtravelcenter,,354,180
airtravelcenter,,355,180
airtravelcenter,,356,180
airtravelcenter,,357,180
airtravelcenter,2:30 p.m.,358,186
airtravelcenter,8:05 a.m.,359,187
airtravelcenter,,360,180
airtravelcenter,,361,180
airtravelcenter,11:40 a.m.,362,188
airtravelcenter,,363,180
airtravelcenter,,364,180
airtravelcenter,6:00 a.m.,365,189
airtravelcenter,8:40 a.m.,366,190
airtravelcenter,,367,180
airtravelcenter,,368,180
airtravelcenter,,369,180
airtravelcenter,,370,180
airtravelcenter,,371,180
airtravelcenter,,372,180
airtravelcenter,,373,180
airtravelcenter,5:25 p.m.,374,191
airtravelcenter,7:10 p.m.,375,192
airtravelcenter,,376,180
airtravelcenter,,377,180
airtravelcenter,3:35 p.m.,378,193
airtravelcenter,,379,180
airtravelcenter,,380,180
airtravelcenter,,381,180
airtravelcenter,,382,180
airtravelcenter,7:15 p.m.,383,194
airtravelcenter,,384,180
airtravelcenter,9:15 a.m.,385,195
airtravelcenter,,386,180
airtravelcenter,,387,180
airtravelcenter,,388,180
airtravelcenter,,389,180
airtravelcenter,,390,180
airtravelcenter,,391,180
airtravelcenter,,392,180
airtravelcenter,10:25 a.m.,393,196
airtravelcenter,,394,180
airtravelcenter,,395,180
airtravelcenter,,396,180
airtravelcenter,,397,180
airtravelcenter,1:29 p.m.,398,197
airtravelcenter,,399,180
airtravelcenter,,400,180
airtravelcenter,,401,180
airtravelcenter,,402,180
airtravelcenter,,403,180
airtravelcenter,,404,180
airtravelcenter,,405,180
airtravelcenter,,406,180
airtravelcenter,2:53 p.m.,407,198
airtravelcenter,,408,180
airtravelcenter,11:08 p.m.,409,199
airtravelcenter,,410,180
airtravelcenter,,411,180
airtravelcenter,,412,180
airtravelcenter,,413,180
airtravelcenter,,414,180
airtravelcenter,2:30 p.m.,415,186
airtravelcenter,8:55 a.m.,416,200
airtravelcenter,,417,180
airtravelcenter,,418,180
airtravelcenter,,419,180
airtravelcenter,,420,180
airtravelcenter,,421,180
airtravelcenter,9:05 a.m. (-00:00),422,201
airtravelcenter,,423,180
airtravelcenter,,424,180
airtravelcenter,,425,180
airtravelcenter,,426,180
airtravelcenter,,427,180
airtravelcenter,,428,180
airtravelcenter,2:55 p.m.,429,202
airtravelcenter,,430,180
airtravelcenter,,431,180
airtravelcenter,,432,180
airtravelcenter,4:00 p.m.,433,203
airtravelcenter,,434,180
airtravelcenter,,435,180
airtravelcenter,,436,180
flightview,7:10 a.m.,437,204
flightview,,438,205
flightview,6:40 a.m.,439,206
flightview,8:00 a.m.,440,207
flightview,,441,205
flightview,7:45 p.m.,442,208
