state,original_index,unique_index
OR,0,0
IN,1,1
IN,2,1
IN,3,1
IN,4,1
IN,5,1
IN,6,1
IN,7,1
IN,8,1
IN,9,1
IN,10,1
IN,11,1
IN,12,1
IN,13,1
IN,14,1
OR,15,0
OR,16,0
OR,17,0
OR,18,0
CA,19,2
,20,3
CA,21,2
CA,22,2
CA,23,2
CA,24,2
CA,25,2
CA,26,2
CA,27,2
CA,28,2
CA,29,2
CA,30,2
CA,31,2
CA,32,2
CA,33,2
CA,34,2
CA,35,2
CA,36,2
CA,37,2
CA,38,2
FL,39,4
FL,40,4
FL,41,4
MO,42,5
MO,43,5
MO,44,5
MO,45,5
MO,46,5
,47,3
MO,48,5
MO,49,5
IN,50,1
IN,51,1
IN,52,1
IN,53,1
IN,54,1
IN,55,1
IN,56,1
WA,57,6
WA,58,6
WA,59,6
WA,60,6
FL,61,4
CO,62,7
CO,63,7
LA,64,8
LA,65,8
LA,66,8
KY,67,9
KY,68,9
KY,69,9
KY,70,9
KY,71,9
KY,72,9
KY,73,9
KY,74,9
KY,75,9
KY,76,9
KY,77,9
KY,78,9
KY,79,9
KY,80,9
KY,81,9
WA,82,6
WA,83,6
WA,84,6
OR,85,0
OR,86,0
OR,87,0
AK,88,10
AK,89,10
,90,3
KY,91,9
KY,92,9
WA,93,6
WA,94,6
WA,95,6
CA,96,2
CA,97,2
CA,98,2
CA,99,2
CA,100,2
CA,101,2
CA,102,2
CA,103,2
CA,104,2
CA,105,2
CA,106,2
CA,107,2
CA,108,2
CA,109,2
CA,110,2
CA,111,2
CA,112,2
CA,113,2
CA,114,2
CA,115,2
CA,116,2
CA,117,2
CA,118,2
WI,119,11
WI,120,11
,121,3
OH,122,12
OH,123,12
OH,124,12
OK,125,13
OK,126,13
OK,127,13
NC,128,14
NC,129,14
NC,130,14
MI,131,15
MI,132,15
CO,133,7
,134,3
TX,135,16
CA,136,2
CO,137,7
NC,138,14
,139,3
NC,140,14
WA,141,6
WA,142,6
WA,143,6
CO,144,7
CO,145,7
OR,146,0
OR,147,0
OR,148,0
OR,149,0
MI,150,15
MI,151,15
MI,152,15
MI,153,15
MI,154,15
,155,3
TX,156,16
TX,157,16
TX,158,16
TX,159,16
TX,160,16
CO,161,7
CO,162,7
CO,163,7
CO,164,7
CO,165,7
CO,166,7
NC,167,14
NC,168,14
NC,169,14
NC,170,14
NC,171,14
NC,172,14
CT,173,17
CT,174,17
CT,175,17
CT,176,17
CT,177,17
AL,178,18
AL,179,18
WA,180,6
WA,181,6
CA,182,2
,183,3
CA,184,2
CA,185,2
CA,186,2
CA,187,2
MA,188,19
MA,189,19
MA,190,19
IN,191,1
AZ,192,20
AZ,193,20
OR,194,0
OR,195,0
OR,196,0
OR,197,0
OR,198,0
MN,199,21
MN,200,21
MN,201,21
MN,202,21
ME,203,22
ME,204,22
ME,205,22
ME,206,22
ME,207,22
ME,208,22
ME,209,22
ME,210,22
ME,211,22
VA,212,23
MA,213,19
MA,214,19
MA,215,19
MA,216,19
MI,217,15
MI,218,15
MI,219,15
MI,220,15
MI,221,15
MI,222,15
MN,223,21
MN,224,21
MN,225,21
MN,226,21
MN,227,21
MN,228,21
MN,229,21
,230,3
MN,231,21
MA,232,19
MA,233,19
TX,234,16
TX,235,16
TX,236,16
TX,237,16
TX,238,16
CO,239,7
CO,240,7
CO,241,7
CO,242,7
MA,243,19
MA,244,19
MA,245,19
MI,246,15
MI,247,15
IL,248,24
IL,249,24
TN,250,25
TN,251,25
MT,252,26
MT,253,26
MT,254,26
MT,255,26
MT,256,26
MT,257,26
MT,258,26
MT,259,26
MT,260,26
MT,261,26
MT,262,26
MT,263,26
FL,264,4
FL,265,4
MN,266,21
MN,267,21
MN,268,21
MN,269,21
MN,270,21
NC,271,14
MT,272,26
MT,273,26
MT,274,26
IN,275,1
CA,276,2
CA,277,2
CA,278,2
CA,279,2
CO,280,7
CO,281,7
CO,282,7
CO,283,7
WY,284,27
WY,285,27
MA,286,19
MI,287,15
MI,288,15
MI,289,15
MI,290,15
MI,291,15
MI,292,15
NE,293,28
NE,294,28
NE,295,28
NE,296,28
NE,297,28
NE,298,28
NE,299,28
NE,300,28
NE,301,28
NE,302,28
NE,303,28
NE,304,28
NE,305,28
NE,306,28
OR,307,0
OR,308,0
,309,3
,310,3
VA,311,23
VA,312,23
VA,313,23
VA,314,23
TX,315,16
TX,316,16
TX,317,16
TX,318,16
NY,319,29
NY,320,29
NY,321,29
NY,322,29
UT,323,30
UT,324,30
UT,325,30
UT,326,30
UT,327,30
FL,328,4
FL,329,4
FL,330,4
NJ,331,31
NJ,332,31
NY,333,29
NY,334,29
CO,335,7
CO,336,7
CO,337,7
CO,338,7
CO,339,7
CO,340,7
CO,341,7
CO,342,7
CO,343,7
CO,344,7
CO,345,7
CO,346,7
CO,347,7
CO,348,7
CO,349,7
CO,350,7
CO,351,7
,352,3
CO,353,7
AZ,354,20
MA,355,19
MA,356,19
MA,357,19
MA,358,19
MA,359,19
MA,360,19
MA,361,19
MA,362,19
MA,363,19
CO,364,7
CO,365,7
CO,366,7
MO,367,5
PA,368,32
PA,369,32
PA,370,32
MT,371,26
MT,372,26
MT,373,26
MT,374,26
MT,375,26
TX,376,16
OR,377,0
CO,378,7
CO,379,7
CO,380,7
,381,3
FL,382,4
FL,383,4
FL,384,4
FL,385,4
,386,3
MI,387,15
MI,388,15
MI,389,15
MI,390,15
MI,391,15
MI,392,15
MI,393,15
MI,394,15
MI,395,15
MI,396,15
MI,397,15
MI,398,15
MI,399,15
MI,400,15
MI,401,15
MI,402,15
MI,403,15
MI,404,15
MI,405,15
MI,406,15
MI,407,15
MI,408,15
MI,409,15
,410,3
MI,411,15
MI,412,15
MI,413,15
MI,414,15
MI,415,15
MI,416,15
MI,417,15
MI,418,15
MI,419,15
MI,420,15
MI,421,15
MI,422,15
MI,423,15
MI,424,15
MI,425,15
MI,426,15
MI,427,15
MI,428,15
MI,429,15
MI,430,15
MI,431,15
MI,432,15
MI,433,15
MI,434,15
MI,435,15
MI,436,15
MI,437,15
MI,438,15
MI,439,15
MI,440,15
MI,441,15
MI,442,15
MI,443,15
MI,444,15
MI,445,15
MI,446,15
MI,447,15
MI,448,15
MI,449,15
FL,450,4
,451,3
CT,452,17
AK,453,10
AK,454,10
AK,455,10
AK,456,10
NY,457,29
NY,458,29
NY,459,29
NY,460,29
,461,3
NY,462,29
NV,463,33
NV,464,33
NV,465,33
,466,3
NV,467,33
NV,468,33
NV,469,33
OH,470,12
IL,471,24
,472,3
TX,473,16
TX,474,16
IN,475,1
IN,476,1
IN,477,1
IN,478,1
IN,479,1
IN,480,1
IN,481,1
IN,482,1
IN,483,1
IN,484,1
IN,485,1
OR,486,0
CA,487,2
NY,488,29
NY,489,29
NY,490,29
NY,491,29
SC,492,34
SC,493,34
SC,494,34
SC,495,34
SC,496,34
SC,497,34
OK,498,13
OK,499,13
,500,3
OK,501,13
OK,502,13
OK,503,13
OR,504,0
OR,505,0
OR,506,0
OR,507,0
,508,3
OR,509,0
OR,510,0
OR,511,0
OR,512,0
OR,513,0
OR,514,0
OR,515,0
OR,516,0
OR,517,0
,518,3
MA,519,19
NC,520,14
NC,521,14
NC,522,14
NC,523,14
MA,524,19
MA,525,19
MA,526,19
MA,527,19
,528,3
MA,529,19
MA,530,19
WI,531,11
WI,532,11
WI,533,11
WI,534,11
WI,535,11
WI,536,11
WI,537,11
WI,538,11
WI,539,11
WI,540,11
WI,541,11
,542,3
,543,3
NC,544,14
NC,545,14
NC,546,14
NC,547,14
NJ,548,31
NJ,549,31
,550,3
NJ,551,31
OR,552,0
OR,553,0
NC,554,14
NC,555,14
NC,556,14
NC,557,14
NC,558,14
NC,559,14
NC,560,14
OH,561,12
OH,562,12
NC,563,14
NC,564,14
TX,565,16
TX,566,16
TX,567,16
TX,568,16
TX,569,16
TX,570,16
CO,571,7
,572,3
VA,573,23
VA,574,23
VA,575,23
VA,576,23
CA,577,2
,578,3
CA,579,2
CA,580,2
VA,581,23
VA,582,23
VA,583,23
,584,3
IN,585,1
IN,586,1
IN,587,1
,588,3
NY,589,29
NY,590,29
MI,591,15
MI,592,15
MI,593,15
OH,594,12
WA,595,6
WI,596,11
WI,597,11
FL,598,4
FL,599,4
FL,600,4
FL,601,4
FL,602,4
FL,603,4
FL,604,4
FL,605,4
FL,606,4
FL,607,4
FL,608,4
FL,609,4
FL,610,4
FL,611,4
FL,612,4
FL,613,4
FL,614,4
FL,615,4
FL,616,4
,617,3
FL,618,4
FL,619,4
FL,620,4
FL,621,4
FL,622,4
MA,623,19
MA,624,19
MA,625,19
MA,626,19
MA,627,19
MA,628,19
MA,629,19
