0,1,2,3,4,5,6,7,8,9,10
434500,Too little but not too late: results of a literature review to improve routine immunization programs in developing countries,,,,,0.0,0.0,,,{NULL}
448010,Attitudes of physicians regarding anticoagulation for atrial fibrillation: a systematic review. [Review],,,,,0.0,0.0,,,{NULL}
465176,A literature review on chronic pain: the daily overcoming of a complex problem.,,,,,0.0,0.0,,,{NULL}
453607,Evidence-based evaluation of therapeutic measures for amyotrophic lateral sclerosis. [Chinese],,,,,0.0,0.0,,,{NULL}
934327,Use of a Brief Phone Call After ED Discharge,,,,,0.0,0.0,,,"{""NCT01893931 ""}"
449003,"Stroke in children with posterior fossa brain malformations, hemangiomas, arterial anomalies, coarctation of the aorta and cardiac defects, and eye abnormalities (PHACE) syndrome: A systematic review of the literature.",,,,,0.0,0.0,,,{NULL}
460786,Splinting osseointegrated implants and natural teeth in partially edentulous patients: a systematic review of the literature. [Review],,,,,0.0,0.0,,,{NULL}
892609,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,,,,0.0,0.0,,,{NULL}
450749,Interleukin-28B polymorphisms on the SVR in the treatment of naive chronic hepatitis C with pegylated interferon-alpha plus ribavirin: A meta-analysis.,,,,,0.0,0.0,,,{NULL}
436781,Hoarse voice in adults: An evidence-based approach to the 12 minute consultation.,,,,,0.0,0.0,,,{NULL}
450528,Impact of hepatitis C on survival in dialysis patients: A link with cardiovascular mortality?.,,,,,0.0,0.0,,,{NULL}
438681,Should psychiatrists use atypical antipsychotics to treat nonpsychotic anxiety?.,,,,,0.0,0.0,,,{NULL}
317155,Predictors of intention to adhere to physiotherapy among women with urinary incontinence.,,,,,0.0,0.0,,,{NULL}
467318,The fundamental role of bone morphogenetic protein 15 in ovarian function and its      involvement in female fertility disorders.,,,,,0.0,0.0,,,{NULL}
456691,"The Role of Radiology in Preclinical Anatomy. A Critical Review of the Past, Present, and Future.",,,,,0.0,0.0,,,{NULL}
464911,Dose optimization of infliximab in patients with rheumatoid arthritis.,,,,,0.0,0.0,,,{NULL}
439302,"American Society of Clinical Oncology clinical practice guideline update on the use of pharmacologic interventions including tamoxifen, raloxifene, and aromatase inhibition for breast cancer risk reduction.",,,,,0.0,0.0,,,{NULL}
433667,"Norton, Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement",,,,,0.0,0.0,,,{NULL}
934177,An Assessment of Voluntary Adolescent Mental Health Screening and Referral in a Children's Hospital Emergency Department,,,,,0.0,0.0,,,"{""NCT00750412 ""}"
449419,Inhibition of dxpression of VEGF in tumor cells by RNAi. [Chinese],,,,,0.0,0.0,,,{NULL}
456934,Same-Day Discharge After Percutaneous Coronary Intervention: A Meta-Analysis.,,,,,0.0,0.0,,,{NULL}
431896,"Daily step goal of 10,000 steps: A literature review.",,,,,0.0,0.0,,,{NULL}
