owner                                       ,original_index,unique_index
voluntary non-profit - private              ,0,0
voluntary non-profit - private              ,1,0
voluntary non-profit - private              ,2,0
voluntary non-profit - private              ,3,0
voluntary non-profit - private              ,4,0
voluntary non-profit - private              ,5,0
voluntary non-profit - private              ,6,0
voluntary non-profit - private              ,7,0
government - hospital district or authority ,8,1
government - hospital district or authority ,9,1
government - hospital district or authority ,10,1
government - hospital district or authority ,11,1
government - hospital district or authority ,12,1
government - hospital district or authority ,13,1
government - hospital district or authority ,14,1
government - hospital district or authority ,15,1
government - hospital district or authority ,16,1
government - hospital district or authority ,17,1
government - hospital district or authority ,18,1
government - hospital district or authority ,19,1
government - hospital district or authority ,20,1
government - hospital district or authority ,21,1
government - hospxtal dxstrxct or authorxty ,22,2
government - hospital district or authority ,23,1
government - hospital district or authority ,24,1
government - hospital district or authority ,25,1
government - hospital district or authority ,26,1
government - hospital xistrict or authority ,27,3
government - hospital district or authority ,28,1
government - hospital district or authority ,29,1
government - hospital district or authority ,30,1
governmenx - hospixal disxricx or auxhorixy ,31,4
government - hospital district or authority ,32,1
government - hospital district or authority ,33,1
government - hospital district or authority ,34,1
government - hospital district or authority ,35,1
government - hospital district or authority ,36,1
government - hospital district or authority ,37,1
government - hospital district or authority ,38,1
government - hospital district or authority ,39,1
government - hospital district or authority ,40,1
government - hospital district or authority ,41,1
gxvernment - hxspital district xr authxrity ,42,5
government - hospital district or authority ,43,1
government - hospital district or authority ,44,1
government - hospital district or authority ,45,1
government - hospital district or authority ,46,1
government - hospital district or authority ,47,1
government - hospital district or authority ,48,1
government - hospital district or authority ,49,1
government - hospital district or authority ,50,1
government - hospital district or authority ,51,1
government - hospital district or authority ,52,1
government - hospital district or authority ,53,1
government - hospital district or authority ,54,1
government - hospital district or authority ,55,1
government - hospital district or authority ,56,1
government - hospital district or authority ,57,1
government - hospital district or authority ,58,1
government - hospital district or authority ,59,1
government - hospital district or authority ,60,1
government - hospital district or authority ,61,1
government - hospital district or authority ,62,1
government - hospital district or authority ,63,1
