Sample,Stateavg,original_index,unique_index
empty,al_scip-card-2,0,0
empty,al_scip-inf-1,1,1
empty,al_scip-inf-2,2,2
empty,al_scip-inf-3,3,3
empty,al_scip-inf-4,4,4
empty,al_scip-inf-6,5,5
empty,al_scip-vte-1,6,6
empty,al_scip-vte-2,7,7
33 patients,al_ami-1,8,8
13 patients,al_ami-2,9,9
4 patients,al_ami-3,10,10
4 patients,al_ami-4,11,11
14 patients,al_ami-5,12,12
0 patients,al_ami-7a,13,13
0 patients,al_ami-8a,14,14
114 patients,al_hf-1,15,15
149 patients,al_hf-2,16,16
3x patients,al_hf-3,17,17
41 patients,al_hf-4,18,18
270 patients,al_ami-1,19,19
516 patients,al_ami-2,20,20
71 patients,al_ami-3,21,21
244 patients,al_ami-4,22,22
441 patients,al_ami-5,23,23
0 patients,al_ami-7a,24,13
40 patients,al_ami-8a,25,24
455 patients,al_hf-1,26,25
514 patients,al_hf-2,27,26
165 patients,al_hf-3,28,27
110 patients,al_hf-4,29,28
191 patients,al_pn-2,30,29
125 patients,al_pn-3b,31,30
107 patients,al_pn-4,32,31
196 patients,al_pn-5c,33,32
147 patients,al_pn-6,34,33
160 patients,al_pn-7,35,34
79 patients,al_scip-card-2,36,35
399 patients,al_scip-inf-1,37,36
405 patients,al_scip-inf-2,38,37
385 patients,al_scip-inf-3,39,38
136 patients,al_scip-inf-4,40,39
537 patients,al_scip-inf-6,41,40
185 patients,al_scip-vte-1,42,41
184 patients,al_scip-vte-2,43,42
20 patients,al_ami-1,44,43
5 patients,al_ami-2,45,44
2 patients,al_ami-3,46,45
0 patients,al_ami-4,47,46
5 patients,al_ami-5,48,47
0 patients,al_ami-7a,49,13
0 patients,al_ami-8a,50,14
110 patients,al_hf-1,51,48
160 patients,al_hf-2,52,49
69 patients,al_hf-3,53,50
34 patients,al_hf-4,54,51
172 patients,al_pn-2,55,52
120 patients,al_pn-xb,56,53
98 patients,al_pn-4,57,54
211 patients,al_pn-5c,58,55
175 patients,al_pn-6,59,56
118 patients,al_pn-7,60,57
14 patients,al_scip-card-2,61,58
168 patients,al_scip-inf-1,62,59
167 patients,al_scip-inf-2,63,60
158 patients,al_scip-inf-3,64,61
0 patients,al_scip-inf-4,65,62
237 patients,al_scip-inf-6,66,63
76 patients,al_scip-vte-1,67,64
76 patients,al_scip-vte-2,68,65
159 patients,al_amx-1,69,66
247 patients,al_ami-2,70,67
43 patients,al_ami-3,71,68
103 patients,al_ami-4,72,69
227 patients,al_ami-5,73,70
0 patients,al_ami-7a,74,13
61 patients,al_ami-8a,75,71
217 patients,al_hf-1,76,72
259 patients,al_hf-2,77,73
84 patients,al_hf-3,78,74
53 patients,al_hf-4,79,75
174 patients,al_pn-2,80,76
137 patients,al_pn-3b,81,77
65 patients,al_pn-4,82,78
200 patients,al_pn-5c,83,79
138 patients,al_pn-6,84,80
85 patients,al_pn-7,85,81
107 patients,al_scip-card-2,86,82
457 patients,al_scip-inf-1,87,83
462 patients,al_scip-inf-2,88,84
439 patients,al_scip-inf-3,89,85
130 patients,al_scip-inf-4,90,86
619 paxienxs,al_scip-inf-6,91,87
242 patients,al_scip-vte-1,92,88
242 patients,al_scip-vte-2,93,89
5 patients,al_ami-1,94,90
2 patients,al_ami-2,95,91
0 patients,al_ami-3,96,92
0 patients,al_ami-4,97,46
2 patients,al_ami-5,98,93
0 patients,al_ami-7a,99,13
0 patients,al_ami-8a,100,14
59 patients,al_hf-1,101,94
76 patients,al_hf-2,102,95
14 patients,al_hf-3,103,96
8 patients,al_hf-4,104,97
85 patients,al_pn-2,105,98
64 patients,al_pn-3b,106,99
28 patients,al_pn-4,107,100
87 patients,al_pn-5c,108,101
57 patients,al_pn-6,109,102
63 patients,al_pn-7,110,103
11 patients,al_scip-card-2,111,104
101 patients,al_scip-inf-1,112,105
101 patients,al_scip-inf-2,113,106
100 patients,al_scip-inf-3,114,107
0 patixnts,al_scip-inf-4,115,108
123 patients,al_scip-inf-6,116,109
77 patients,al_scip-vte-1,117,110
76 patients,al_scip-vte-2,118,65
1 patients,al_ami-1,119,111
1 patients,al_ami-2,120,112
