Filming Locations,original_index,unique_index
"Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA",0,0
"Sanibel Island, Florida, USA",1,1
"Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",2,2
,3,3
"Geneva, Canton de Genève, Switzerland",4,4
"Place Gaillon, Paris 2, Paris, France",5,5
"4254 Lexington Avenue, Los Angeles, California, USA",6,6
"12890 E Main St, Humboldt, Arizona, USA",7,7
"Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA",8,8
,9,3
"New York City, New York, USA",10,9
"Los Angeles, California, USA",11,10
"144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",12,11
"Berlin, Germany",13,12
"1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA",14,13
"Dobbs Ferry, New York, USA",15,14
"Amboseli National Park, Kenya",16,15
"Ait Benhaddou, Morocco",17,16
"Budapest, Hungary",18,17
"Britannia Beach, British Columbia, Canada",19,18
,20,3
"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",21,19
"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",22,19
"San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA",23,20
USA,24,21
"London, England, UK",25,22
"Long Beach, California, USA",26,23
,27,3
"Portland, Oregon, USA",28,24
"Louisiana, USA",29,25
"Santa Clarita, California, USA",30,26
"California, USA",31,27
"Alameda, California, USA",32,28
"Metro-North Station, Poughkeepsie, New York, USA",33,29
"Stage 4, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",34,30
"Hotel Monte Vista, Flagstaff, Arizona, USA",35,31
"Shepperton Studios, Shepperton, Surrey, England, UK",36,32
"Brooklyn, New York City, New York, USA",37,33
"128 Northern Boulevard, Wilmington, North Carolina, USA",38,34
UK,39,35
"Albany, New York, USA",40,36
"Bora Bora, Leeward Islands, French Polynesia",41,37
"Los Angeles, California, USA",42,10
USA,43,21
,44,3
"Los Angeles, California, USA",45,10
,46,3
"Baltimore, Maryland, USA",47,38
,48,3
"Flemington, New Jersey, USA",49,39
,50,3
"Santiago, Chile",51,40
"Garden State News 666 Anderson Ave, Cliffside Park, New Jersey, USA",52,41
"Gare Windsor, Montréal, Québec, Canada",53,42
"Hanover, Pennsylvania, USA",54,43
"Fox Studios, Moore Park, Sydney, New South Wales, Australia",55,44
"England, UK",56,45
"Los Angeles, California, USA",57,10
"Montréal, Québec, Canada",58,46
"Vancouver, British Columbia, Canada",59,47
"New Orleans, Louisiana, USA",60,48
"Burbank, California, USA",61,49
"4267 Roxbury Street, Forest Hills, Simi Valley, California, USA",62,50
"New York City, New York, USA",63,9
"4th Street, Downtown, Los Angeles, California, USA",64,51
Malta,65,52
"New York City, New York, USA",66,9
"Clinton, Louisiana, USA",67,53
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",68,54
"Cedars of Lebanon Hospital. 4833 Fountain Ave. Los Angeles, California, USA",69,55
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",70,56
"2552 Hyde Street, San Francisco, California, USA",71,57
"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",72,58
,73,3
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",74,54
,75,3
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",76,54
"Providencia Ranch, Hollywood Hills, Los Angeles, California, USA",77,59
"North Hollywood, Los Angeles, California, USA",78,60
"California Highway 118, California, USA",79,61
"Arkansas, USA",80,62
"Chichén Itzá, Yucatán, Mexico",81,63
Japan,82,64
"Budapest, Hungary",83,17
"Back Bay, Boston, Massachusetts, USA",84,65
"Coral Gables, Florida, USA",85,66
"Camp Waldemar - 1005 Ranch Road 1340, Hunt, Texas, USA",86,67
"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",87,58
"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",88,68
"Santa Clarita, California, USA",89,26
"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",90,69
"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",91,58
"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",92,70
,93,3
,94,3
"UCLA, Westwood, Los Angeles, California, USA",95,71
