State,HospitalOwner,original_index,unique_index,count
al,voluntary non-profit - private,0,0,253
al,voluntary non-profit - private,1,0,253
al,voluntary non-profit - private,2,0,253
al,voluntary non-profit - private,3,0,253
al,voluntary non-profit - private,4,0,253
al,voluntary non-profit - private,5,0,253
al,voluntary non-profit - private,6,0,253
al,voluntary non-profit - private,7,0,253
al,government - hospital district or authority,8,1,192
al,government - hospital district or authority,9,1,192
al,government - hospital district or authority,10,1,192
al,government - hospital district or authority,11,1,192
al,government - hospital district or authority,12,1,192
al,government - hospital district or authority,13,1,192
al,government - hospital district or authority,14,1,192
al,government - hospital district or authority,15,1,192
al,government - hospital district or authority,16,1,192
al,government - hospital district or authority,17,1,192
al,government - hospital district or authority,18,1,192
al,government - hospital district or authority,19,1,192
al,government - hospital district or authority,20,1,192
al,government - hospital district or authority,21,1,192
al,government - hospxtal dxstrxct or authorxty,22,2,1
al,government - hospital district or authority,23,1,192
al,government - hospital district or authority,24,1,192
al,government - hospital district or authority,25,1,192
al,government - hospital district or authority,26,1,192
al,government - hospital xistrict or authority,27,3,1
al,government - hospital district or authority,28,1,192
al,government - hospital district or authority,29,1,192
al,government - hospital district or authority,30,1,192
al,governmenx - hospixal disxricx or auxhorixy,31,4,1
al,government - hospital district or authority,32,1,192
al,government - hospital district or authority,33,1,192
al,government - hospital district or authority,34,1,192
al,government - hospital district or authority,35,1,192
al,government - hospital district or authority,36,1,192
al,government - hospital district or authority,37,1,192
al,government - hospital district or authority,38,1,192
al,government - hospital district or authority,39,1,192
al,government - hospital district or authority,40,1,192
al,government - hospital district or authority,41,1,192
xl,gxvernment - hxspital district xr authxrity,42,5,1
al,government - hospital district or authority,43,1,192
al,government - hospital district or authority,44,1,192
al,government - hospital district or authority,45,1,192
xl,government - hospital district or authority,46,6,6
al,government - hospital district or authority,47,1,192
al,government - hospital district or authority,48,1,192
al,government - hospital district or authority,49,1,192
xl,government - hospital district or authority,50,6,6
al,government - hospital district or authority,51,1,192
al,government - hospital district or authority,52,1,192
al,government - hospital district or authority,53,1,192
al,government - hospital district or authority,54,1,192
al,government - hospital district or authority,55,1,192
al,government - hospital district or authority,56,1,192
al,government - hospital district or authority,57,1,192
al,government - hospital district or authority,58,1,192
al,government - hospital district or authority,59,1,192
al,government - hospital district or authority,60,1,192
al,government - hospital district or authority,61,1,192
al,government - hospital district or authority,62,1,192
al,government - hospital district or authority,63,1,192
al,government - hospital district or authority,64,1,192
al,government - hospital district or authority,65,1,192
al,government - hospital district or authority,66,1,192
al,government - hospital district or authority,67,1,192
al,government - hospital district or authority,68,1,192
al,voluntary non-profit - other,69,7,118
al,voluntary non-profit - other,70,7,118
al,voluntary non-profit - other,71,7,118
al,voluntary non-profit - other,72,7,118
al,voluntary non-profit - other,73,7,118
al,voluntary non-profit - other,74,7,118
al,voluntary non-profit - other,75,7,118
al,voluntary non-profit - other,76,7,118
al,voluntary non-profit - other,77,7,118
al,voluntary non-profit - other,78,7,118
al,voluntary non-profit - other,79,7,118
al,voluntary non-profit - other,80,7,118
al,voluntary non-profit - other,81,7,118
al,voluntary non-profit - other,82,7,118
xl,voluntary non-profit - other,83,8,3
al,voluntary non-profit - other,84,7,118
al,voluntary non-profit - other,85,7,118
al,voluntary non-profit - other,86,7,118
al,voluntary non-profit - other,87,7,118
al,voluntary non-profit - other,88,7,118
al,voluntary non-profit - other,89,7,118
al,voluntary non-profit - other,90,7,118
al,voluntary non-profit - other,91,7,118
al,voluntary non-profit - other,92,7,118
al,voluntary non-profit - other,93,7,118
al,voluntary non-profit - private,94,0,253
al,voluntary non-profit - private,95,0,253
al,voluntary non-profit - private,96,0,253
al,voluntary non-profit - private,97,0,253
xl,voluntary non-profit - private,98,9,3
al,voluntary non-profit - private,99,0,253
al,voluntary non-profit - private,100,0,253
al,voluntary non-profit - private,101,0,253
al,voluntary non-profit - private,102,0,253
al,voluntary non-profit - private,103,0,253
al,voluntary non-profit - private,104,0,253
al,voluntary non-profit - private,105,0,253
al,voluntary non-profit - private,106,0,253
al,voluntary non-profit - private,107,0,253
al,voluntary non-profit - private,108,0,253
al,voluntary non-profit - private,109,0,253
al,voluntary non-profit - private,110,0,253
al,voluntary non-profit - private,111,0,253
al,voluntary non-profit - private,112,0,253
al,volunxary non-profix - privaxe,113,10,2
al,voluntary non-profit - private,114,0,253
al,voluntary non-profit - private,115,0,253
al,voluntary non-profit - private,116,0,253
al,voluntary non-profit - private,117,0,253
al,voluntary non-profit - private,118,0,253
ax,government - federal,119,11,2
al,government - federal,120,12,47
al,government - federal,121,12,47
al,government - federal,122,12,47
al,government - federal,123,12,47
al,government - federal,124,12,47
al,government - federal,125,12,47
al,government - federal,126,12,47
al,government - federal,127,12,47
al,government - federal,128,12,47
al,government - federal,129,12,47
al,government - federal,130,12,47
al,government - federal,131,12,47
al,government - federal,132,12,47
al,government - federal,133,12,47
al,government - federal,134,12,47
al,government - federal,135,12,47
al,government - federal,136,12,47
al,government - federal,137,12,47
al,government - federal,138,12,47
al,government - federal,139,12,47
ax,government - federal,140,11,2
al,government - federal,141,12,47
al,government - federal,142,12,47
al,government - federal,143,12,47
al,proprietary,144,13,189
al,proprietary,145,13,189
al,proprietary,146,13,189
al,proprietary,147,13,189
al,proprietary,148,13,189
al,proprietary,149,13,189
al,proprietary,150,13,189
al,proprietary,151,13,189
al,proprietary,152,13,189
al,proprietary,153,13,189
al,proprietary,154,13,189
al,proprietary,155,13,189
al,proprietary,156,13,189
al,pxopxietaxy,157,14,2
al,proprietary,158,13,189
al,proxrietary,159,15,2
al,proprietary,160,13,189
al,proprietary,161,13,189
al,xroprietary,162,16,1
al,proprietary,163,13,189
al,pxopxietaxy,164,14,2
ax,proprietary,165,17,2
al,proprietary,166,13,189
al,proprietary,167,13,189
al,proprietary,168,13,189
al,government - hospital district or authority,169,1,192
al,government - hospital district or authority,170,1,192
al,government - hospital district or authority,171,1,192
al,government - hospital district or authority,172,1,192
al,government - hospital district or authority,173,1,192
