abv,brewery-id,original_index,unique_index
0.05,408,0,0
0.066,177,1,1
0.071,177,2,2
0.09%,177,3,3
0.075,177,4,4
0.077,177,5,5
0.045%,177,6,6
0.065,177,7,7
0.055,177,8,8
0.086,177,9,9
0.072,177,10,10
0.073,177,11,11
0.069%,177,12,12
0.085,177,13,13
0.061%,177,14,14
0.06,154,15,15
0.06,154,16,15
0.06,154,17,15
0.06,154,18,15
0.082,368,19,16
0.082,368,20,16
0.099,368,21,17
0.079,368,22,18
0.079,368,23,18
0.044,368,24,19
0.049,368,25,20
0.049%,368,26,21
0.049,368,27,20
0.07,368,28,22
0.07%,368,29,23
0.07%,368,30,23
0.085,368,31,24
0.097,368,32,25
0.044,368,33,19
0.079%,368,34,26
0.068%,368,35,27
0.083,368,36,28
0.07,368,37,22
0.049,368,38,20
0.07,67,39,29
0.05,67,40,30
0.059,67,41,31
0.035,60,42,32
0.045%,60,43,33
0.055%,60,44,34
0.06,60,45,35
0.055%,60,46,34
0.065,60,47,36
0.065,60,48,36
0.05,60,49,37
0.065,27,50,38
0.05,27,51,39
0.09,27,52,40
0.069,27,53,41
0.09%,27,54,42
0.046%,27,55,43
0.052000000000000005%,27,56,44
0.059,481,57,45
0.054,481,58,46
0.054,481,59,46
0.084,481,60,47
0.038,373,61,48
0.055,462,62,49
0.055,462,63,49
0.065,533,64,50
0.042,533,65,51
0.045,533,66,52
0.082,62,67,53
0.05,62,68,54
0.08,1,69,55
0.125%,1,70,56
0.077,1,71,57
0.042,1,72,58
0.05,1,73,59
0.066,1,74,60
0.04,1,75,61
0.055,1,76,62
0.076,1,77,63
0.051%,1,78,64
0.065%,1,79,65
0.06,1,80,66
0.05,1,81,59
0.053,367,82,67
0.05,367,83,68
0.052,367,84,69
0.04,117,85,70
0.053,117,86,71
0.082,117,87,72
0.053,270,88,73
0.053,270,89,73
0.057,73,90,74
0.043,388,91,75
0.065,388,92,76
0.054,401,93,77
0.062,401,94,78
0.062,401,95,78
0.059000000000000004%,35,96,79
0.065%,35,97,80
0.045%,35,98,81
0.049,35,99,82
0.055999999999999994%,35,100,83
0.042,171,101,84
0.042,171,102,84
0.048%,171,103,85
0.06,171,104,86
0.057,171,105,87
0.056,171,106,88
0.07,171,107,89
0.057999999999999996%,171,108,90
0.057,171,109,87
0.055,171,110,91
0.057999999999999996%,171,111,90
0.056,171,112,88
0.057%,171,113,92
0.069%,171,114,93
0.07,171,115,89
0.058,171,116,94
0.056,171,117,88
0.055,171,118,91
0.06,146,119,95
0.054000000000000006%,542,120,96
0.047%,542,121,97
0.05,434,122,98
0.05%,434,123,99
0.05,434,124,98
0.068,193,125,100
0.06,193,126,101
0.085%,193,127,102
0.071,69,128,103
0.047,69,129,104
0.06,69,130,105
0.06%,541,131,106
0.062,541,132,107
0.052,513,133,108
0.092,426,134,109
0.051%,426,135,110
0.052,461,136,111
0.07,429,137,112
0.032,528,138,113
0.053,528,139,114
0.06,528,140,115
0.048,353,141,116
0.077,353,142,117
0.077,353,143,117
0.056,523,144,118
0.07%,523,145,119
0.057,374,146,120
0.08199999999999999%,374,147,121
0.062,374,148,122
0.06,374,149,123
0.075,72,150,124
0.055%,72,151,125
0.052,72,152,126
0.045,72,153,127
0.05%,72,154,128
0.05,72,155,129
0.07,413,156,130
0.062%,413,157,131
0.051,413,158,132
0.053,413,159,133
0.052,413,160,134
0.08%,37,161,135
0.064,37,162,136
0.047,37,163,137
0.056,37,164,138
0.063,37,165,139
0.055,37,166,140
0.062,360,167,141
0.072,360,168,142
0.048%,360,169,143
0.067,360,170,144
0.092,360,171,145
0.061,360,172,146
0.086,235,173,147
0.06,235,174,148
0.049%,235,175,149
0.07,235,176,150
0.05,235,177,151
0.06%,286,178,152
0.06%,286,179,152
0.068,483,180,153
0.044000000000000004%,483,181,154
0.07%,34,182,155
0.038%,34,183,156
0.052000000000000005%,34,184,157
0.07,34,185,158
0.046,34,186,159
0.07,34,187,158
0.045,318,188,160
0.045%,318,189,161
0.035,318,190,162
0.07,20,191,163
0.06,251,192,164
0.045,251,193,165
0.049%,116,194,166
0.067,116,195,167
0.068,116,196,168
0.05,116,197,169
0.051,116,198,170
0.054,258,199,171
0.067%,258,200,172
0.05,258,201,173
0.054,258,202,171
0.053,292,203,174
0.07%,292,204,175
0.047,292,205,176
0.068,292,206,177
0.066,292,207,178
0.047,292,208,176
0.055,292,209,179
0.049%,292,210,180
0.069,292,211,181
0.088,306,212,182
0.05,103,213,183
0.057999999999999996%,103,214,184
0.068%,103,215,185
0.048,103,216,186
0.057999999999999996%,76,217,187
0.06%,76,218,188
0.05,76,219,189
0.058,76,220,190
0.07,76,221,191
0.058,76,222,190
0.044,53,223,192
0.083,53,224,193
0.057%,53,225,194
0.06,75,226,195
0.072,75,227,196
0.056,75,228,197
0.062,75,229,198
0.06%,75,230,199
0.05,75,231,200
0.055,278,232,201
0.053,278,233,202
0.078%,463,234,203
0.047%,463,235,204
0.064,463,236,205
0.055999999999999994%,463,237,206
0.06,463,238,207
0.081,220,239,208
0.095%,220,240,209
0.041,220,241,210
0.067,220,242,211
0.07%,477,243,212
0.065,477,244,213
0.06,477,245,214
0.08,8,246,215
0.062,8,247,216
0.06,40,248,217
0.075,40,249,218
0.05,519,250,219
0.06,519,251,220
0.062,336,252,221
0.05%,336,253,222
0.05,336,254,223
0.051,336,255,224
0.072,336,256,225
0.051,336,257,224
0.05,336,258,223
0.062,336,259,221
0.047,336,260,226
0.05,336,261,223
0.05,336,262,223
0.051%,336,263,227
0.069,221,264,228
0.057999999999999996%,221,265,229
0.053,444,266,230
0.099%,444,267,231
0.098,444,268,232
0.055,444,269,233
0.066,444,270,234
0.055,70,271,235
0.052,407,272,236
0.063,407,273,237
0.054,407,274,238
0.072,18,275,239
0.045%,112,276,240
0.075,112,277,241
0.05,112,278,242
0.058,112,279,243
0.071,294,280,244
0.071,294,281,244
0.078,294,282,245
0.066,294,283,246
0.048%,79,284,247
0.046,79,285,248
0.073%,95,286,249
0.048,12,287,250
0.06,12,288,251
0.052,12,289,252
0.068,12,290,253
0.07,12,291,254
0.055,12,292,255
0.05%,380,293,256
,380,294,257
0.055%,380,295,258
0.08,380,296,259
0.096,380,297,260
0.052,380,298,261
,380,299,257
0.05,380,300,262
0.064,380,301,263
0.045,380,302,264
0.056,380,303,265
0.055999999999999994%,380,304,266
0.055999999999999994%,380,305,266
0.046,380,306,267
0.059,422,307,268
0.059000000000000004%,422,308,269
0.08%,304,309,270
0.059,382,310,271
0.065,382,311,272
0.053,382,312,273
0.059,382,313,271
0.049,414,314,274
,77,315,275
,77,316,275
,77,317,275
,77,318,275
0.07,489,319,276
0.06%,489,320,277
0.044,489,321,278
0.055,489,322,279
0.06,364,323,280
0.053,364,324,281
0.04,364,325,282
0.05%,364,326,283
0.05,364,327,284
0.065,378,328,285
0.055,378,329,286
0.06%,378,330,287
0.042%,281,331,288
0.04,281,332,289
0.051,525,333,290
0.045,525,334,291
0.066,107,335,292
0.075,107,336,293
0.048,107,337,294
