ZipCode,HospitalOwner,original_index,unique_index,count
35233,voluntary non-profit - private,0,0,25
35233,voluntary non-profit - private,1,0,25
35233,voluntary non-profit - private,2,0,25
35233,voluntary non-profit - private,3,0,25
35233,voluntary non-profit - private,4,0,25
35233,voluntary non-profit - private,5,0,25
35233,voluntary non-profit - private,6,0,25
35233,voluntary non-profit - private,7,0,25
35660,government - hospital district or authority,8,1,24
35660,government - hospital district or authority,9,1,24
35660,government - hospital district or authority,10,1,24
35660,government - hospital district or authority,11,1,24
35660,government - hospital district or authority,12,1,24
35660,government - hospital district or authority,13,1,24
35660,government - hospital district or authority,14,1,24
35660,government - hospital district or authority,15,1,24
35660,government - hospital district or authority,16,1,24
35660,government - hospital district or authority,17,1,24
35660,government - hospital district or authority,18,1,24
36302,government - hospital district or authority,19,2,21
36302,government - hospital district or authority,20,2,21
36302,government - hospital district or authority,21,2,21
36302,government - hospxtal dxstrxct or authorxty,22,3,1
36302,government - hospital district or authority,23,2,21
36302,government - hospital district or authority,24,2,21
36302,government - hospital district or authority,25,2,21
36302,government - hospital district or authority,26,2,21
36302,government - hospital xistrict or authority,27,4,1
36302,government - hospital district or authority,28,2,21
36302,government - hospital district or authority,29,2,21
36302,government - hospital district or authority,30,2,21
36302,governmenx - hospixal disxricx or auxhorixy,31,5,1
36302,government - hospital district or authority,32,2,21
36302,government - hospital district or authority,33,2,21
36302,government - hospital district or authority,34,2,21
36302,government - hospital district or authority,35,2,21
36302,government - hospital district or authority,36,2,21
36302,government - hospital district or authority,37,2,21
36302,government - hospital district or authority,38,2,21
36302,government - hospital district or authority,39,2,21
36302,government - hospital district or authority,40,2,21
36302,government - hospital district or authority,41,2,21
36302,gxvernment - hxspital district xr authxrity,42,6,1
36302,government - hospital district or authority,43,2,21
x5957,government - hospital district or authority,44,7,1
35957,government - hospital district or authority,45,8,23
35957,government - hospital district or authority,46,8,23
35957,government - hospital district or authority,47,8,23
35957,government - hospital district or authority,48,8,23
35957,government - hospital district or authority,49,8,23
35957,government - hospital district or authority,50,8,23
35957,government - hospital district or authority,51,8,23
35957,government - hospital district or authority,52,8,23
35957,government - hospital district or authority,53,8,23
35957,government - hospital district or authority,54,8,23
35957,government - hospital district or authority,55,8,23
35957,government - hospital district or authority,56,8,23
35957,government - hospital district or authority,57,8,23
35957,government - hospital district or authority,58,8,23
35957,government - hospital district or authority,59,8,23
35957,government - hospital district or authority,60,8,23
35957,government - hospital district or authority,61,8,23
35957,government - hospital district or authority,62,8,23
3595x,government - hospital district or authority,63,9,1
35957,government - hospital district or authority,64,8,23
35957,government - hospital district or authority,65,8,23
35957,government - hospital district or authority,66,8,23
35957,government - hospital district or authority,67,8,23
35957,government - hospital district or authority,68,8,23
35631,voluntary non-profit - other,69,10,23
3563x,voluntary non-profit - other,70,11,2
35631,voluntary non-profit - other,71,10,23
35631,voluntary non-profit - other,72,10,23
35631,voluntary non-profit - other,73,10,23
35631,voluntary non-profit - other,74,10,23
35631,voluntary non-profit - other,75,10,23
35631,voluntary non-profit - other,76,10,23
35631,voluntary non-profit - other,77,10,23
35631,voluntary non-profit - other,78,10,23
35631,voluntary non-profit - other,79,10,23
35631,voluntary non-profit - other,80,10,23
35631,voluntary non-profit - other,81,10,23
35631,voluntary non-profit - other,82,10,23
35631,voluntary non-profit - other,83,10,23
35631,voluntary non-profit - other,84,10,23
35631,voluntary non-profit - other,85,10,23
35631,voluntary non-profit - other,86,10,23
35631,voluntary non-profit - other,87,10,23
35631,voluntary non-profit - other,88,10,23
35631,voluntary non-profit - other,89,10,23
35631,voluntary non-profit - other,90,10,23
35631,voluntary non-profit - other,91,10,23
35631,voluntary non-profit - other,92,10,23
3563x,voluntary non-profit - other,93,11,2
36467,voluntary non-profit - private,94,12,24
36467,voluntary non-profit - private,95,12,24
36467,voluntary non-profit - private,96,12,24
36467,voluntary non-profit - private,97,12,24
36467,voluntary non-profit - private,98,12,24
36467,voluntary non-profit - private,99,12,24
36467,voluntary non-profit - private,100,12,24
36467,voluntary non-profit - private,101,12,24
36467,voluntary non-profit - private,102,12,24
36467,voluntary non-profit - private,103,12,24
36467,voluntary non-profit - private,104,12,24
36467,voluntary non-profit - private,105,12,24
36467,voluntary non-profit - private,106,12,24
36467,voluntary non-profit - private,107,12,24
36467,voluntary non-profit - private,108,12,24
36467,voluntary non-profit - private,109,12,24
36467,voluntary non-profit - private,110,12,24
36467,voluntary non-profit - private,111,12,24
36467,voluntary non-profit - private,112,12,24
36467,volunxary non-profix - privaxe,113,13,1
36467,voluntary non-profit - private,114,12,24
36467,voluntary non-profit - private,115,12,24
36467,voluntary non-profit - private,116,12,24
36467,voluntary non-profit - private,117,12,24
36467,voluntary non-profit - private,118,12,24
36049,government - federal,119,14,23
36049,government - federal,120,14,23
36049,government - federal,121,14,23
36049,government - federal,122,14,23
36049,government - federal,123,14,23
36049,government - federal,124,14,23
36049,government - federal,125,14,23
36049,government - federal,126,14,23
36049,government - federal,127,14,23
36049,government - federal,128,14,23
36049,government - federal,129,14,23
36049,government - federal,130,14,23
36049,government - federal,131,14,23
36049,government - federal,132,14,23
36049,government - federal,133,14,23
36049,government - federal,134,14,23
36049,government - federal,135,14,23
36049,government - federal,136,14,23
36x49,government - federal,137,15,1
36049,government - federal,138,14,23
360x9,government - federal,139,16,1
36049,government - federal,140,14,23
36049,government - federal,141,14,23
36049,government - federal,142,14,23
36049,government - federal,143,14,23
35640,proprietary,144,17,20
35640,proprietary,145,17,20
35640,proprietary,146,17,20
35640,proprietary,147,17,20
35640,proprietary,148,17,20
3x640,proprietary,149,18,1
35640,proprietary,150,17,20
35640,proprietary,151,17,20
35640,proprietary,152,17,20
35640,proprietary,153,17,20
35640,proprietary,154,17,20
35640,proprietary,155,17,20
35640,proprietary,156,17,20
3x640,pxopxietaxy,157,19,1
35640,proprietary,158,17,20
35640,proxrietary,159,20,1
35640,proprietary,160,17,20
35640,proprietary,161,17,20
35640,xroprietary,162,21,1
35640,proprietary,163,17,20
35640,pxopxietaxy,164,22,1
35640,proprietary,165,17,20
35640,proprietary,166,17,20
35640,proprietary,167,17,20
35640,proprietary,168,17,20
35976,government - hospital district or authority,169,23,25
35976,government - hospital district or authority,170,23,25
35976,government - hospital district or authority,171,23,25
35976,government - hospital district or authority,172,23,25
35976,government - hospital district or authority,173,23,25
35976,government - hospital district or authority,174,23,25
35976,government - hospital district or authority,175,23,25
35976,government - hospital district or authority,176,23,25
35976,government - hospital district or authority,177,23,25
35976,government - hospital district or authority,178,23,25
35976,government - hospital district or authority,179,23,25
35976,government - hospital district or authority,180,23,25
35976,government - hospital district or authority,181,23,25
35976,government - hospital district or authority,182,23,25
