ProviderNumber,original_index,unique_index,count
10018,0,0,25
10018,1,0,25
10018,2,0,25
10018,3,0,25
10018,4,0,25
10018,5,0,25
10018,6,0,25
10018,7,0,25
10019,8,1,24
10019,9,1,24
10019,10,1,24
10019,11,1,24
10019,12,1,24
1xx19,13,2,1
10019,14,1,24
10019,15,1,24
10019,16,1,24
10019,17,1,24
10019,18,1,24
10001,19,3,25
10001,20,3,25
10001,21,3,25
10001,22,3,25
10001,23,3,25
10001,24,3,25
10001,25,3,25
10001,26,3,25
10001,27,3,25
10001,28,3,25
10001,29,3,25
10001,30,3,25
10001,31,3,25
10001,32,3,25
10001,33,3,25
10001,34,3,25
10001,35,3,25
10001,36,3,25
10001,37,3,25
10001,38,3,25
10001,39,3,25
10001,40,3,25
10001,41,3,25
10001,42,3,25
10001,43,3,25
10005,44,4,24
x0005,45,5,1
10005,46,4,24
10005,47,4,24
10005,48,4,24
10005,49,4,24
10005,50,4,24
10005,51,4,24
10005,52,4,24
10005,53,4,24
10005,54,4,24
10005,55,4,24
10005,56,4,24
10005,57,4,24
10005,58,4,24
10005,59,4,24
10005,60,4,24
10005,61,4,24
10005,62,4,24
10005,63,4,24
10005,64,4,24
10005,65,4,24
10005,66,4,24
10005,67,4,24
10005,68,4,24
10006,69,6,24
10006,70,6,24
10006,71,6,24
10006,72,6,24
10006,73,6,24
10006,74,6,24
10006,75,6,24
10006,76,6,24
10006,77,6,24
10006,78,6,24
10006,79,6,24
10006,80,6,24
1000x,81,7,1
10006,82,6,24
10006,83,6,24
10006,84,6,24
10006,85,6,24
10006,86,6,24
10006,87,6,24
10006,88,6,24
10006,89,6,24
10006,90,6,24
10006,91,6,24
10006,92,6,24
10006,93,6,24
10007,94,8,25
10007,95,8,25
10007,96,8,25
10007,97,8,25
10007,98,8,25
10007,99,8,25
10007,100,8,25
10007,101,8,25
10007,102,8,25
10007,103,8,25
10007,104,8,25
10007,105,8,25
10007,106,8,25
10007,107,8,25
10007,108,8,25
10007,109,8,25
10007,110,8,25
10007,111,8,25
