style,original_index,unique_index
American Pale Lager,0,0
American Pale Ale (APA),1,1
American IPA,2,2
American Double / Imperial IPA,3,3
American IPA,4,2
Oatmeal Stout,5,4
American Pale Ale (APA),6,1
American Porter,7,5
American Pale Ale (APA),8,1
American Double / Imperial IPA,9,3
Saison / Farmhouse Ale,10,6
Saison / Farmhouse Ale,11,6
Saison / Farmhouse Ale,12,6
Belgian IPA,13,7
American Pale Ale (APA),14,1
Cider,15,8
Cider,16,8
Cider,17,8
Cider,18,8
Baltic Porter,19,9
Tripel,20,10
American Barleywine,21,11
Winter Warmer,22,12
American Stout,23,13
American Pale Ale (APA),24,1
Fruit / Vegetable Beer,25,14
Fruit / Vegetable Beer,26,14
Fruit / Vegetable Beer,27,14
American IPA,28,2
American IPA,29,2
American IPA,30,2
English Strong Ale,31,15
American Double / Imperial IPA,32,3
American Pale Ale (APA),33,1
Winter Warmer,34,12
American Black Ale,35,16
Belgian Dark Ale,36,17
American IPA,37,2
Fruit / Vegetable Beer,38,14
American IPA,39,2
American Blonde Ale,40,18
American Amber / Red Ale,41,19
Berliner Weissbier,42,20
American Blonde Ale,43,18
American Brown Ale,44,21
American Amber / Red Ale,45,19
American Black Ale,46,16
American IPA,47,2
American IPA,48,2
American Pale Wheat Ale,49,22
American IPA,50,2
American IPA,51,2
Belgian Strong Dark Ale,52,23
American IPA,53,2
English Strong Ale,54,15
Kölsch,55,24
Belgian Dark Ale,56,17
American IPA,57,2
English Pale Ale,58,25
English Pale Ale,59,25
American Double / Imperial IPA,60,3
Berliner Weissbier,61,20
American Amber / Red Lager,62,26
American Amber / Red Lager,63,26
American IPA,64,2
Fruit / Vegetable Beer,65,14
American Amber / Red Lager,66,26
American IPA,67,2
American Brown Ale,68,21
American Double / Imperial IPA,69,3
English Barleywine,70,27
Milk / Sweet Stout,71,28
American Pale Ale (APA),72,1
German Pilsener,73,29
Pumpkin Ale,74,30
Belgian Pale Ale,75,31
American Pilsner,76,32
American Double / Imperial IPA,77,3
Saison / Farmhouse Ale,78,6
American Wild Ale,79,33
American IPA,80,2
English Brown Ale,81,34
American Stout,82,13
American Pale Ale (APA),83,1
American Pilsner,84,32
American Pilsner,85,32
American Pale Ale (APA),86,1
American Double / Imperial IPA,87,3
American Pale Ale (APA),88,1
Altbier,89,35
American Pale Ale (APA),90,1
Kölsch,91,24
American IPA,92,2
American Pale Ale (APA),93,1
American IPA,94,2
American IPA,95,2
American IPA,96,2
American IPA,97,2
American Pale Wheat Ale,98,22
American Amber / Red Lager,99,26
California Common / Steam Beer,100,36
Gose,101,37
American Pale Ale (APA),102,1
Gose,103,37
Pumpkin Ale,104,30
Oatmeal Stout,105,4
Cream Ale,106,38
American IPA,107,2
American Amber / Red Ale,108,19
Oatmeal Stout,109,4
Vienna Lager,110,39
American Amber / Red Ale,111,19
Cream Ale,112,38
Oatmeal Stout,113,4
Winter Warmer,114,12
American IPA,115,2
American Amber / Red Ale,116,19
Cream Ale,117,38
