completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
2395,3087,5482,00:23.998,1,"ProviderNumber, HospitalName"
2694,3259,5953,00:26.811,1,"ProviderNumber, Address1"
2989,3005,5994,00:36.385,1,"ProviderNumber, City"
2461,2588,5049,00:24.700,1,"ProviderNumber, State"
2514,2836,5350,00:25.383,1,"ProviderNumber, ZipCode"
2938,3017,5955,00:30.236,1,"ProviderNumber, CountyName"
3077,3044,6121,00:32.673,1,"ProviderNumber, PhoneNumber"
2728,3039,5767,00:30.034,1,"ProviderNumber, HospitalType"
2893,3148,6041,00:30.772,1,"ProviderNumber, HospitalOwner"
2539,2703,5242,00:29.566,1,"ProviderNumber, EmergencyService"
2252,3476,5728,00:27.776,1,"HospitalName, Address1"
3391,3240,6631,00:37.001,1,"HospitalName, City"
1893,2829,4722,00:21.159,1,"HospitalName, State"
2157,3068,5225,00:23.650,1,"HospitalName, ZipCode"
2672,3297,5969,00:29.152,1,"HospitalName, CountyName"
2345,3330,5675,00:25.896,1,"HospitalName, PhoneNumber"
2351,3276,5627,00:27.427,1,"HospitalName, HospitalType"
2252,3375,5627,00:23.429,1,"HospitalName, HospitalOwner"
2378,2946,5324,00:25.790,1,"HospitalName, EmergencyService"
4086,3428,7514,00:43.897,1,"Address1, City"
2385,3008,5393,00:24.651,1,"Address1, State"
2970,3261,6231,00:33.486,1,"Address1, ZipCode"
2647,3445,6092,00:27.105,1,"Address1, CountyName"
2784,3487,6271,00:31.938,1,"Address1, PhoneNumber"
2941,3447,6388,00:33.809,1,"Address1, HospitalType"
2552,3576,6128,00:28.098,1,"Address1, HospitalOwner"
2674,3106,5780,00:28.752,1,"Address1, EmergencyService"
2326,2633,4959,04:17.505,1,"City, State"
2728,2994,5722,00:29.507,1,"City, ZipCode"
2917,2990,5907,00:31.610,1,"City, CountyName"
2923,3206,6129,00:34.278,1,"City, PhoneNumber"
2547,3087,5634,00:26.811,1,"City, HospitalType"
2840,3289,6129,00:28.854,1,"City, HospitalOwner"
2468,2732,5200,00:28.348,1,"City, EmergencyService"
2115,2594,4709,00:26.604,1,"State, ZipCode"
2339,2455,4794,00:23.833,1,"State, CountyName"
2461,2795,5256,00:26.195,1,"State, PhoneNumber"
800,1160,1960,00:12.261,1,"State, HospitalType"
1318,1791,3109,00:17.593,1,"State, HospitalOwner"
218,992,1210,00:03.256,1,"State, EmergencyService"
2099,2749,4848,00:24.713,1,"State, MeasureCode"
1087,2888,3975,00:12.110,1,"State, Stateavg"
1764,3013,4777,00:21.002,1,"ZipCode, CountyName"
3234,3075,6309,00:35.892,1,"ZipCode, PhoneNumber"
2811,3024,5835,00:32.946,1,"ZipCode, HospitalType"
2792,3139,5931,00:31.725,1,"ZipCode, HospitalOwner"
2454,2672,5126,00:27.012,1,"ZipCode, EmergencyService"
2786,3272,6058,00:29.471,1,"CountyName, PhoneNumber"
3155,2938,6093,00:32.824,1,"CountyName, HospitalType"
3372,3243,6615,00:35.848,1,"CountyName, HospitalOwner"
2560,2574,5134,00:27.457,1,"CountyName, EmergencyService"
3126,3309,6435,00:34.959,1,"PhoneNumber, HospitalType"
2784,3335,6119,00:35.920,1,"PhoneNumber, HospitalOwner"
2963,2917,5880,00:37.662,1,"PhoneNumber, EmergencyService"
1859,2058,3917,00:21.995,1,"HospitalType, HospitalOwner"
994,1225,2219,00:11.443,1,"HospitalType, EmergencyService"
1893,1980,3873,00:20.458,1,"HospitalOwner, EmergencyService"
2233,2759,4992,00:27.199,1,"Condition, MeasureCode"
3280,4388,7668,00:41.567,1,"Condition, MeasureName"
3135,3434,6569,00:31.822,1,"Condition, Stateavg"
1222,4260,5482,00:16.762,1,"MeasureCode, MeasureName"
2713,3284,5997,00:31.423,1,"MeasureCode, Stateavg"
2172,5133,7305,00:27.112,1,"MeasureName, Stateavg"
2344,18030,20374,00:37.549,7,"Score, Sample"
