HospitalName,HospitalType,original_index,unique_index
callahan eye foundation hospital,acute care hospitals,0,0
callahan eye foundation hospital,acute care hospitals,1,0
callahan eye foundation hospital,acute care hospitals,2,0
callahan eye foundation hospital,acute care hospitals,3,0
callahan eye foundation hospital,acute care hospitals,4,0
callahan eye foundation hospital,acute care hospitals,5,0
callahan eye foundation hospital,acute care hospitals,6,0
callahan eye foundation hospital,acute care hospitals,7,0
helen keller memorial hospital,acute care hospitals,8,1
helen keller memorial hospital,acute care hospitals,9,1
helen keller memorial hospital,acute care hospitals,10,1
helen keller memorial hospital,acute care hospitals,11,1
helen keller memorial hospital,acute care hospitals,12,1
helen keller memorial hospital,acute care hospitals,13,1
helen keller memorial hospital,acute care hospitals,14,1
helen keller memorial hospital,acute care hospitals,15,1
helen keller memorial hospital,acuxe care hospixals,16,2
helen keller memorial hospital,acute care hospitals,17,1
helen keller memorial hospital,acute care hospitals,18,1
southeast alabama medical center,acute care hospitals,19,3
southeast alabama medical center,acute care hospitals,20,3
southeast alabama medical center,acute care hospitals,21,3
southeast alabama medical center,acute care hospitals,22,3
southeast alabama medical center,acute care hospitals,23,3
southeast alabama medical center,acute care hospitals,24,3
southeast alabama medical center,acute care hospitals,25,3
southeast alabama medxcal center,acute care hospitals,26,4
southeast alabama medical center,acute care hospitals,27,3
southeast alabama medical center,acute care hospitals,28,3
southeast alabama medical center,acute care hospitals,29,3
southeast alabama medical center,acute care hospitals,30,3
southeast alabama medical center,acute care hospitals,31,3
southeast alabama medical center,acute care hospitals,32,3
southeast alabama medical center,acute care hospitals,33,3
southeast alabama medical center,acute care hospitals,34,3
southeast alabama medical center,acute care hospitals,35,3
southeast alabama medical center,acute care hospitals,36,3
southeast alabama medical center,acute care hospitals,37,3
southeast alabama medical center,acute care hospitals,38,3
southeast alabama medical center,acxte care hospitals,39,5
southeast alabama medical center,acute care hospitals,40,3
southeast alabama medical center,acute care hospitals,41,3
southeast alabama medical center,acute care hospitals,42,3
southeast alabama medical center,acute care hospitals,43,3
marshall medical center south,acute care hospitals,44,6
marshall medical center south,acute care hospitals,45,6
marshall medical center south,acute care hospitals,46,6
marshall medical center south,acute care hospitals,47,6
marshall medical center south,acute care hospitals,48,6
marshall medical center south,acute care hospitals,49,6
marshall medical center south,acute care hospitals,50,6
marshall medical center south,acute care hospitals,51,6
marshall medical center south,acute care hospitals,52,6
marshall medical center south,acute care hospitals,53,6
marshall medical center south,acute care hospitals,54,6
marshall medical center south,acute care hospitals,55,6
marshall medical center south,acute care hospitals,56,6
marshall medical center south,acute care hospitals,57,6
marshall medical center south,acute care hospitals,58,6
marshall medical center south,acute care hospitals,59,6
marshall medical center south,acute care hospitals,60,6
marshall medical center south,acute care hospitals,61,6
marshall medical center south,acute care hospitals,62,6
marshall medical center south,acute care hospitals,63,6
marshall medical center south,acute care hospitals,64,6
marshall medical center south,acute care hospitals,65,6
marshall medical center south,acute care hospitals,66,6
marshall medical center south,acute care hospitals,67,6
marshall medical center south,acute care hospitals,68,6
eliza coffee memorial hospital,acute care hospitals,69,7
eliza coffee memorial hospital,acute care hospitals,70,7
eliza coffee memorial hospital,acute care hospitals,71,7
eliza coffee memorial hospital,acute care hospitals,72,7
eliza coffee memorial hospital,acute care hospitals,73,7
eliza coffee memorial hospital,acute care hospitals,74,7
eliza coffee memorial hospital,acute care hospitals,75,7
eliza coffee memorial hospital,acute care hospitals,76,7
eliza coffee memorial hospital,acute care hospitals,77,7
eliza coffee memorial hospital,acute care hospitals,78,7
eliza coffee memorial hospital,acute care hospitals,79,7
eliza coffee memorial hospital,acute care hospitals,80,7
eliza coffee memorial hospital,acute care hospitals,81,7
eliza coffee memorial hospital,acute care hospitals,82,7
eliza coffee memorial hospital,acute care hospitals,83,7
eliza coffee memorial hospital,acute care hospitals,84,7
eliza coffee memorial hospital,acute care hospitals,85,7
eliza coffee memorial hospital,acute care hospitals,86,7
eliza coffee memorial hospital,acute care hospitals,87,7
eliza coffee memorial hospital,acute care hospitals,88,7
eliza coffee memorial hospital,acute care hospitals,89,7
eliza coffee memorial hospital,acute care hospitals,90,7
eliza coffee memorial hospital,acute care hospitals,91,7
eliza coffee memorial hospital,acute care hospitals,92,7
eliza coffee memorial hospital,acute care hospitals,93,7
mizell memorial hospital,acute care hospitals,94,8
mizell memorial hospital,acute care hospitals,95,8
mizell memorial hospital,acute care hospitals,96,8
mizell memorial hospital,acute care hospitals,97,8
mizell memorial hospital,acute care hosxitals,98,9
mizell memorial hospital,acute care hospitals,99,8
mizell memorial hospital,acute care hospitals,100,8
mizell memorial hospital,acute care hospitals,101,8
mizell memorial hospital,acute care hospitals,102,8
mizell memorial hospital,acute care hospitals,103,8
mizell memorial hospital,acute care hospitals,104,8
mizell memorial hospital,acute care hospitals,105,8
mizell memorial hospital,acute care hospitals,106,8
mizell memorial hospital,acute care hospitals,107,8
mizell memorial hospital,acute care hospitals,108,8
mizell memorial hospital,acute care hospitals,109,8
mizell memorial hospital,acute care hospitals,110,8
mizell memorial hospital,acute care hospitals,111,8
mizell memorial hospital,acute care hospitals,112,8
mizell memorial hospital,acute care hospitals,113,8
mizell memorial hospital,acute care hospitals,114,8
mizell memorial hospital,acute care hospitals,115,8
mizell memorial hospital,acute care hospitals,116,8
mizell memorial hospital,acute care hospitals,117,8
mizell memorial hospital,acute care hospitals,118,8
crenshaw community hospital,acute care hospitals,119,10
crenshaw community hospital,acute care hospitals,120,10
crenshaw community hospital,acute care hospitals,121,10
crenshaw community hospital,acute care hospitals,122,10
crenshaw community hospital,acute care hospitals,123,10
crenshaw community hospital,acute care hospitals,124,10
crenshaw community hospital,acute care hospitals,125,10
crenshaw community hospital,acute care hospitals,126,10
crenshaw community hospital,acute care hospitals,127,10
crenshaw community hospital,acute care hospitals,128,10
crenshaw community hospital,acute care hospitals,129,10
crenshaw community hospital,acute care hospitals,130,10
crenshaw cxmmunity hxspital,acute care hospitals,131,11
crenshaw community hospital,acute care hospitals,132,10
crenshaw community hospital,acute care hospitals,133,10
crenshaw community hospital,acute care hospitals,134,10
crenshaw community hospital,acute care hospitals,135,10
crenshaw community hospital,acute care hospitals,136,10
crenshaw community hospital,acute care hospitals,137,10
crenshaw community hospital,acute care hospitals,138,10
crenshaw community hospital,acute care hospitals,139,10
crenshaw community hospital,acute care hospitals,140,10
crenshaw community hospital,acute care hospitals,141,10
crenshaw community hospital,acute care hospitals,142,10
crenshaw community hospital,acute care hospitals,143,10
hartselle medical center,acute care hospitals,144,12
hartselle medical center,acute care hospitals,145,12
hartselle medical center,acute care hospitals,146,12
hartselle medical center,acute care hospitals,147,12
hartselle medical center,acute care hospitals,148,12
hartselle medical center,acute care hospitals,149,12
hartselle medical center,acute care hospitals,150,12
hartselle medical center,acute care hospitals,151,12
hartselle medical center,acute care hospitals,152,12
hartselle medical center,acute care hospitals,153,12
hartselle medical center,acute care hospitals,154,12
hartselle medical center,acute care hospitals,155,12
hartselle medical center,acute care hospitals,156,12
hartselle medical center,acute care hospitals,157,12
hartselle medical center,acute care hospitals,158,12
hartselle medical center,acute care hospitals,159,12
hartselle medical center,acute care hospitals,160,12
hartselle medical center,acute care hospitals,161,12
hartselle medical center,acute care hospitals,162,12
hartselle medical center,acute care hospitals,163,12
hartselle medical center,acute care hospitals,164,12
hartselle medical center,acute care hospitals,165,12
hartselle medical center,acute care hospitals,166,12
hartselle medical center,acute care hospitals,167,12
hartselle medical center,acute care hospitals,168,12
marshall medical center north,acute care hospitals,169,13
marshall medical center north,acute care hospitals,170,13
marshall medical cenxer norxh,acute care hospitals,171,14
marshall medical center north,acute care hospitals,172,13
marshall medical center north,acute care hospitals,173,13
marshall medical center north,acute care hospitals,174,13
marshall medical center north,acute care hospitals,175,13
marshall medical center north,acute care hospitals,176,13
marshall medical center north,acute care hospitals,177,13
marshall medical center north,acute care hospitals,178,13
marshall medical center north,acute care hospitals,179,13
marshall medical center north,acute care hospitals,180,13
marshall medical center north,acute care hospitals,181,13
marshall medical center north,acute care hospitals,182,13
marshall medical center north,acute care hospitals,183,13
marshall medical center north,acute care hospitals,184,13
marshall medical center north,acute care hospitals,185,13
marshall medical center north,acute care hospitals,186,13
marshall medical center north,acute care hospitals,187,13
marshall medical center north,acute care hospitals,188,13
marshall medical center north,acute care hospitals,189,13
marshall medical center north,acute care hospitals,190,13
marshall medical center north,acute care hospitals,191,13
marshall medical center north,acute care hospitals,192,13
marshall medical center north,acute care hospitals,193,13
st vincents east,acute care hospitals,194,15
st vincents east,acute care hospitals,195,15
st vincents east,acute care hospitals,196,15
st vincents east,acute care hospitals,197,15
st vincents east,acute care hospitals,198,15
st vincents east,acute care hosxitals,199,16
st vincents east,acute care hospitals,200,15
st vincents east,acute care hospitals,201,15
st vincents east,acute care hospitals,202,15
st vincents east,acute care hospitals,203,15
st vincents east,acute care hospitals,204,15
st vincents east,acute care hospitals,205,15
st vincents east,acute care hospitals,206,15
st vincents east,acute care hospitals,207,15
st vincents east,acute care hospitals,208,15
st vincents east,acute care hospitals,209,15
st vincents east,acute care hospitals,210,15
st vincents east,acute care hospitals,211,15
st vincents east,acute care hospitals,212,15
st vincents east,acutx carx hospitals,213,17
st vincents east,acute care hospitals,214,15
st vincents east,acute care hospitals,215,15
st vincents east,acute care hospitals,216,15
st vincents east,acute care hospitals,217,15
st vincents east,acute care hospitals,218,15
dekalb regional medical center,acute care hospitals,219,18
