State,MeasureCode,original_index,unique_index,count
al,scip-card-2,0,0,37
al,scip-inf-1,1,1,36
al,scip-inf-2,2,2,37
al,scip-inf-3,3,3,36
al,scip-inf-4,4,4,33
al,scip-inf-6,5,5,36
al,scip-vte-1,6,6,33
al,scip-vte-2,7,7,38
al,ami-1,8,8,36
al,ami-2,9,9,37
al,ami-3,10,10,37
al,ami-4,11,11,38
al,ami-5,12,12,38
al,ami-7a,13,13,39
al,ami-8a,14,14,37
al,hf-1,15,15,33
al,hf-2,16,16,38
al,hf-3,17,17,37
al,hf-4,18,18,38
al,ami-1,19,8,36
al,ami-2,20,9,37
al,ami-3,21,10,37
al,ami-4,22,11,38
al,ami-5,23,12,38
al,ami-7a,24,13,39
al,ami-8a,25,14,37
al,hf-1,26,15,33
al,hf-2,27,16,38
al,hf-3,28,17,37
al,hf-4,29,18,38
al,pn-2,30,19,37
al,pn-3b,31,20,39
al,pn-4,32,21,35
al,pn-5c,33,22,35
al,pn-6,34,23,38
al,pn-7,35,24,39
al,scip-card-2,36,0,37
al,scip-inf-1,37,1,36
al,scip-inf-2,38,2,37
al,scip-inf-3,39,3,36
al,scip-inf-4,40,4,33
al,scip-inf-6,41,5,36
xl,scip-vte-1,42,25,2
al,scip-vte-2,43,7,38
al,ami-1,44,8,36
al,ami-2,45,9,37
xl,ami-3,46,26,1
al,ami-4,47,11,38
al,ami-5,48,12,38
al,ami-7a,49,13,39
xl,ami-8a,50,27,1
al,hf-1,51,15,33
al,hf-2,52,16,38
al,hf-3,53,17,37
al,hf-4,54,18,38
al,pn-2,55,19,37
al,pn-3b,56,20,39
al,pn-4,57,21,35
al,pn-5c,58,22,35
al,pn-6,59,23,38
al,pn-7,60,24,39
al,scip-card-2,61,0,37
al,scip-inf-1,62,1,36
al,scip-inf-2,63,2,37
al,scip-inf-3,64,3,36
al,scip-inf-4,65,4,33
al,scip-inf-6,66,5,36
al,scip-vte-1,67,6,33
al,scip-vte-2,68,7,38
al,ami-1,69,8,36
al,ami-2,70,9,37
al,ami-3,71,10,37
al,ami-4,72,11,38
al,ami-5,73,12,38
al,ami-7a,74,13,39
al,ami-8a,75,14,37
al,hf-1,76,15,33
al,hf-2,77,16,38
al,hf-3,78,17,37
al,hf-4,79,18,38
al,pn-2,80,19,37
al,pn-3b,81,20,39
al,pn-4,82,21,35
xl,pn-5c,83,28,2
al,pn-6,84,23,38
al,pn-7,85,24,39
al,scip-card-2,86,0,37
al,scip-inf-1,87,1,36
al,scip-inf-2,88,2,37
al,scip-inf-3,89,3,36
al,scip-inf-4,90,4,33
al,scip-inf-6,91,5,36
al,scip-vte-1,92,6,33
al,scip-vte-2,93,7,38
al,ami-1,94,8,36
al,ami-2,95,9,37
al,ami-3,96,10,37
al,axi-4,97,29,1
xl,ami-5,98,30,1
al,ami-7a,99,13,39
al,ami-8a,100,14,37
al,hfx1,101,31,2
al,hf-2,102,16,38
al,hf-3,103,17,37
al,hf-4,104,18,38
al,pn-2,105,19,37
al,pn-3b,106,20,39
al,pn-4,107,21,35
al,pnx5c,108,32,1
al,pn-6,109,23,38
al,pn-7,110,24,39
al,scip-card-2,111,0,37
al,scip-inf-1,112,1,36
al,scip-inf-2,113,2,37
al,scip-inf-3,114,3,36
al,scip-inf-4,115,4,33
