CountyName,HospitalOwner,original_index,unique_index,count
jefferson,voluntary non-profit - private,0,0,48
jefferson,voluntary non-profit - private,1,0,48
jefferson,voluntary non-profit - private,2,0,48
jefferson,voluntary non-profit - private,3,0,48
jefferson,voluntary non-profit - private,4,0,48
jefferson,voluntary non-profit - private,5,0,48
jefferson,voluntary non-profit - private,6,0,48
jefferson,voluntary non-profit - private,7,0,48
jefferson,government - hospital district or authority,8,1,22
jefferson,government - hospital district or authority,9,1,22
jefferson,government - hospital district or authority,10,1,22
jefferson,government - hospital district or authority,11,1,22
jefferson,government - hospital district or authority,12,1,22
jefferson,government - hospital district or authority,13,1,22
jefferson,government - hospital district or authority,14,1,22
jefferson,government - hospital district or authority,15,1,22
jefferson,government - hospital district or authority,16,1,22
jefferson,government - hospital district or authority,17,1,22
jefferson,government - hospital district or authority,18,1,22
houston,government - hospital district or authority,19,2,21
houston,government - hospital district or authority,20,2,21
houston,government - hospital district or authority,21,2,21
houston,government - hospxtal dxstrxct or authorxty,22,3,1
houston,government - hospital district or authority,23,2,21
houston,government - hospital district or authority,24,2,21
houston,government - hospital district or authority,25,2,21
houston,government - hospital district or authority,26,2,21
houston,government - hospital xistrict or authority,27,4,1
houston,government - hospital district or authority,28,2,21
houston,government - hospital district or authority,29,2,21
houston,government - hospital district or authority,30,2,21
houston,governmenx - hospixal disxricx or auxhorixy,31,5,1
houston,government - hospital district or authority,32,2,21
houston,government - hospital district or authority,33,2,21
houston,government - hospital district or authority,34,2,21
houston,government - hospital district or authority,35,2,21
houston,government - hospital district or authority,36,2,21
houston,government - hospital district or authority,37,2,21
houston,government - hospital district or authority,38,2,21
houston,government - hospital district or authority,39,2,21
houston,government - hospital district or authority,40,2,21
houston,government - hospital district or authority,41,2,21
houston,gxvernment - hxspital district xr authxrity,42,6,1
houston,government - hospital district or authority,43,2,21
marshall,government - hospital district or authority,44,7,49
marshall,government - hospital district or authority,45,7,49
marshall,government - hospital district or authority,46,7,49
marshall,government - hospital district or authority,47,7,49
marshall,government - hospital district or authority,48,7,49
marshall,government - hospital district or authority,49,7,49
marshall,government - hospital district or authority,50,7,49
marshall,government - hospital district or authority,51,7,49
marshall,government - hospital district or authority,52,7,49
marshall,government - hospital district or authority,53,7,49
marshall,government - hospital district or authority,54,7,49
marshall,government - hospital district or authority,55,7,49
marshall,government - hospital district or authority,56,7,49
marshall,government - hospital district or authority,57,7,49
marshall,government - hospital district or authority,58,7,49
marshall,government - hospital district or authority,59,7,49
marshall,government - hospital district or authority,60,7,49
marshall,government - hospital district or authority,61,7,49
marshall,government - hospital district or authority,62,7,49
marshall,government - hospital district or authority,63,7,49
marshall,government - hospital district or authority,64,7,49
marshall,government - hospital district or authority,65,7,49
marshall,government - hospital district or authority,66,7,49
mxrshxll,government - hospital district or authority,67,8,1
marshall,government - hospital district or authority,68,7,49
lauderdale,voluntary non-profit - other,69,9,23
lauderdale,voluntary non-profit - other,70,9,23
lauderdale,voluntary non-profit - other,71,9,23
laudxrdalx,voluntary non-profit - other,72,10,1
lauderdale,voluntary non-profit - other,73,9,23
lauderdale,voluntary non-profit - other,74,9,23
lauderdale,voluntary non-profit - other,75,9,23
lauderdale,voluntary non-profit - other,76,9,23
laudexdale,voluntary non-profit - other,77,11,1
lauderdale,voluntary non-profit - other,78,9,23
lauderdale,voluntary non-profit - other,79,9,23
lauderdale,voluntary non-profit - other,80,9,23
lauderdale,voluntary non-profit - other,81,9,23
lauderdale,voluntary non-profit - other,82,9,23
lauderdale,voluntary non-profit - other,83,9,23
lauderdale,voluntary non-profit - other,84,9,23
lauderdale,voluntary non-profit - other,85,9,23
lauderdale,voluntary non-profit - other,86,9,23
lauderdale,voluntary non-profit - other,87,9,23
lauderdale,voluntary non-profit - other,88,9,23
lauderdale,voluntary non-profit - other,89,9,23
lauderdale,voluntary non-profit - other,90,9,23
lauderdale,voluntary non-profit - other,91,9,23
lauderdale,voluntary non-profit - other,92,9,23
lauderdale,voluntary non-profit - other,93,9,23
covington,voluntary non-profit - private,94,12,24
covington,voluntary non-profit - private,95,12,24
covington,voluntary non-profit - private,96,12,24
covington,voluntary non-profit - private,97,12,24
covington,voluntary non-profit - private,98,12,24
covington,voluntary non-profit - private,99,12,24
covington,voluntary non-profit - private,100,12,24
covington,voluntary non-profit - private,101,12,24
covington,voluntary non-profit - private,102,12,24
covington,voluntary non-profit - private,103,12,24
covington,voluntary non-profit - private,104,12,24
covington,voluntary non-profit - private,105,12,24
covington,voluntary non-profit - private,106,12,24
covington,voluntary non-profit - private,107,12,24
covington,voluntary non-profit - private,108,12,24
covington,voluntary non-profit - private,109,12,24
covington,voluntary non-profit - private,110,12,24
covington,voluntary non-profit - private,111,12,24
covington,voluntary non-profit - private,112,12,24
covington,volunxary non-profix - privaxe,113,13,1
covington,voluntary non-profit - private,114,12,24
covington,voluntary non-profit - private,115,12,24
covington,voluntary non-profit - private,116,12,24
covington,voluntary non-profit - private,117,12,24
covington,voluntary non-profit - private,118,12,24
crenshaw,government - federal,119,14,24
crenshaw,government - federal,120,14,24
crenshaw,government - federal,121,14,24
crenshaw,government - federal,122,14,24
crenshaw,government - federal,123,14,24
crenshaw,government - federal,124,14,24
crenshaw,government - federal,125,14,24
crenshaw,government - federal,126,14,24
crenshaw,government - federal,127,14,24
crenshaw,government - federal,128,14,24
crenshaw,government - federal,129,14,24
crenshaw,government - federal,130,14,24
crenshaw,government - federal,131,14,24
crenshaw,government - federal,132,14,24
crenshaw,government - federal,133,14,24
crenshaw,government - federal,134,14,24
crenshaw,government - federal,135,14,24
crxnshaw,government - federal,136,15,1
