city,state,original_index,unique_index
Bend,OR,0,0
Gary,IN,1,1
Gary,IN,2,1
Gary,IN,3,1
Gary,IN,4,1
Gary,IN,5,1
Gary,IN,6,1
Gary,IN,7,1
Gary,IN,8,1
Gary,IN,9,1
Gary,IN,10,1
Gary,IN,11,1
Gary,IN,12,1
Gary,IN,13,1
Gary,IN,14,1
Corvallis,OR,15,2
Corvallis,OR,16,2
Corvallis,OR,17,2
Corvallis,OR,18,2
San Francisco,CA,19,3
San Francisco CA,,20,4
San Francisco,CA,21,3
San Francisco,CA,22,3
San Francisco,CA,23,3
San Francisco,CA,24,3
San Francisco,CA,25,3
San Francisco,CA,26,3
San Francisco,CA,27,3
San Francisco,CA,28,3
San Francisco,CA,29,3
San Francisco,CA,30,3
San Francisco,CA,31,3
San Francisco,CA,32,3
San Francisco,CA,33,3
San Francisco,CA,34,3
San Francisco,CA,35,3
San Francisco,CA,36,3
San Francisco,CA,37,3
San Francisco,CA,38,3
St Petersburg,FL,39,5
St Petersburg,FL,40,5
St Petersburg,FL,41,5
Saint Louis,MO,42,6
Saint Louis,MO,43,6
Saint Louis,MO,44,6
Saint Louis,MO,45,6
Saint Louis,MO,46,6
Saint Louis MO,,47,7
Saint Louis,MO,48,6
Saint Louis,MO,49,6
Columbus,IN,50,8
Columbus,IN,51,8
Columbus,IN,52,8
Columbus,IN,53,8
Columbus,IN,54,8
Columbus,IN,55,8
Columbus,IN,56,8
Gig Harbor,WA,57,9
Gig Harbor,WA,58,9
Gig Harbor,WA,59,9
Gig Harbor,WA,60,9
Dunedin,FL,61,10
Golden,CO,62,11
Golden,CO,63,11
Abita Springs,LA,64,12
Abita Springs,LA,65,12
Abita Springs,LA,66,12
Louisville,KY,67,13
Louisville,KY,68,13
Louisville,KY,69,13
Louisville,KY,70,13
Louisville,KY,71,13
Louisville,KY,72,13
Louisville,KY,73,13
Louisville,KY,74,13
Louisville,KY,75,13
Louisville,KY,76,13
Louisville,KY,77,13
Louisville,KY,78,13
Louisville,KY,79,13
Louisville,KY,80,13
Louisville,KY,81,13
Kent,WA,82,14
Kent,WA,83,14
Kent,WA,84,14
Portland,OR,85,15
Portland,OR,86,15
Portland,OR,87,15
Juneau,AK,88,16
Juneau,AK,89,16
Madison WI,,90,17
Lexington,KY,91,18
Lexington,KY,92,18
Washougal,WA,93,19
Washougal,WA,94,19
Washougal,WA,95,19
San Francisco,CA,96,3
San Francisco,CA,97,3
San Francisco,CA,98,3
San Francisco,CA,99,3
San Francisco,CA,100,3
Boonville,CA,101,20
Boonville,CA,102,20
Boonville,CA,103,20
Boonville,CA,104,20
Boonville,CA,105,20
Boonville,CA,106,20
Boonville,CA,107,20
Boonville,CA,108,20
Boonville,CA,109,20
Boonville,CA,110,20
Boonville,CA,111,20
Boonville,CA,112,20
Boonville,CA,113,20
Boonville,CA,114,20
Boonville,CA,115,20
Boonville,CA,116,20
Boonville,CA,117,20
Boonville,CA,118,20
Hayward,WI,119,21
Hayward,WI,120,21
Hayward WI,,121,22
Cincinnati,OH,122,23
Cincinnati,OH,123,23
Cincinnati,OH,124,23
Oklahoma City,OK,125,24
Oklahoma City,OK,126,24
Oklahoma City,OK,127,24
Boone,NC,128,25
Boone,NC,129,25
Boone,NC,130,25
Battle Creek,MI,131,26
Battle Creek,MI,132,26
Colorado Springs,CO,133,27
Denton TX,,134,28
Denton,TX,135,29
South San Francisco,CA,136,30
Boulder,CO,137,31
Asheville,NC,138,32
Asheville NC,,139,33
Asheville,NC,140,32
Bellingham,WA,141,34
Bellingham,WA,142,34
Bellingham,WA,143,34
Aspen,CO,144,35
Aspen,CO,145,35
Astoria,OR,146,36
Astoria,OR,147,36
Astoria,OR,148,36
Astoria,OR,149,36
Detroit,MI,150,37
Detroit,MI,151,37
Detroit,MI,152,37
Detroit,MI,153,37
Detroit,MI,154,37
Detroit MI,,155,38
Austin,TX,156,39
Austin,TX,157,39
Austin,TX,158,39
Austin,TX,159,39
Austin,TX,160,39
Boulder,CO,161,31
Boulder,CO,162,31
Boulder,CO,163,31
Boulder,CO,164,31
Boulder,CO,165,31
Boulder,CO,166,31
Fuquay-Varina,NC,167,40
Fuquay-Varina,NC,168,40
Fuquay-Varina,NC,169,40
Fuquay-Varina,NC,170,40
Fuquay-Varina,NC,171,40
Fuquay-Varina,NC,172,40
Bloomfield,CT,173,41
Bloomfield,CT,174,41
Bloomfield,CT,175,41
Bloomfield,CT,176,41
Bloomfield,CT,177,41
Gadsden,AL,178,42
Gadsden,AL,179,42
Yakima,WA,180,43
Yakima,WA,181,43
San Diego,CA,182,44
San Diego CA,,183,45
San Diego,CA,184,44
San Diego,CA,185,44
San Diego,CA,186,44
San Diego,CA,187,44
Williamsburg,MA,188,46
Williamsburg,MA,189,46
Williamsburg,MA,190,46
Granger,IN,191,47
Tucson,AZ,192,48
Tucson,AZ,193,48
Portland,OR,194,15
Portland,OR,195,15
Portland,OR,196,15
Portland,OR,197,15
Portland,OR,198,15
Minneapolis,MN,199,49
Minneapolis,MN,200,49
Minneapolis,MN,201,49
Minneapolis,MN,202,49
Lewiston,ME,203,50
Lewiston,ME,204,50
Lewiston,ME,205,50
Lewiston,ME,206,50
Lewiston,ME,207,50
Lewiston,ME,208,50
Lewiston,ME,209,50
Lewiston,ME,210,50
Lewiston,ME,211,50
Virginia Beach,VA,212,51
Lowell,MA,213,52
Lowell,MA,214,52
Lowell,MA,215,52
Lowell,MA,216,52
Kalamazoo,MI,217,53
Kalamazoo,MI,218,53
Kalamazoo,MI,219,53
Kalamazoo,MI,220,53
Kalamazoo,MI,221,53
Kalamazoo,MI,222,53
Roseville,MN,223,54
Roseville,MN,224,54
Roseville,MN,225,54
Duluth,MN,226,55
Duluth,MN,227,55
Duluth,MN,228,55
Duluth,MN,229,55
Duluth MN,,230,56
Duluth,MN,231,55
South Deerfield,MA,232,57
South Deerfield,MA,233,57
Alpine,TX,234,58
Alpine,TX,235,58
Alpine,TX,236,58
Alpine,TX,237,58
Alpine,TX,238,58
Broomfield,CO,239,59
Broomfield,CO,240,59
Broomfield,CO,241,59
Broomfield,CO,242,59
Sheffield,MA,243,60
Sheffield,MA,244,60
Sheffield,MA,245,60
Holland,MI,246,61
Holland,MI,247,61
Murphysboro,IL,248,62
Murphysboro,IL,249,62
Chattanooga,TN,250,63
Chattanooga,TN,251,63
Missoula,MT,252,64
Missoula,MT,253,64
Missoula,MT,254,64
Missoula,MT,255,64
Missoula,MT,256,64
Missoula,MT,257,64
Missoula,MT,258,64
Missoula,MT,259,64
Missoula,MT,260,64
Missoula,MT,261,64
Missoula,MT,262,64
Missoula,MT,263,64
Odessa,FL,264,65
Odessa,FL,265,65
Vadnais Heights,MN,266,66
