HospitalName,CountyName,original_index,unique_index,count
callahan eye foundation hospital,jefferson,0,0,25
callahan eye foundation hospital,jefferson,1,0,25
callahan eye foundation hospital,jefferson,2,0,25
callahan eye foundation hospital,jefferson,3,0,25
callahan eye foundation hospital,jefferson,4,0,25
callahan eye foundation hospital,jefferson,5,0,25
callahan eye foundation hospital,jefferson,6,0,25
callahan eye foundation hospital,jefferson,7,0,25
helen keller memorial hospital,jefferson,8,1,22
helen keller memorial hospital,jefferson,9,1,22
helen keller memorial hospital,jefferson,10,1,22
helen keller memorial hospital,jefferson,11,1,22
helen keller memorial hospital,jefferson,12,1,22
helen keller memorial hospital,jefferson,13,1,22
helen keller memorial hospital,jefferson,14,1,22
helen keller memorial hospital,jefferson,15,1,22
helen keller memorial hospital,jefferson,16,1,22
helen keller memorial hospital,jefferson,17,1,22
helen keller memorial hospital,jefferson,18,1,22
southeast alabama medical center,houston,19,2,24
southeast alabama medical center,houston,20,2,24
southeast alabama medical center,houston,21,2,24
southeast alabama medical center,houston,22,2,24
southeast alabama medical center,houston,23,2,24
southeast alabama medical center,houston,24,2,24
southeast alabama medical center,houston,25,2,24
southeast alabama medxcal center,houston,26,3,1
southeast alabama medical center,houston,27,2,24
southeast alabama medical center,houston,28,2,24
southeast alabama medical center,houston,29,2,24
southeast alabama medical center,houston,30,2,24
southeast alabama medical center,houston,31,2,24
southeast alabama medical center,houston,32,2,24
southeast alabama medical center,houston,33,2,24
southeast alabama medical center,houston,34,2,24
southeast alabama medical center,houston,35,2,24
southeast alabama medical center,houston,36,2,24
southeast alabama medical center,houston,37,2,24
southeast alabama medical center,houston,38,2,24
southeast alabama medical center,houston,39,2,24
southeast alabama medical center,houston,40,2,24
southeast alabama medical center,houston,41,2,24
southeast alabama medical center,houston,42,2,24
southeast alabama medical center,houston,43,2,24
marshall medical center south,marshall,44,4,24
marshall medical center south,marshall,45,4,24
marshall medical center south,marshall,46,4,24
marshall medical center south,marshall,47,4,24
marshall medical center south,marshall,48,4,24
marshall medical center south,marshall,49,4,24
marshall medical center south,marshall,50,4,24
marshall medical center south,marshall,51,4,24
marshall medical center south,marshall,52,4,24
marshall medical center south,marshall,53,4,24
marshall medical center south,marshall,54,4,24
marshall medical center south,marshall,55,4,24
marshall medical center south,marshall,56,4,24
marshall medical center south,marshall,57,4,24
marshall medical center south,marshall,58,4,24
marshall medical center south,marshall,59,4,24
marshall medical center south,marshall,60,4,24
marshall medical center south,marshall,61,4,24
marshall medical center south,marshall,62,4,24
marshall medical center south,marshall,63,4,24
marshall medical center south,marshall,64,4,24
marshall medical center south,marshall,65,4,24
marshall medical center south,marshall,66,4,24
marshall medical center south,mxrshxll,67,5,1
marshall medical center south,marshall,68,4,24
eliza coffee memorial hospital,lauderdale,69,6,23
eliza coffee memorial hospital,lauderdale,70,6,23
eliza coffee memorial hospital,lauderdale,71,6,23
