0,1,2,3,4,5,6
642,panynj,CO-1614-LAX-IAH,,12:58 a.m.,,5:26 a.m.
652,panynj,CO-1561-PHX-IAH,,8:18 a.m.,,11:32 a.m.
658,panynj,CO-89-IAH-EWR,,6:17 a.m.,,10:27 a.m.
663,panynj,UA-382-IAD-LAX,,12:56 p.m.,,3:21 p.m.
1960,allegiantair,UA-5487-SFO-MRY,,10:53 a.m.,,11:21 a.m.
685,panynj,UA-2515-DFW-CLT,,7:31 a.m.,,10:45 a.m.
689,panynj,UA-37-EWR-MCO,,2:01 p.m.,,4:17 p.m.
692,panynj,AA-3823-LAX-DEN,9:00 p.m.,,12:15 a.m. Dec 02,
693,panynj,AA-2312-DFW-DTW,8:25 p.m.,,11:50 p.m.,
696,panynj,UA-3373-IAD-PHL,,8:37 a.m.,,9:13 a.m.
697,panynj,AA-649-ORD-SNA,1:30 p.m.,,3:50 p.m.,
700,panynj,UA-828-SFO-ORD,11:08 p.m.,,5:11 a.m.Dec 02,
701,panynj,CO-4888-IAH-DAL,5:30 p.m.,,6:40 p.m.,
705,panynj,UA-2708-EWR-CLT,,3:04 p.m.,,4:24 p.m.
715,panynj,AA-415-BOS-ORD,,8:56 a.m.,,10:10 a.m.
2165,gofox,UA-5487-SFO-MRY,,10:53 a.m.,,11:21 a.m.
638,panynj,CO-58-DEN-IAH,,12:37 p.m.,,3:31 p.m.
639,panynj,UA-5487-SFO-MRY,,10:53 a.m.,,11:21 a.m.
640,panynj,AA-204-LAX-MCO,11:25 p.m.,,6:55 a.m. Dec 02,
