beer_name,ibu,original_index,unique_index,count
Pub Beer,,0,0,
Devil's Cup,,1,1,
Rise of the Phoenix,,2,2,
Sinister,,3,3,
Sex and Candy,,4,4,
Black Exodus,,5,5,
Lake Street Express,,6,6,
Foreman,,7,7,
Jade,,8,8,
Cone Crusher,,9,9,
Sophomoric Saison,,10,10,
Regional Ring Of Fire,,11,11,
Garce Selé,,12,12,
Troll Destroyer,,13,13,
Bitter Bitch,60.0,14,14,1.0
Ginja Ninja,,15,15,
Cherried Away,,16,16,
Rhubarbarian,,17,17,
BrightCider,,18,18,
He Said Baltic-Style Porter,,19,19,
He Said Belgian-Style Tripel,,20,20,
Lower De Boom,92.0,21,21,1.0
Fireside Chat,45.0,22,22,1.0
Marooned On Hog Island,,23,23,
Bitter American,42.0,24,24,1.0
Hell or High Watermelon Wheat (2009),17.0,25,25,2.0
Hell or High Watermelon Wheat (2009),17.0,26,25,2.0
21st Amendment Watermelon Wheat Beer (2006),17.0,27,26,1.0
21st Amendment IPA (2006),70.0,28,27,1.0
Brew Free! or Die IPA (2008),70.0,29,28,1.0
Brew Free! or Die IPA (2009),70.0,30,29,1.0
Special Edition: Allies Win The War!,52.0,31,30,1.0
Hop Crisis,94.0,32,31,1.0
Bitter American (2011),42.0,33,32,1.0
Fireside Chat (2010),45.0,34,33,1.0
Back in Black,65.0,35,34,1.0
Monk's Blood,35.0,36,35,1.0
Brew Free! or Die IPA,65.0,37,36,1.0
Hell or High Watermelon Wheat,17.0,38,37,1.0
Bimini Twist,82.0,39,38,1.0
Beach Blonde,,40,39,
Rod Bender Red,,41,40,
Passion Fruit Prussia,11.0,42,41,1.0
Send Help,18.0,43,42,1.0
Cast Iron Oatmeal Brown,,44,43,
Reprise Centennial Red,,45,44,
Alter Ego,,46,45,
Divided Sky,,47,46,
Resurrected,,48,47,
Contact High,28.0,49,48,1.0
Galaxyfest,,50,49,
Citrafest,45.0,51,50,1.0
Barn Yeti,,52,51,
Scarecrow,65.0,53,52,1.0
Ironman,50.0,54,53,1.0
Honey Kolsch,15.0,55,54,1.0
Copperhead Amber,18.0,56,55,1.0
Rude Parrot IPA,75.0,57,56,1.0
British Pale Ale (2010),30.0,58,57,1.0
British Pale Ale,30.0,59,58,1.0
Ballz Deep Double IPA,82.0,60,59,1.0
Wolfman's Berliner,,61,60,
Colorado Native,26.0,62,61,1.0
Colorado Native (2011),26.0,63,62,1.0
Jockamo IPA,52.0,64,63,1.0
Purple Haze,13.0,65,64,1.0
Abita Amber,17.0,66,65,1.0
Citra Ass Down,68.0,67,66,2.0
The Brown Note,20.0,68,67,2.0
Citra Ass Down,68.0,69,66,2.0
London Balling,80.0,70,68,1.0
35 K,25.0,71,69,1.0
A Beer,42.0,72,70,1.0
Rules are Rules,25.0,73,71,1.0
Flesh Gourd'n,21.0,74,72,1.0
Sho'nuff,13.0,75,73,1.0
Bloody Show,17.0,76,74,1.0
Rico Sauvin,68.0,77,75,1.0
Coq de la Marche,38.0,78,76,1.0
Kamen Knuddeln,,79,77,
Pile of Face,65.0,80,78,1.0
The Brown Note,20.0,81,67,2.0
Maylani's Coconut Stout,35.0,82,79,1.0
Oatmeal PSA,35.0,83,80,1.0
Pre Flight Pilsner,33.0,84,81,1.0
P-Town Pilsner,20.0,85,82,1.0
Klickitat Pale Ale,36.0,86,83,1.0
Yellow Wolf Imperial IPA,103.0,87,84,1.0
Freeride APA,40.0,88,85,1.0
Alaskan Amber,18.0,89,86,1.0
Hopalicious,,90,87,
Kentucky Kölsch,,91,88,
Kentucky IPA,,92,89,
Dusty Trail Pale Ale,,93,90,
Damnesia,,94,91,
Desolation IPA,43.0,95,92,1.0
Liberty Ale,,96,93,
IPA,,97,94,
Summer Wheat,,98,95,
California Lager,,99,96,
Brotherhood Steam,,100,97,
Blood Orange Gose,,101,98,
Keebarlin' Pale Ale,,102,99,
"the Kimmie, the Yink and the Holy Gose",,103,100,
Fall Hornin',,104,101,
Barney Flats Oatmeal Stout,13.0,105,102,2.0
Summer Solstice,4.0,106,103,1.0
Hop Ottin' IPA,80.0,107,104,1.0
Boont Amber Ale,15.0,108,105,1.0
Barney Flats Oatmeal Stout,13.0,109,102,2.0
El Steinber Dark Lager,25.0,110,106,1.0
Boont Amber Ale (2010),15.0,111,107,1.0
Summer Solstice Cerveza Crema (2009),4.0,112,108,1.0
Barney Flats Oatmeal Stout (2012),13.0,113,109,1.0
Winter Solstice,6.0,114,110,1.0
Hop Ottin' IPA (2011),80.0,115,111,1.0
Boont Amber Ale (2011),15.0,116,112,1.0
Summer Solstice (2011),4.0,117,113,1.0
Poleeko Gold Pale Ale (2009),28.0,118,114,1.0
Charlie's Rye IPA,,119,115,
River Pig Pale Ale,,120,116,
Oaky's Oatmeal Stout,,121,117,
Angry Orchard Apple Ginger,,122,118,
Angry Orchard Crisp Apple,,123,119,
Angry Orchard Crisp Apple,,124,119,
Golden One,,125,120,
Arjuna,,126,121,
Uroboros,,127,122,
Long Leaf,75.0,128,123,1.0
Honey Badger Blonde,19.0,129,124,1.0
Porter (a/k/a Black Gold Porter),23.0,130,125,1.0
Sky High Rye,55.0,131,126,1.0
Whitsun,17.0,132,127,1.0
On-On Ale (2008),,133,128,
Quakertown Stout,50.0,134,129,1.0
Greenbelt Farmhouse Ale,20.0,135,130,1.0
Mo's Gose,10.0,136,131,1.0
Green Bullet Organic India Pale Ale,45.0,137,132,1.0
Rocket Girl,27.0,138,133,1.0
Ninja Porter,26.0,139,134,1.0
Shiva IPA,69.0,140,135,1.0
Aslan Kölsch,,141,136,
Aslan IPA,,142,137,
Aslan Amber,,143,138,
This Season's Blonde,27.0,144,139,1.0
Independence Pass Ale,67.0,145,140,1.0
Trolley Stop Stout,40.0,146,141,1.0
Bitter Bitch Imperial IPA,138.0,147,142,1.0
Poop Deck Porter,35.0,148,143,1.0
Old Red Beard Amber Ale,35.0,149,144,1.0
Hop A-Peel,115.0,150,145,1.0
Vanilla Java Porter,12.0,151,146,1.0
Michelada,,152,147,
Dirty Blonde Ale,8.0,153,148,1.0
Grand Circus IPA,62.0,154,149,1.0
Atwater's Lager,12.0,155,150,1.0
Heavy Machinery IPA Series #1: Heavy Fist,,156,151,
Fire Eagle IPA,,157,152,
Peacemaker,,158,153,
Pearl-Snap,,159,154,
Black Thunder,,160,155,
Raja,,161,156,
Perzik Saison,,162,157,
Avery Joe’s Premium American Pilsner,42.0,163,158,1.0
White Rascal,10.0,164,159,1.0
Avery India Pale Ale,69.0,165,160,1.0
Ellie’s Brown Ale,17.0,166,161,1.0
Pumpkin Beast,17.0,167,162,1.0
OktoberBeast,22.0,168,163,1.0
Mad Beach,23.0,169,164,1.0
Hog Wild India Pale Ale,,170,165,
Devils Tramping Ground Tripel,5.0,171,166,1.0
Hot Rod Red,41.0,172,167,1.0
Palate Mallet,,173,168,
Back East Porter,,174,169,
Back East Golden Ale,,175,170,
Misty Mountain IPA,,176,171,
Back East Ale,,177,172,
Truck Stop Honey Brown Ale,,178,173,
Naked Pig Pale Ale,43.0,179,174,1.0
Topcutter India Pale Ale,70.0,180,175,1.0
Field 41 Pale Ale,38.0,181,176,1.0
Grapefruit Sculpin,,182,177,
Even Keel,40.0,183,178,1.0
Ballast Point Pale Ale,23.0,184,179,1.0
Big Eye India Pale Ale,75.0,185,180,1.0
Longfin Lager,,186,181,
Sculpin IPA,70.0,187,182,1.0
All Nighter Ale,,188,183,
Banner American Rye,20.0,189,184,1.0
Banner American Ale,45.0,190,185,1.0
Thai.p.a,46.0,191,186,1.0
Barrio Blanco,60.0,192,187,1.0
Barrio Tucson Blonde,,193,188,
Hop in the ‘Pool Helles,22.0,194,189,1.0
Ultra Gnar Gnar IPA,60.0,195,190,1.0
In-Tents India Pale Lager,62.0,196,191,1.0
Lost Meridian Wit,20.0,197,192,1.0
Celestial Meridian Cascadian Dark Lager,45.0,198,193,1.0
Wagon Party,55.0,199,194,1.0
Sky-Five,70.0,200,195,1.0
Stargrazer,28.0,201,196,1.0
Wonderstuff,48.0,202,197,1.0
Tarnation California-Style Lager,,203,198,
On the Count of 3 (2015),42.0,204,199,1.0
Summer Swelter,,205,200,
Phantom Punch Winter Stout,,206,201,
Hayride Autumn Ale,,207,202,
Celsius Summer Ale (2012),,208,203,
Amber Road,35.0,209,204,1.0
Pamola Xtra Pale Ale,28.0,210,205,1.0
Stowaway IPA,69.0,211,206,1.0
Hoptopus Double IPA,108.0,212,207,1.0
Watermelon Ale,10.0,213,208,1.0
Fenway American Pale Ale,45.0,214,209,1.0
Back Bay IPA,85.0,215,210,1.0
Bunker Hill Blueberry Ale,16.0,216,211,1.0
Oberon,,217,212,
Smitten,,218,213,
Winter White,,219,214,
Oberon,,220,212,
Two Hearted,,221,215,
Best Brown,,222,216,
Moar,44.0,223,217,1.0
Uber Lupin Schwarz IPA,,224,218,
Nordic Blonde,27.0,225,219,1.0
Cold Press,,226,220,
Harness the Winter,87.0,227,221,1.0
14° ESB,32.0,228,222,1.0
Bent Hop Golden IPA,68.0,229,223,1.0
Bent Paddle Black Ale,34.0,230,224,1.0
Venture Pils,38.0,231,225,1.0
Lost Sailor IPA,40.0,232,226,1.0
Steel Rail Extra Pale Ale,20.0,233,227,1.0
La Frontera Premium IPA,,234,228,
Tejas Lager,,235,229,
Number 22 Porter,,236,230,
Big Bend Hefeweizen,,237,231,
Terlingua Gold,,238,232,
Aprè Shred,17.0,239,233,1.0
Hemlock Double IPA,104.0,240,234,1.0
West Portal Colorado Common Summer Ale,,241,235,
Disconnected Red,85.0,242,236,1.0
Big Elm IPA,,243,237,
Gerry Dog Stout,,244,238,
413 Farmhouse Ale,,245,239,
Dark Star,54.0,246,240,1.0
Ryecoe,,247,241,
Blueberry Blonde,,248,242,
Galaxy IPA,60.0,249,243,1.0
Big River Pilsner,32.0,250,244,1.0
House Brand IPA,55.0,251,245,1.0
Big Sky IPA,65.0,252,246,1.0
Scape Goat Pale Ale,40.0,253,247,1.0
Montana Trout Slayer Ale,35.0,254,248,1.0
Moose Drool Brown Ale,26.0,255,249,1.0
Powder Hound Winter Ale,60.0,256,250,1.0
Moose Drool Brown Ale (2011),26.0,257,251,1.0
Montana Trout Slayer Ale (2012),35.0,258,252,1.0
Big Sky IPA (2012),65.0,259,253,1.0
Summer Honey,,260,254,
Scape Goat Pale Ale (2010),40.0,261,255,1.0
Montana Trout Slayer Ale (2009),35.0,262,256,1.0
Moose Drool Brown Ale (2009),26.0,263,257,1.0
Arcus IPA,81.0,264,258,1.0
Wavemaker,38.0,265,259,1.0
Jack Pine Savage,43.0,266,260,1.0
Forest Fire Imperial Smoked Rye,85.0,267,261,1.0
Bad Axe Imperial IPA,76.0,268,262,1.0
Morning Wood,35.0,269,263,1.0
Bark Bite IPA,50.0,270,264,1.0
Jalapeno Pale Ale,45.0,271,265,1.0
Blown Out Brown,,272,266,
Single Hop Ale,,273,267,
Sawtooth Ale,,274,268,
Saucy Intruder,75.0,275,269,1.0
Deception,16.0,276,270,1.0
Blackmarket Rye IPA,35.0,277,271,1.0
Black Market Hefeweizen,8.0,278,272,1.0
Aftermath Pale Ale,44.0,279,273,1.0
American India Red Ale,83.0,280,274,1.0
American Red Porter,45.0,281,275,1.0
American Red Saison,34.0,282,276,1.0
Colorado Red Ale,44.0,283,277,1.0
Saddle Bronc Brown Ale,16.0,284,278,1.0
Bomber Mountain Amber Ale,20.0,285,279,1.0
Flying Sailor,,286,280,
Nordskye,47.0,287,281,1.0
North Third Stout,30.0,288,282,1.0
Honey Lav,,289,283,
Coconut Brown Ale,,290,284,
51K IPA,51.0,291,285,1.0
Grand Rabbits,,292,286,
1800 Big Log Wheat (2012),,293,287,
Double Play Pilsner,,294,288,
Brewerhood Brown Ale,,295,289,
Last Call Imperial Amber Ale,,296,290,
Pernicious Double IPA,,297,291,
6-4-3 Double Play Pilsner,,298,292,
N Street Drive-In 50th Anniversary IPA,,299,293,
467 Ethan's Stout,,300,294,
1335 Wicked Snout,,301,295,
543 Skull Creek Fresh Hopped Pale Ale,,302,296,
1327 Pod's ESB,37.0,303,297,3.0
1327 Pod's ESB,37.0,304,297,3.0
1327 Pod's ESB,37.0,305,297,3.0
834 Happy As Ale,35.0,306,298,1.0
Yellow Collar,,307,299,
Green Collar,,308,300,
Quarter Mile Double IPA,80.0,309,301,1.0
Full Nelson Pale Ale,60.0,310,302,1.0
Steel Wheels ESB,30.0,311,303,1.0
Blue Mountain Classic Lager,22.0,312,304,1.0
Full Nelson Pale Ale (2010),60.0,313,305,1.0
Kölsch 151,16.0,314,306,1.0
Professor Black,,315,307,
Little Boss,,316,308,
Van Dayum!,,317,309,
Spirit Animal,,318,310,
Toxic Sludge,,319,311,
Blue Point White IPA,40.0,320,312,1.0
Blue Point Summer Ale,16.0,321,313,1.0
Toasted Lager,28.0,322,314,1.0
Bohemian Export Lager,,323,315,
Altus Bohemes Altbier,,324,316,
Cherny Bock,,325,317,
Czech Pilsner,,326,318,
Viennese Lager,,327,319,
Mad Manatee IPA,,328,320,
