folder,iteration,accuracy,precision,recall,completion_tokens,prompt_tokens,total_tokens,output_valid,output_rows,response_time
beers,0,0,0,0,1371,96202,97573,False,0,63.665611743927
beers,1,0,0,0,1223,47481,48704,False,0,52.80443239212036
beers,2,0,0,0,1167,23612,24779,False,0,54.091907262802124
beers,3,,0.0,0.0,1768,11948,13716,True,0,37.786030769348145
beers,4,,0.0,0.0,1011,6099,7110,True,0,14.542977571487427
beers,5,,0.0,0.0,861,3088,3949,True,0,13.471585273742676
beers,6,,0.0,0.0,729,1629,2358,True,0,12.408291578292847
beers,7,0,0,0,239,864,1103,False,0,3.684720754623413
beers,8,,0.0,0.0,220,521,741,True,0,3.4664487838745117
beers,9,0,0,0,59,345,404,False,0,1.1365172863006592
beers,10,,0.0,0.0,66,275,341,True,0,1.9724137783050537
beers,11,,0.0,0.0,43,240,283,True,0,1.1887598037719727
