column_1,column_2,column_1_name,column_2_name,dependency
1,2,ProviderNumber,HospitalName,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,3,ProviderNumber,Address1,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,4,ProviderNumber,Address2,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,5,ProviderNumber,Address3,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,6,ProviderNumber,City,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,7,ProviderNumber,State,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,8,ProviderNumber,ZipCode,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,9,ProviderNumber,CountyName,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,10,ProviderNumber,PhoneNumber,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,11,ProviderNumber,HospitalType,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
1,12,ProviderNumber,HospitalOwner,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
2,3,HospitalName,Address1,"These columns appear to describe the same hospital record: a facility identifier, facility name, street address, optional second address line, city, state, ZIP code, county, phone number, hospital type, and ownership/status. The values are consistently tied to the same institution across rows."
