completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
4,135,139,00:01.495,1,index
2567,1722,4289,00:16.892,1,ProviderNumber
1856,1920,3776,00:11.966,1,HospitalName
1911,2039,3950,00:12.614,1,Address1
22,769,791,00:00.673,1,Address2
22,769,791,00:01.267,1,Address3
1669,1760,3429,00:11.406,1,City
165,805,970,00:01.788,1,State
1704,1715,3419,00:11.399,1,ZipCode
1757,1648,3405,00:11.726,1,CountyName
1703,1893,3596,00:10.935,1,PhoneNumber
499,965,1464,00:03.774,1,HospitalType
946,1244,2190,00:06.507,1,HospitalOwner
128,831,959,00:01.301,1,EmergencyService
1000,1197,2197,00:07.621,1,Condition
958,1553,2511,00:06.028,1,MeasureCode
1307,2800,4107,00:08.295,1,MeasureName
1542,1597,3139,00:09.995,1,Score
6300,7428,13728,00:41.203,4,Sample
2009,1979,3988,00:13.861,1,Stateavg
