column_1_name,column_2_name,column_1_count,column_2_count,dependency
Actors,Cast,446,490,"Actors, Cast"
Actors,Genre,234,440,"Actors, Genre"
Country,Duration,192,3,"Country, Filming Locations"
Actors,Creator,78,458,"Creator, Actors"
Cast,Creator,20,2354,"Creator, Cast"
Actors,Creator,710,34,"Director, Actors"
Actors,Creator,12,710,"Director, Creator"
Duration,Id,164,1,"Duration, RatingCount"
Duration,RatingValue,16,277,"Duration, RatingValue"
Country,Language,32,56,"Language, Country"
Country,Name,675,118,"Name, Country"
Description,Name,367,107,"Name, Description"
Director,Name,296,247,"Name, Director"
Genre,Name,259,44,"Name, Genre"
Language,Name,459,6,"Name, Language"
Name,Year,55,210,"Name, Year"
Name,RatingCount,27,50,"RatingValue, RatingCount"
Filming Locations,Release Date,191,255,"Release Date, Filming Locations"
Language,Release Date,103,370,"Release Date, Language"
Release Date,Year,17,353,"Year, Release Date"
