HospitalName,original_index,unique_index
callahan eye foundation hospital,0,0
callahan eye foundation hospital,1,0
callahan eye foundation hospital,2,0
callahan eye foundation hospital,3,0
callahan eye foundation hospital,4,0
callahan eye foundation hospital,5,0
callahan eye foundation hospital,6,0
callahan eye foundation hospital,7,0
helen keller memorial hospital,8,1
helen keller memorial hospital,9,1
helen keller memorial hospital,10,1
helen keller memorial hospital,11,1
helen keller memorial hospital,12,1
helen keller memorial hospital,13,1
helen keller memorial hospital,14,1
helen keller memorial hospital,15,1
helen keller memorial hospital,16,1
helen keller memorial hospital,17,1
helen keller memorial hospital,18,1
southeast alabama medical center,19,2
southeast alabama medical center,20,2
southeast alabama medical center,21,2
southeast alabama medical center,22,2
southeast alabama medical center,23,2
southeast alabama medical center,24,2
southeast alabama medical center,25,2
southeast alabama medxcal center,26,3
southeast alabama medical center,27,2
southeast alabama medical center,28,2
southeast alabama medical center,29,2
southeast alabama medical center,30,2
southeast alabama medical center,31,2
southeast alabama medical center,32,2
southeast alabama medical center,33,2
southeast alabama medical center,34,2
southeast alabama medical center,35,2
southeast alabama medical center,36,2
southeast alabama medical center,37,2
southeast alabama medical center,38,2
southeast alabama medical center,39,2
southeast alabama medical center,40,2
southeast alabama medical center,41,2
southeast alabama medical center,42,2
southeast alabama medical center,43,2
marshall medical center south,44,4
marshall medical center south,45,4
marshall medical center south,46,4
marshall medical center south,47,4
marshall medical center south,48,4
marshall medical center south,49,4
marshall medical center south,50,4
marshall medical center south,51,4
marshall medical center south,52,4
marshall medical center south,53,4
marshall medical center south,54,4
marshall medical center south,55,4
marshall medical center south,56,4
marshall medical center south,57,4
marshall medical center south,58,4
marshall medical center south,59,4
marshall medical center south,60,4
marshall medical center south,61,4
marshall medical center south,62,4
marshall medical center south,63,4
marshall medical center south,64,4
marshall medical center south,65,4
marshall medical center south,66,4
marshall medical center south,67,4
marshall medical center south,68,4
eliza coffee memorial hospital,69,5
eliza coffee memorial hospital,70,5
eliza coffee memorial hospital,71,5
eliza coffee memorial hospital,72,5
eliza coffee memorial hospital,73,5
eliza coffee memorial hospital,74,5
eliza coffee memorial hospital,75,5
eliza coffee memorial hospital,76,5
eliza coffee memorial hospital,77,5
eliza coffee memorial hospital,78,5
eliza coffee memorial hospital,79,5
eliza coffee memorial hospital,80,5
eliza coffee memorial hospital,81,5
eliza coffee memorial hospital,82,5
eliza coffee memorial hospital,83,5
eliza coffee memorial hospital,84,5
eliza coffee memorial hospital,85,5
eliza coffee memorial hospital,86,5
eliza coffee memorial hospital,87,5
eliza coffee memorial hospital,88,5
eliza coffee memorial hospital,89,5
eliza coffee memorial hospital,90,5
eliza coffee memorial hospital,91,5
eliza coffee memorial hospital,92,5
eliza coffee memorial hospital,93,5
mizell memorial hospital,94,6
mizell memorial hospital,95,6
mizell memorial hospital,96,6
mizell memorial hospital,97,6
mizell memorial hospital,98,6
mizell memorial hospital,99,6
mizell memorial hospital,100,6
mizell memorial hospital,101,6
mizell memorial hospital,102,6
mizell memorial hospital,103,6
mizell memorial hospital,104,6
mizell memorial hospital,105,6
mizell memorial hospital,106,6
mizell memorial hospital,107,6
mizell memorial hospital,108,6
mizell memorial hospital,109,6
mizell memorial hospital,110,6
mizell memorial hospital,111,6
mizell memorial hospital,112,6
mizell memorial hospital,113,6
mizell memorial hospital,114,6
mizell memorial hospital,115,6
