column_1_name,column_2_name,column_1_count,column_2_count,dependency
HospitalType,ProviderNumber,30,29,"ProviderNumber, HospitalType"
CountyName,State,19,116,"State, CountyName"
Address1,PhoneNumber,28,33,"Address1, PhoneNumber"
Address1,City,53,28,"Address1, City"
City,HospitalName,21,22,"HospitalName, City"
HospitalName,ZipCode,22,29,"HospitalName, ZipCode"
Condition,MeasureCode,1,7,"Condition, MeasureCode"
Address1,HospitalName,19,24,"HospitalName, Address1"
MeasureName,Score,22,15,"MeasureName, Score"
City,ProviderNumber,24,32,"ProviderNumber, City"
City,State,30,29,"City, State"
Address1,Address2,29,0,"Address1, State"
City,HospitalType,33,30,"City, HospitalType"
PhoneNumber,ProviderNumber,26,28,"ProviderNumber, PhoneNumber"
Address1,ZipCode,27,25,"Address1, ZipCode"
City,ZipCode,33,29,"City, ZipCode"
Sample,Score,27,23,"Score, Sample"
HospitalName,ProviderNumber,24,28,"ProviderNumber, HospitalName"
Address1,Address2,74,0,"Address1, Address2"
City,CountyName,27,60,"City, CountyName"
Address1,Address2,31,0,"Address1, Address3"
HospitalOwner,ProviderNumber,27,28,"ProviderNumber, HospitalOwner"
HospitalName,HospitalOwner,24,15,"HospitalName, HospitalOwner"
HospitalType,ZipCode,31,30,"ZipCode, HospitalType"
EmergencyService,HospitalType,27,32,"HospitalType, EmergencyService"
Address1,HospitalOwner,24,20,"Address1, HospitalOwner"
Condition,Stateavg,36,44,"Condition, Stateavg"
CountyName,ZipCode,39,29,"ZipCode, CountyName"
HospitalName,State,22,19,"HospitalName, State"
HospitalOwner,HospitalType,27,32,"HospitalType, HospitalOwner"
ProviderNumber,ZipCode,28,28,"ProviderNumber, ZipCode"
Condition,MeasureName,65,1,"Condition, MeasureName"
Address1,HospitalType,26,29,"Address1, HospitalType"
HospitalOwner,ZipCode,21,29,"ZipCode, HospitalOwner"
State,ZipCode,29,29,"State, ZipCode"
City,PhoneNumber,20,37,"City, PhoneNumber"
MeasureName,Sample,42,25,"MeasureName, Sample"
CountyName,HospitalName,36,25,"HospitalName, CountyName"
HospitalName,HospitalType,24,28,"HospitalName, HospitalType"
Address1,CountyName,20,58,"Address1, CountyName"
City,HospitalOwner,38,71,"City, HospitalOwner"
Address1,ProviderNumber,30,28,"ProviderNumber, Address1"
PhoneNumber,State,30,46,"State, PhoneNumber"
MeasureCode,MeasureName,27,108,"MeasureCode, MeasureName"
MeasureCode,Sample,8,31,"MeasureCode, Sample"
MeasureName,Stateavg,16,19,"MeasureName, Stateavg"
PhoneNumber,ZipCode,30,31,"ZipCode, PhoneNumber"
CountyName,HospitalType,39,29,"CountyName, HospitalType"
HospitalOwner,PhoneNumber,27,31,"PhoneNumber, HospitalOwner"
CountyName,HospitalOwner,87,45,"CountyName, HospitalOwner"
MeasureCode,Stateavg,29,34,"MeasureCode, Stateavg"
CountyName,ProviderNumber,32,32,"ProviderNumber, CountyName"
HospitalName,PhoneNumber,23,29,"HospitalName, PhoneNumber"
MeasureCode,Score,10,22,"MeasureCode, Score"
HospitalType,PhoneNumber,28,34,"PhoneNumber, HospitalType"
