act_dep_time,original_index,unique_index
7:16 a.m.,0,0
7:58 p.m.,1,1
,2,2
6:54 a.m.,3,3
12:41 p.m.,4,4
,5,2
7:25 a.m.,6,5
4:29 p.m.,7,6
12:12 p.m.,8,7
6:08 a.m.,9,8
10:55 a.m.,10,9
8:04 a.m.,11,10
10:18 a.m.,12,11
8:04 a.m.,13,10
2:04 p.m.,14,12
10:10 a.m.,15,13
12:13 p.m.,16,14
7:39 a.m.,17,15
6:57 a.m.,18,16
11:52 a.m.,19,17
11:05 a.m.,20,18
3:36 p.m.,21,19
7:21 a.m.,22,20
6:55 p.m.,23,21
12:11 p.m.,24,22
6:56 a.m.,25,23
7:30 a.m.,26,24
5:08 p.m.,27,25
8:23 p.m.,28,26
11:01 a.m.,29,27
10:54 a.m.,30,28
,31,2
,32,2
,33,2
7:22 a.m.,34,29
8:51 a.m.,35,30
,36,2
8:39 p.m.,37,31
2:44 p.m.,38,32
3:27 p.m.,39,33
7:22 a.m.,40,29
12:10 p.m.,41,34
1:19 p.m.,42,35
8:56 a.m.,43,36
3:36 p.m.,44,19
11:40 a.m.,45,37
4:12 p.m.,46,38
7:31 a.m.,47,39
6:10 a.m.,48,40
7:39 a.m.,49,15
7:16 a.m.,50,0
,51,2
6:54 a.m.,52,3
8:48 a.m.,53,41
9:00 a.m.,54,42
7:59 p.m.,55,43
3:50 p.m.,56,44
,57,2
11:41 a.m.,58,45
10:53 a.m.,59,46
11:29 p.m.,60,47
6:10 a.m.,61,40
,62,2
4:10 p.m.,63,48
,64,2
,65,2
10:11 a.m.,66,49
8:26 a.m.,67,50
7:25 a.m.,68,5
4:29 p.m.,69,6
10:54 a.m.,70,28
,71,2
,72,2
3:04 p.m.,73,51
12:13 p.m.,74,14
,75,2
6:09 a.m.,76,52
11:45 a.m.,77,53
,78,2
,79,2
10:19 a.m.,80,54
2:03 p.m.,81,55
8:07 a.m.,82,56
12:56 p.m.,83,57
12:14 p.m.,84,58
2:43 p.m.,85,59
12:07 p.m.,86,60
,87,2
,88,2
11:06 a.m.,89,61
1:43 p.m.,90,62
,91,2
7:22 a.m.,92,29
6:47 p.m.,93,63
6:56 p.m.,94,64
12:12 p.m.,95,7
,96,2
2:04 p.m.,97,12
,98,2
6:57 a.m.,99,16
7:31 a.m.,100,39
5:09 p.m.,101,65
7:39 a.m.,102,15
4:44 p.m.,103,66
4:37 p.m.,104,67
8:23 p.m.,105,26
,106,2
7:30 a.m.,107,24
11:02 a.m.,108,68
1:48 p.m.,109,69
12:42 p.m.,110,70
,111,2
12:11 a.m.,112,71
4:28 p.m.,113,72
9:06 p.m.,114,73
8:29 p.m.,115,74
7:23 a.m.,116,75
8:52 a.m.,117,76
8:37 a.m.,118,77
1:41 p.m.,119,78
,120,2
7:41 a.m.,121,79
,122,2
5:38 p.m.,123,80
1:50 p.m. (+8:00),124,81
11:47 a.m.,125,82
8:40 p.m.,126,83
3:04 p.m.,127,51
,128,2
,129,2
2:44 p.m.,130,32
3:28 p.m.,131,84
7:22 a.m.,132,29
12:11 p.m.,133,22
8:04 a.m.,134,10
,135,2
1:20 p.m.,136,85
8:55 a.m.,137,86
3:38 p.m.,138,87
8:04 a.m.,139,10
4:12 p.m.,140,38
11:52 a.m.,141,17
,142,2
11:55 a.m.,143,88
10:55 a.m.,144,9
6:58 a.m.,145,89
,146,2
6:11 a.m.,147,90
7:40 a.m.,148,91
7:32 a.m.,149,92
7:16 a.m.,150,0
7:42 p.m.,151,93
6:54 a.m.,152,3
8:49 a.m.,153,94
9:01 a.m.,154,95
7:59 p.m.,155,43
12:12 p.m.,156,7
3:50 p.m.,157,44
12:37 p.m.,158,96
10:53 a.m.,159,46
Not Available,160,97
6:10 a.m.,161,40
12:58 a.m.,162,98
4:10 p.m.,163,48
7:56 a.m.,164,99
10:35 a.m.,165,100
10:11 a.m.,166,49
8:26 a.m.,167,50
7:25 a.m.,168,5
4:30 p.m.,169,101
10:55 a.m.,170,9
2:59 p.m.,171,102
8:18 a.m.,172,103
3:04 p.m.,173,51
12:13 p.m.,174,14
12:06 p.m.,175,104
6:09 a.m.,176,52
11:45 a.m.,177,53
6:17 a.m.,178,105
9:01 a.m.,179,95
10:19 a.m.,180,54
2:04 p.m.,181,12
8:07 a.m.,182,56
12:56 p.m.,183,57
12:14 p.m.,184,58
2:43 p.m.,185,59
12:08 p.m.,186,106
5:38 p.m.,187,80
8:36 p.m.,188,107
11:06 a.m.,189,61
,190,2
3:36 p.m.,191,19
7:22 a.m.,192,29
Not Available,193,97
6:56 p.m.,194,64
Not Available,195,97
2:38 p.m.,196,108
9:58 a.m.,197,109
6:57 a.m.,198,16
7:31 a.m.,199,39
5:09 p.m.,200,65
4:46 p.m.,201,110
4:37 p.m.,202,67
8:23 p.m.,203,26
10:37 a.m.,204,111
7:31 a.m.,205,39
11:02 a.m.,206,68
1:48 p.m.,207,69
12:42 p.m.,208,70
2:01 p.m.,209,112
,210,2
Not Available,211,97
Not Available,212,97
Not Available,213,97
7:23 a.m.,214,75
8:52 a.m.,215,76
8:37 a.m.,216,77
Not Available,217,97
3:17 p.m.,218,113
7:41 a.m.,219,79
,220,2
,221,2
12:45 a.m.,222,114
11:47 a.m.,223,82
8:40 p.m.,224,83
3:04 p.m.,225,51
2:59 p.m.,226,102
9:43 a.m.,227,115
2:44 p.m.,228,32
3:28 p.m.,229,84
7:23 a.m.,230,75
12:11 p.m.,231,22
8:05 a.m.,232,116
9:05 a.m.,233,117
1:20 p.m.,234,85
8:56 a.m.,235,36
3:38 p.m.,236,87
8:04 a.m.,237,10
11:41 a.m.,238,45
4:12 p.m.,239,38
11:52 a.m.,240,17
7:40 a.m.,241,91
4:02 p.m.,242,118
11:55 a.m.,243,88
10:55 a.m.,244,9
6:58 a.m.,245,89
4:15 p.m.,246,119
6:11 a.m.,247,90
7:40 a.m.,248,91
7:32 a.m.,249,92
,250,2
6:54 a.m.,251,3
8:49 a.m.,252,94
,253,2
,254,2
6:56 p.m.,255,64
,256,2
,257,2
,258,2
,259,2
11:58 p.m.,260,120
,261,2
,262,2
,263,2
,264,2
,265,2
,266,2
,267,2
,268,2
,269,2
6:09 a.m.,270,52
,271,2
,272,2
,273,2
,274,2
10:19 a.m.,275,54
,276,2
2:04 p.m.,277,12
,278,2
10:11 a.m.,279,49
,280,2
,281,2
7:40 a.m.,282,91
11:52 a.m.,283,17
11:06 a.m.,284,61
7:22 a.m.,285,29
,286,2
,287,2
12:12 p.m.,288,7
,289,2
,290,2
,291,2
,292,2
7:31 a.m.,293,39
,294,2
,295,2
,296,2
,297,2
,298,2
11:02 a.m.,299,68
,300,2
12:11 a.m.,301,71
4:30 p.m.,302,101
,303,2
8:44 p.m.,304,121
7:23 a.m.,305,75
8:52 a.m.,306,76
,307,2
,308,2
,309,2
,310,2
,311,2
,312,2
,313,2
,314,2
,315,2
,316,2
,317,2
,318,2
7:23 a.m.,319,75
,320,2
,321,2
,322,2
,323,2
1:20 p.m.,324,85
8:07 a.m.,325,56
,326,2
,327,2
,328,2
,329,2
,330,2
,331,2
6:58 a.m.,332,89
,333,2
,334,2
7:40 a.m.,335,91
,336,2
7:16 a.m.,337,0
,338,2
6:54 a.m.,339,3
8:48 a.m.,340,41
9:00 a.m.,341,42
7:59 p.m.,342,43
3:50 p.m.,343,44
,344,2
11:41 a.m.,345,45
10:53 a.m.,346,46
11:29 p.m.,347,47
6:10 a.m.,348,40
,349,2
4:10 p.m.,350,48
,351,2
,352,2
10:11 a.m.,353,49
8:26 a.m.,354,50
7:25 a.m.,355,5
4:29 p.m.,356,6
10:54 a.m.,357,28
,358,2
,359,2
3:04 p.m.,360,51
12:13 p.m.,361,14
,362,2
6:09 a.m.,363,52
11:45 a.m.,364,53
,365,2
,366,2
10:19 a.m.,367,54
2:03 p.m.,368,55
8:07 a.m.,369,56
12:56 p.m.,370,57
12:14 p.m.,371,58
2:43 p.m.,372,59
12:07 p.m.,373,60
,374,2
,375,2
11:06 a.m.,376,61
1:43 p.m.,377,62
,378,2
7:22 a.m.,379,29
6:47 p.m.,380,63
6:56 p.m.,381,64
12:12 p.m.,382,7
,383,2
2:04 p.m.,384,12
,385,2
6:57 a.m.,386,16
7:31 a.m.,387,39
5:09 p.m.,388,65
7:39 a.m.,389,15
4:44 p.m.,390,66
4:37 p.m.,391,67
8:23 p.m.,392,26
,393,2
7:30 a.m.,394,24
11:02 a.m.,395,68
1:48 p.m.,396,69
12:42 p.m.,397,70
,398,2
12:11 a.m.,399,71
4:28 p.m.,400,72
9:06 p.m.,401,73
8:29 p.m.,402,74
