MeasureName,Stateavg,original_index,unique_index,count
surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,al_scip-card-2,0,0,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,1,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,2,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,3,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,4,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,5,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,6,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,7,7,36
heart attack patients given aspirin at arrival,al_ami-1,8,8,30
heart attack patients given aspirin at discharge,al_ami-2,9,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,10,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,11,11,40
heart attack patients given beta blocker at discharge,al_ami-5,12,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,13,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,14,14,37
heart failure patients given discharge instructions,al_hf-1,15,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,16,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,17,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,18,18,36
heart attack patients given aspirin at arrival,al_ami-1,19,8,30
heart attack patients given aspirin at discharge,al_ami-2,20,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,21,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,22,11,40
heart attack patients given beta blocker at discharge,al_ami-5,23,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,24,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,25,14,37
heart failure patients given discharge instructions,al_hf-1,26,15,38
