HospitalName,HospitalOwner,original_index,unique_index,count
callahan eye foundation hospital,voluntary non-profit - private,0,0,25
callahan eye foundation hospital,voluntary non-profit - private,1,0,25
callahan eye foundation hospital,voluntary non-profit - private,2,0,25
callahan eye foundation hospital,voluntary non-profit - private,3,0,25
callahan eye foundation hospital,voluntary non-profit - private,4,0,25
callahan eye foundation hospital,voluntary non-profit - private,5,0,25
callahan eye foundation hospital,voluntary non-profit - private,6,0,25
callahan eye foundation hospital,voluntary non-profit - private,7,0,25
helen keller memorial hospital,government - hospital district or authority,8,1,24
helen keller memorial hospital,government - hospital district or authority,9,1,24
helen keller memorial hospital,government - hospital district or authority,10,1,24
helen keller memorial hospital,government - hospital district or authority,11,1,24
helen keller memorial hospital,government - hospital district or authority,12,1,24
helen keller memorial hospital,government - hospital district or authority,13,1,24
helen keller memorial hospital,government - hospital district or authority,14,1,24
helen keller memorial hospital,government - hospital district or authority,15,1,24
helen keller memorial hospital,government - hospital district or authority,16,1,24
helen keller memorial hospital,government - hospital district or authority,17,1,24
helen keller memorial hospital,government - hospital district or authority,18,1,24
southeast alabama medical center,government - hospital district or authority,19,2,20
southeast alabama medical center,government - hospital district or authority,20,2,20
southeast alabama medical center,government - hospital district or authority,21,2,20
southeast alabama medical center,government - hospxtal dxstrxct or authorxty,22,3,1
southeast alabama medical center,government - hospital district or authority,23,2,20
southeast alabama medical center,government - hospital district or authority,24,2,20
southeast alabama medical center,government - hospital district or authority,25,2,20
southeast alabama medxcal center,government - hospital district or authority,26,4,1
southeast alabama medical center,government - hospital xistrict or authority,27,5,1
southeast alabama medical center,government - hospital district or authority,28,2,20
southeast alabama medical center,government - hospital district or authority,29,2,20
southeast alabama medical center,government - hospital district or authority,30,2,20
southeast alabama medical center,governmenx - hospixal disxricx or auxhorixy,31,6,1
southeast alabama medical center,government - hospital district or authority,32,2,20
southeast alabama medical center,government - hospital district or authority,33,2,20
southeast alabama medical center,government - hospital district or authority,34,2,20
southeast alabama medical center,government - hospital district or authority,35,2,20
southeast alabama medical center,government - hospital district or authority,36,2,20
southeast alabama medical center,government - hospital district or authority,37,2,20
southeast alabama medical center,government - hospital district or authority,38,2,20
southeast alabama medical center,government - hospital district or authority,39,2,20
southeast alabama medical center,government - hospital district or authority,40,2,20
southeast alabama medical center,government - hospital district or authority,41,2,20
southeast alabama medical center,gxvernment - hxspital district xr authxrity,42,7,1
southeast alabama medical center,government - hospital district or authority,43,2,20
