State,CountyName,original_index,unique_index,count
al,jefferson,0,0,99
al,jefferson,1,0,99
al,jefferson,2,0,99
al,jefferson,3,0,99
al,jefferson,4,0,99
al,jefferson,5,0,99
al,jefferson,6,0,99
al,jefferson,7,0,99
al,jefferson,8,0,99
al,jefferson,9,0,99
al,jefferson,10,0,99
al,jefferson,11,0,99
al,jefferson,12,0,99
al,jefferson,13,0,99
al,jefferson,14,0,99
al,jefferson,15,0,99
al,jefferson,16,0,99
al,jefferson,17,0,99
al,jefferson,18,0,99
al,houston,19,1,40
al,houston,20,1,40
al,houston,21,1,40
al,houston,22,1,40
al,houston,23,1,40
al,houston,24,1,40
al,houston,25,1,40
al,houston,26,1,40
al,houston,27,1,40
al,houston,28,1,40
al,houston,29,1,40
al,houston,30,1,40
al,houston,31,1,40
al,houston,32,1,40
al,houston,33,1,40
al,houston,34,1,40
al,houston,35,1,40
al,houston,36,1,40
al,houston,37,1,40
al,houston,38,1,40
al,houston,39,1,40
al,houston,40,1,40
al,houston,41,1,40
xl,houston,42,2,1
al,houston,43,1,40
al,marshall,44,3,46
al,marshall,45,3,46
xl,marshall,46,4,3
al,marshall,47,3,46
al,marshall,48,3,46
al,marshall,49,3,46
xl,marshall,50,4,3
al,marshall,51,3,46
al,marshall,52,3,46
al,marshall,53,3,46
al,marshall,54,3,46
al,marshall,55,3,46
al,marshall,56,3,46
al,marshall,57,3,46
al,marshall,58,3,46
al,marshall,59,3,46
al,marshall,60,3,46
al,marshall,61,3,46
al,marshall,62,3,46
al,marshall,63,3,46
al,marshall,64,3,46
al,marshall,65,3,46
al,marshall,66,3,46
al,mxrshxll,67,5,1
al,marshall,68,3,46
al,lauderdale,69,6,22
al,lauderdale,70,6,22
al,lauderdale,71,6,22
al,laudxrdalx,72,7,1
al,lauderdale,73,6,22
al,lauderdale,74,6,22
al,lauderdale,75,6,22
al,lauderdale,76,6,22
al,laudexdale,77,8,1
al,lauderdale,78,6,22
al,lauderdale,79,6,22
al,lauderdale,80,6,22
al,lauderdale,81,6,22
al,lauderdale,82,6,22
xl,lauderdale,83,9,1
al,lauderdale,84,6,22
al,lauderdale,85,6,22
al,lauderdale,86,6,22
al,lauderdale,87,6,22
al,lauderdale,88,6,22
al,lauderdale,89,6,22
al,lauderdale,90,6,22
al,lauderdale,91,6,22
