journal_title,original_index,unique_index
Proc R Soc Med,0,0
The Journal of infectious diseases,1,1
Indian journal of ophthalmology,2,2
,3,3
Dermatologic clinics,4,4
,5,3
Br Med Bull,6,5
American journal of respiratory and critical care medicine,7,6
Clinical Neuropsychologist,8,7
The British journal of radiology,9,8
Transportation Research Part D-Transport and Environment,10,9
International journal of clinical and experimental medicine,11,10
Acta Obstet Gynecol Scand,12,11
Heart Rhythm,13,12
,14,3
British Journal of Dermatology.,15,13
Clinical Interventions In Aging,16,14
Cochrane Database Syst Rev,17,15
Acta Neurochirurgica,18,16
Medicine and science in sports and exercise,19,17
"Cancer prevention research (Philadelphia, Pa.)",20,18
,21,3
Cardiovascular and interventional radiology,22,19
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,23,20
Scandinavian Journal of Gastroenterology,24,21
Global journal of health science,25,22
The Journal of clinical psychiatry,26,23
Metabolism: Clinical and Experimental,27,24
PLoS One,28,25
American Journal of Bioethics,29,26
The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,30,27
Eur. Heart J.,31,28
,32,3
Neuroprotective Agents,33,29
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,34,30
Vulnerable Children and Youth Studies,35,31
Respiration; international review of thoracic diseases,36,32
Neurosurgery,37,33
Health Facilities Management,38,34
European journal of emergency medicine : official journal of the European Society for Emergency Medicine,39,35
Int. J. Radiat. Oncol. Biol. Phys.,40,36
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,41,37
Intensivmedizin und Notfallmedizin,42,38
Journal of the American Board of Family Medicine : JABFM,43,39
Energy and Buildings,44,40
Cancer research,45,41
,46,3
Cochrane Database Syst. Rev.,47,42
The Journal of clinical psychiatry,48,23
Annals of Oncology,49,43
,50,3
Annals of the Royal College of Surgeons of England,51,44
American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,52,45
Journal of science and medicine in sport / Sports Medicine Australia,53,46
,54,3
Computers & chemical engineering,55,47
Journal of clinical anesthesia,56,48
,57,3
Teachers College Press,58,49
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",59,50
Journal of geriatric oncology,60,51
Obesity surgery,61,52
J. Card. Surg.,62,53
Journal of Allergy and Clinical Immunology,63,54
J. Exp. Clin. Cancer Res.,64,55
Clinical evidence,65,56
Paediatrics and Child Health,66,57
AIDS Reviews,67,58
Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,68,59
Ophthalmic surgery and lasers,69,60
CANCER,70,61
European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,71,62
Journal of the neurological sciences,72,63
Transplantation,73,64
Indian Journal of Pathology and Microbiology,74,65
,75,3
,76,3
Archives De Pediatrie,77,66
Nepal Medical College journal : NMCJ,78,67
Transfusion,79,68
Eur J Cancer Care (Engl),80,69
Statistical methods in medical research,81,70
TEACHING Exceptional Children Plus,82,71
Actas urologicas espanolas,83,72
Einstein (Sao Paulo),84,73
"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",85,74
J Med Toxicol,86,75
,87,3
Int J Gynaecol Obstet,88,76
Revista de Neurologia,89,77
J Cardiovasc Med (Hagerstown),90,78
Pathologie non allergique et exposition aux moisissures domestiques.,91,79
Nicotine Tob Res,92,80
Journal of Social Service Research,93,81
Am J Manag Care,94,82
Expert Opin Drug Metab Toxicol,95,83
Allergy: European Journal of Allergy and Clinical Immunology,96,84
J Dent Res,97,85
Am J Physiol Endocrinol Metab,98,86
Journal of the American Dietetic Association,99,87
,100,3
Cognitive Processing,101,88
,102,3
Fertility and sterility,103,89
Cancer chemotherapy and pharmacology,104,90
Psycho-oncology,105,91
,106,3
,107,3
Current opinion in pharmacology,108,92
The Cochrane Database Of Systematic Reviews,109,93
"Cancer immunology, immunotherapy : CII",110,94
BMJ Open,111,95
,112,3
Industrial Robot: An International Journal,113,96
The Journal Of Rheumatology,114,97
,115,3
Journal of applied physiology,116,98
,117,3
G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,118,99
,119,3
Anesthesiology (Hagerstown),120,100
Transactions of the Royal Society of Tropical Medicine and Hygiene,121,101
BMC public Health,122,102
International journal of clinical and experimental pathology,123,103
Int J Gynecol Cancer,124,104
"Neurologia (Barcelona, Spain)",125,105
,126,3
Medicinski Glasnik,127,106
Scientific Session and Scientiftc Poster Abstracts,128,107
Curr. Vasc. Pharmacol.,129,108
Journal of the American Geriatrics Society,130,109
Am. J. Trop. Med. Hyg.,131,110
,132,3
" BMJ 2006, 333:939",133,111
Annals of Internal Medicine,134,112
The Journals of Gerontology: Series A: Biological Sciences and Medical Sciences,135,113
Skeletal Radiology,136,114
Pharmacoeconomics,137,115
,138,3
,139,3
,140,3
,141,3
Health Technology Assessment Database,142,116
J Hand Surg Br,143,117
Journal of cardiovascular electrophysiology,144,118
Chinese Journal of New Drugs,145,119
,146,3
Eur J Gen Pract,147,120
Gut,148,121
General dentistry,149,122
Food Control,150,123
Neuropsychologia,151,124
"Euthanasie en andere medische beslissingen rond het levenseinde, 1990-1995",152,125
,153,3
American Journal of Acupuncture,154,126
Swiss Med. Wkly,155,127
Circulation Journal,156,128
CNS spectrums,157,129
Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,158,130
Hippokratia,159,131
Psycho-Oncology,160,132
Journal of Clinical and Diagnostic Research,161,133
,162,3
,163,3
Strabismus,164,134
,165,3
Focus on Alternative and Complementary Therapies,166,135
Animal,167,136
Cochrane Database of Systematic Reviews,168,137
,169,3
Diabet Med,170,138
,171,3
Journal of receptor and signal transduction research,172,139
Functional Neurology,173,140
Spine,174,141
Annals of the New York Academy of Sciences,175,142
Ann N Y Acad Sci,176,143
"Obesity (Silver Spring, Md.)",177,144
Water science and technology : a journal of the International Association on Water Pollution Research,178,145
Orthopedics,179,146
Haematologica,180,147
Scandinavian journal of psychology,181,148
,182,3
,183,3
AIDS Care,184,149
Mount Sinai Journal of Medicine,185,150
Radiotherapy and Oncology,186,151
Alternative Therapies in Health and Medicine,187,152
Journal of International Education Research,188,153
Radiologic Clinics of North America,189,154
Health Education & Behavior,190,155
Pediatric annals,191,156
Learning & Leading with Technology,192,157
Journal of the National Cancer Institute,193,158
Journal of Science & Medicine in Sport,194,159
,195,3
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,196,160
BMC Medical Research Methodology,197,161
Annals Of Surgery,198,162
Journal of biomaterials applications,199,163
The journal of headache and pain,200,164
ProQuest LLC,201,165
Journal of sports sciences,202,166
European Journal of Endocrinology,203,167
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",204,168
Cytokine,205,169
,206,3
,207,3
Arch Surg,208,170
Muscle & nerve,209,171
Social science & medicine (1982),210,172
International archives of occupational and environmental health,211,173
Ugeskr Laeger,212,174
,213,3
Critical reviews in oncology/hematology,214,175
,215,3
"Public health reports (Washington, D.C. : 1974)",216,176
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,217,177
,218,3
Journal of Consulting and Clinical Psychology,219,178
Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society,220,179
,221,3
American Journal of Clinical Nutrition,222,180
Int J Obes (Lond),223,181
,224,3
,225,3
Endocrinology,226,182
American Journal of Clinical Oncology-Cancer Clinical Trials,227,183
International Journal of Behavioral Consultation and Therapy,228,184
,229,3
McNeill Mathematics Program,230,185
The Journal of hospital infection,231,186
Best practice & research. Clinical gastroenterology,232,187
Am J Obstet Gynecol,233,188
Medical teacher,234,189
Acta cytologica,235,190
Atherosclerosis. Supplements,236,191
Schlafsțrungen bei kritisch kranken patienten,237,192
BMJ Open,238,95
Mycoses,239,193
BMC Musculoskelet Disord,240,194
Clinical Oncology (Royal College of Radiologists),241,195
BMJ Open,242,95
Physiotherapy,243,196
Public health genomics,244,197
,245,3
Journal of the International Neuropsychological Society : JINS,246,198
Revista Brasileira de terapia intensiva,247,199
Gene,248,200
Am. J. Managed Care,249,201
Journal of Clinical Gastroenterology,250,202
Journal of Health Care for the Poor & Underserved,251,203
Biomedical engineering online,252,204
Disease Management and Clinical Outcomes,253,205
Nature: New biology,254,206
Cardiology in the young,255,207
Journal of Huazhong University of Science and Technology. Medical Sciences,256,208
Journal of Epidemiology and Community Health,257,209
Critical care medicine,258,210
"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",259,211
Experimental Aging Research,260,212
Johns Hopkins Medical Journal,261,213
Urologe A,262,214
Prev Med,263,215
Chest,264,216
Psychiatric Services.,265,217
Archives of General Psychiatry,266,218
Journal of Sexual Medicine,267,219
Interactive Cardiovascular & Thoracic Surgery,268,220
"The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",269,221
Curr. Probl. Cardiol.,270,222
Vox Sanguinis,271,223
The British Journal of Psychiatry,272,224
American Journal of Community Psychology,273,225
Ultrasound Obstet. Gynecol.,274,226
,275,3
,276,3
Annual Abstract Supplement,277,227
Journal of psychiatric research,278,228
Proceedings of the 23rd ACM international conference on Multimedia,279,229
Neurology,280,230
International Journal of Oral and Maxillofacial Surgery,281,231
Journal of the American Veterinary Medical Association,282,232
,283,3
,284,3
,285,3
Journal of medical imaging and radiation oncology,286,233
European Respiratory Journal,287,234
PLoS One,288,25
Kardiologia Polska,289,235
European journal of applied physiology and occupational physiology,290,236
Nutrients,291,237
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,292,238
Chin. Med,293,239
Current Immunology Reviews,294,240
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,295,241
CNS Drugs,296,242
Scandinavian journal of infectious diseases. Supplementum,297,243
,298,3
Applied nursing research : ANR,299,244
Aktuelle Traumatologie,300,245
JOURNAL OF CHEMICAL PHYSICS,301,246
J Orthop Sci,302,247
,303,3
Rev Med Chir Soc Med Nat Iasi,304,248
J Okla State Med Assoc,305,249
,306,3
Social Science and Medicine,307,250
Gut,308,121
Chest,309,216
,310,3
,311,3
European journal of applied physiology,312,251
,313,3
,314,3
Radiology,315,252
Journal of Neurocytology,316,253
Canadian Journal of Anaesthesia,317,254
The British journal of social psychology / the British Psychological Society,318,255
Cardiology in the young,319,207
Urban Studies (Routledge),320,256
Dento maxillo facial radiology,321,257
Actas espa̱olas de psiquiatr�_a,322,258
International journal of colorectal disease,323,259
,324,3
,325,3
The neurologist,326,260
,327,3
Expert opinion on emerging drugs,328,261
,329,3
American Indian and Alaska Native Mental Health Research: The Journal of the National Center,330,262
Drugs & aging,331,263
,332,3
,333,3
Endodontics & dental traumatology,334,264
Cardiol Young,335,265
AACN Clinical Issues: Advanced Practice in Acute & Critical Care,336,266
Leukemia and Lymphoma,337,267
The hematology journal : the official journal of the European Haematology Association / EHA,338,268
,339,3
International journal of geriatric psychiatry,340,269
Acta Neurochir Suppl (Wien),341,270
,342,3
Acta Clin. Croat.,343,271
,344,3
Aging & Mental Health,345,272
Supplement: Active Living Research - Niche to Norm,346,273
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,347,177
Allergy and asthma proceedings : the official journal of regional and state allergy societies,348,274
,349,3
International Journal of Social Psychiatry,350,275
East African Medical Journal,351,276
,352,3
Bmc Cancer,353,277
Journal Of Anesthesia,354,278
Eating Behaviors,355,279
Parkinsonism & related disorders,356,280
Turk. J. Pediatr.,357,281
,358,3
Psychother. Psychosom.,359,282
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus / I.S.D.E,360,283
Ann Fr Anesth Reanim,361,284
Journal of Sports Medicine & Physical Fitness,362,285
Experimental cell research,363,286
Journal of Substance Abuse Treatment,364,287
BioMed research international,365,288
Multicultural Education & Technology Journal,366,289
JPN. J. ANESTHESIOL.,367,290
Injury,368,291
International Journal of Qualitative Studies in Education (QSE),369,292
BR J ANAESTH,370,293
Annals of internal medicine,371,294
Energy Policy,372,295
PLoS ONE [Electronic Resource],373,296
Journal of Biomolecular Techniques,374,297
Hepato-gastroenterology,375,298
Current Opinion in Ophthalmology,376,299
PLoS One,377,25
J Toxicol Environ Health,378,300
,379,3
Anesthesia And Analgesia,380,301
Bulletin of mathematical biology,381,302
Kekkaku : [Tuberculosis],382,303
,383,3
British journal of sports medicine,384,304
The Science of the total environment,385,305
,386,3
,387,3
,388,3
Ann Pharmacother,389,306
PharmacoEconomics,390,307
American Journal of Epidemiology,391,308
Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica,392,309
O papel dos profissionais de saude em casos de violencia domestica: um relato de experiencia.,393,310
Pediatrics,394,311
Postgraduate medical journal,395,312
Minerva cardioangiologica,396,313
Anesthesia And Analgesia,397,301
Int. J.  Pharmcy Pharm. Sci.,398,314
Neurobiology of aging,399,315
World J Pediatr Congenit Heart Surg,400,316
American journal of veterinary research,401,317
Supply Chain Management,402,318
Critical Care Nursing Quarterly,403,319
Clinical psychology review,404,320
ANN. ONCOL.,405,321
Polskie Archiwum Medycyny Wewnetrznej,406,322
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",407,323
,408,3
Wiener Medizinische Wochenschrift,409,324
,410,3
PRIMUS,411,325
Developmental Psychology,412,326
,413,3
,414,3
Cancer,415,327
Annals of oncology : official journal of the European Society for Medical Oncology / ESMO,416,328
PALLIATIVE MED.,417,329
Clinical cardiology,418,330
,419,3
Nature Clinical Practice Neurology,420,331
Journal of dental research,421,332
Addictive Behaviors,422,333
Am J Perinatol,423,334
,424,3
,425,3
,426,3
Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,427,335
The Lancet,428,336
,429,3
Nederlands Tijdschrift Voor Fysiotherapie,430,337
,431,3
European Heart Journal,432,338
Swiss Medical Weekly,433,339
Am J Clin Nutr,434,340
,435,3
BMC Oral Health,436,341
JOURNAL OF CELL SCIENCE,437,342
Respirology,438,343
BR. J. CANCER,439,344
J. Am. Geriatr. Soc.,440,345
"Revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale",441,346
"Journal of cardiovascular medicine (Hagerstown, Md.)",442,347
Italian Journal of Psychopathology,443,348
Consumer Reports on Health,444,349
"Journal of clinical hypertension (Greenwich, Conn.)",445,350
Frontiers in human neuroscience,446,351
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,447,352
Journal of the American Medical Informatics Association : JAMIA,448,353
Pharmacoeconomics,449,115
Journal of learning disabilities,450,354
Obesity reviews : an official journal of the International Association for the Study of Obesity,451,355
Diabetes technology & therapeutics,452,356
Ophthalmology and eye diseases,453,357
Indian Journal of Physiology and Pharmacology,454,358
Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,455,359
,456,3
International urogynecology journal,457,360
Pain Medicine,458,361
Cancer Research,459,362
Revista latino-americana de enfermagem,460,363
Thrombosis And Haemostasis,461,364
Public health nutrition,462,365
Cancer Treatment Reviews,463,366
J Pain Res,464,367
J Clin Microbiol,465,368
Laboratory Investigation,466,369
Child & Family Social Work,467,370
Surg. Endosc. Interv. Tech.,468,371
,469,3
Health Educ Behav,470,372
Journal of the American Academy of Child and Adolescent Psychiatry,471,373
"Science (New York, N.Y.)",472,374
Case Reports in Medicine,473,375
Korean Journal of Anesthesiology,474,376
Physics in medicine and biology,475,377
Surgery,476,378
IEEE transactions on nuclear science,477,379
The International journal of developmental biology,478,380
Scandinavian cardiovascular journal : SCJ,479,381
Rheumatology (Oxford),480,382
Pain,481,383
Emergency Radiology,482,384
Australian & New Zealand Journal of Mental Health Nursing,483,385
Tob Control,484,386
Physiological research / Academia Scientiarum Bohemoslovaca,485,387
Physiotherapy,486,196
,487,3
,488,3
Pediatrics,489,311
,490,3
European heart journal,491,388
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",492,50
,493,3
Horumon to rinsho. Clinical endocrinology,494,389
JAMA,495,390
"Proceedings of the Asme Pressure Vessels and Piping Conference 2010, Vol 7",496,391
LaboratoriumsMedizin,497,392
,498,3
"Clinical medicine (London, England)",499,393
Forsinket implementering af internationale retningslinjer for computertomografi med iodholdigt kontraststof .,500,394
,501,3
Journal of Women & Aging,502,395
Dissertation Abstracts International: Section B: The Sciences and Engineering,503,396
TAKAYASUSCHE ARTERIITIS MIT MULTIPLEN INTRAKRANIELLEN ANEURYSMEN,504,397
Scandinavian journal of rheumatology,505,398
Administration and policy in mental health,506,399
Czasopismo stomatologiczne,507,400
International Journal of Medical Informatics,508,401
International Urology and Nephrology,509,402
Pediatric physical therapy,510,403
Journal of Korean Neurosurgical Society,511,404
Bmj-British Medical Journal,512,405
,513,3
J. Pediatric Infect. Dis. Soc.,514,406
JAMA otolaryngology-- head & neck surgery,515,407
Molecular Biology Reports,516,408
Journal of aerosol medicine and pulmonary drug delivery,517,409
Journal of epidemiology and community health.,518,410
CHUNG-HUA I HSUEH TSA CHIH [CHINESE MEDICAL JOURNAL],519,411
Canadian Forces Dental Services quarterly,520,412
British Journal of Midwifery,521,413
Cochrane Database Syst. Rev.,522,42
Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,523,414
The Journal of biological chemistry,524,415
Chinese medical journal,525,416
Occupational Medicine-Oxford,526,417
,527,3
Environmental toxicology and pharmacology,528,418
J. Cardiovasc. Med.,529,419
"Dissertation Abstracts International, A: The Humanities and Social Sciences",530,420
"Science (New York, N.Y.)",531,374
Neuroscience,532,421
Experimental neurology,533,422
Annals of Emergency Medicine American College of Emergency Physician's Research Forum,534,423
Paediatrics & child health,535,424
,536,3
Family & Community Health,537,425
,538,3
,539,3
AJR. American Journal Of Roentgenology,540,426
,541,3
Cancer Biotherapy,542,427
BMJ,543,428
,544,3
Rheumatology (Oxford),545,382
,546,3
,547,3
J. Urol.,548,429
Disability and rehabilitation,549,430
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,550,30
Games and Economic Behavior,551,431
,552,3
J Bone Joint Surg Br,553,432
Journal of cancer research and clinical oncology,554,433
International journal of obesity (2005),555,434
,556,3
American Acupuncturist,557,435
,558,3
Alcohol Clin Exp Res,559,436
Klinik Psikofarmakoloji Bulteni,560,437
Journal of Nursing UFPE / Revista de Enfermagem UFPE,561,438
,562,3
The British journal of psychiatry : the journal of mental science,563,439
,564,3
Hernia : the journal of hernias and abdominal wall surgery,565,440
Lancet,566,441
Small Ruminant Research,567,442
,568,3
International psychogeriatrics / IPA,569,443
Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,570,444
"JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing",571,445
Harefuah,572,446
,573,3
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,574,241
Croatian Medical Journal,575,447
International journal of stroke : official journal of the International Stroke Society,576,448
European journal of heart failure,577,449
Yonsei Medical Journal,578,450
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,579,451
Canadian family physician Medecin de famille canadien,580,452
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,581,453
,582,3
Journal of Sexual Medicine,583,219
,584,3
Archives Of Physical Medicine And Rehabilitation,585,454
European Journal Of Anaesthesiology,586,455
Clinical Biomechanics,587,456
Pharmacogenomics,588,457
Rinsho Byori,589,458
J Nutr Gerontol Geriatr,590,459
Journal of Epidemiology & Community Health,591,460
,592,3
,593,3
Online Submission,594,461
J Orthop Sci,595,247
Geriatr Gerontol Int,596,462
,597,3
,598,3
Respiratory medicine,599,463
Veterinary clinical pathology / American Society for Veterinary Clinical Pathology,600,464
Cardiovascular therapeutics,601,465
Bulletin of the World Health Organization,602,466
Plos Neglected Tropical Diseases,603,467
Neuropharmacology,604,468
,605,3
Physical therapy,606,469
Physica D: Nonlinear Phenomena,607,470
Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica,608,471
Int. Angiol.,609,472
Blood Reviews,610,473
J Altern Complement Med,611,474
Jama,612,475
Complementary Therapies in Medicine,613,476
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,614,477
Nature,615,478
The European respiratory journal,616,479
,617,3
"Public health nursing (Boston, Mass.)",618,480
Value in Health,619,481
Feminist Legal Studies,620,482
Impfstoffe: Akzeptanz und Sicherheit.,621,483
,622,3
Journal of Psychiatric Research,623,484
International Journal of Obesity,624,485
Sleep,625,486
JPN. J. CANCER RES.,626,487
Journal of dental research,627,332
Therapeutic advances in respiratory disease,628,488
Cancer Epidemiology Biomarkers and Prevention,629,489
,630,3
,631,3
Onkologie,632,490
Rheumatology (United Kingdom),633,491
,634,3
Neurol Res,635,492
Helicobacter,636,493
Haematologica,637,147
The Australian journal of rural health,638,494
,639,3
Journal of medicinal chemistry,640,495
Journal of Women's Health (15409996),641,496
"Public health nursing (Boston, Mass.)",642,480
Circulation,643,497
Acta dermato-venereologica,644,498
,645,3
Protein science : a publication of the Protein Society,646,499
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",647,500
"JAAPA: Journal of the American Academy of Physician Assistants (Haymarket Media, Inc.)",648,501
American journal of infection control,649,502
Journal of Aging & Physical Activity,650,503
"Hepatology (Baltimore, Md.)",651,504
Microb Drug Resist,652,505
Stroke; a journal of cerebral circulation,653,506
J Grad Med Educ,654,507
Health & Social Work,655,508
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",656,168
Oral oncology,657,509
Stroke; a journal of cerebral circulation,658,506
Current drug targets,659,510
Epilepsy research,660,511
,661,3
The Journal of heart valve disease,662,512
PLoS One,663,25
Academic radiology,664,513
,665,3
Chinese Journal of Evidence-Based Medicine,666,514
American Journal of Education,667,515
Cases J,668,516
,669,3
,670,3
,671,3
Acta Derm.-Venereol.,672,517
Environmental monitoring and assessment,673,518
Acta Neurol Scand,674,519
,675,3
,676,3
,677,3
,678,3
Journal of Experimental Psychology: General,679,520
Science and Children,680,521
Basic and Clinical Pharmacology and Toxicology,681,522
Health Education Research,682,523
Infection and immunity,683,524
,684,3
Photomedicine and laser surgery,685,525
Eastern Mediterranean Health Journal,686,526
J Bone Joint Surg Am,687,527
"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",688,528
,689,3
Clinical radiology,690,529
Vaccine,691,530
FASEB Journal. Conference: Experimental Biology,692,531
Blood pressure monitoring,693,532
Psicothema,694,533
Am J Public Health,695,534
J Anal Toxicol,696,535
Energy Policy,697,295
,698,3
Business Wire,699,536
,700,3
"Respirology (Carlton, Vic.)",701,537
Cochrane Database Syst Rev,702,15
,703,3
BioMed research international,704,288
J Appl Physiol,705,538
Annals of medicine,706,539
European journal of clinical nutrition,707,540
Journal of personality and social psychology,708,541
J Hand Surg Am,709,542
Physiotherapy Theory and Practice,710,543
,711,3
BMC neurology,712,544
,713,3
Nicotine & Tobacco Research,714,545
Pharmacy practice,715,546
NeuroRehabilitation,716,547
Microsurgery,717,548
International Journal of Neuroscience,718,549
Bjog,719,550
Behaviour Research and Therapy,720,551
J Pediatr (Rio J),721,552
Journal of Cardiovascular Electrophysiology,722,553
Molecular plant pathology,723,554
,724,3
,725,3
,726,3
,727,3
