City,HospitalType,original_index,unique_index,count
birmingham,acute care hospitals,0,0,73
birmingham,acute care hospitals,1,0,73
birmingham,acute care hospitals,2,0,73
birminghxm,acute care hospitals,3,1,1
birmingham,acute care hospitals,4,0,73
birmingham,acute care hospitals,5,0,73
birmingham,acute care hospitals,6,0,73
birmingxam,acute care hospitals,7,2,1
sheffield,acute care hospitals,8,3,22
sheffield,acute care hospitals,9,3,22
sheffxeld,acute care hospitals,10,4,1
sheffield,acute care hospitals,11,3,22
sheffield,acute care hospitals,12,3,22
sheffield,acute care hospitals,13,3,22
sheffield,acute care hospitals,14,3,22
sheffield,acute care hospitals,15,3,22
sheffield,acuxe care hospixals,16,5,1
sheffield,acute care hospitals,17,3,22
sheffield,acute care hospitals,18,3,22
dothan,acute care hospitals,19,6,41
dothan,acute care hospitals,20,6,41
dothan,acute care hospitals,21,6,41
dothan,acute care hospitals,22,6,41
dothan,acute care hospitals,23,6,41
dothan,acute care hospitals,24,6,41
dothan,acute care hospitals,25,6,41
dothan,acute care hospitals,26,6,41
dothan,acute care hospitals,27,6,41
dothan,acute care hospitals,28,6,41
dothan,acute care hospitals,29,6,41
dothan,acute care hospitals,30,6,41
dothan,acute care hospitals,31,6,41
dothan,acute care hospitals,32,6,41
dothan,acute care hospitals,33,6,41
dothan,acute care hospitals,34,6,41
dothan,acute care hospitals,35,6,41
dothan,acute care hospitals,36,6,41
dothan,acute care hospitals,37,6,41
dothan,acute care hospitals,38,6,41
dothan,acxte care hospitals,39,7,1
dothan,acute care hospitals,40,6,41
dothan,acute care hospitals,41,6,41
dothan,acute care hospitals,42,6,41
dothan,acute care hospitals,43,6,41
boaz,acute care hospitals,44,8,24
boaz,acute care hospitals,45,8,24
boaz,acute care hospitals,46,8,24
boaz,acute care hospitals,47,8,24
boaz,acute care hospitals,48,8,24
boaz,acute care hospitals,49,8,24
boaz,acute care hospitals,50,8,24
boaz,acute care hospitals,51,8,24
boaz,acute care hospitals,52,8,24
boaz,acute care hospitals,53,8,24
boaz,acute care hospitals,54,8,24
boaz,acute care hospitals,55,8,24
boxz,acute care hospitals,56,9,1
boaz,acute care hospitals,57,8,24
boaz,acute care hospitals,58,8,24
boaz,acute care hospitals,59,8,24
boaz,acute care hospitals,60,8,24
boaz,acute care hospitals,61,8,24
boaz,acute care hospitals,62,8,24
boaz,acute care hospitals,63,8,24
boaz,acute care hospitals,64,8,24
boaz,acute care hospitals,65,8,24
boaz,acute care hospitals,66,8,24
boaz,acute care hospitals,67,8,24
boaz,acute care hospitals,68,8,24
florence,acute care hospitals,69,10,22
florence,acute care hospitals,70,10,22
florence,acute care hospitals,71,10,22
florence,acute care hospitals,72,10,22
florence,acute care hospitals,73,10,22
florence,acute care hospitals,74,10,22
florence,acute care hospitals,75,10,22
florence,acute care hospitals,76,10,22
florence,acute care hospitals,77,10,22
florence,acute care hospitals,78,10,22
fxorence,acute care hospitals,79,11,1
florence,acute care hospitals,80,10,22
florence,acute care hospitals,81,10,22
florence,acute care hospitals,82,10,22
florence,acute care hospitals,83,10,22
florence,acute care hospitals,84,10,22
florence,acute care hospitals,85,10,22
florence,acute care hospitals,86,10,22
florence,acute care hospitals,87,10,22
florxncx,acute care hospitals,88,12,1
florence,acute care hospitals,89,10,22
florence,acute care hospitals,90,10,22
florence,acute care hospitals,91,10,22
florence,acute care hospitals,92,10,22
flxrence,acute care hospitals,93,13,1
opp,acute care hospitals,94,14,24
opp,acute care hospitals,95,14,24
opp,acute care hospitals,96,14,24
opp,acute care hospitals,97,14,24
opp,acute care hosxitals,98,15,1
opp,acute care hospitals,99,14,24
opp,acute care hospitals,100,14,24
opp,acute care hospitals,101,14,24
opp,acute care hospitals,102,14,24
opp,acute care hospitals,103,14,24
opp,acute care hospitals,104,14,24
opp,acute care hospitals,105,14,24
opp,acute care hospitals,106,14,24
opp,acute care hospitals,107,14,24
opp,acute care hospitals,108,14,24
opp,acute care hospitals,109,14,24
opp,acute care hospitals,110,14,24
opp,acute care hospitals,111,14,24
opp,acute care hospitals,112,14,24
opp,acute care hospitals,113,14,24
opp,acute care hospitals,114,14,24
opp,acute care hospitals,115,14,24
opp,acute care hospitals,116,14,24
opp,acute care hospitals,117,14,24
opp,acute care hospitals,118,14,24
luverne,acute care hospitals,119,16,25
luverne,acute care hospitals,120,16,25
luverne,acute care hospitals,121,16,25
luverne,acute care hospitals,122,16,25
luverne,acute care hospitals,123,16,25
luverne,acute care hospitals,124,16,25
luverne,acute care hospitals,125,16,25
luverne,acute care hospitals,126,16,25
luverne,acute care hospitals,127,16,25
luverne,acute care hospitals,128,16,25
luverne,acute care hospitals,129,16,25
luverne,acute care hospitals,130,16,25
luverne,acute care hospitals,131,16,25
luverne,acute care hospitals,132,16,25
luverne,acute care hospitals,133,16,25
luverne,acute care hospitals,134,16,25
luverne,acute care hospitals,135,16,25
luverne,acute care hospitals,136,16,25
luverne,acute care hospitals,137,16,25
luverne,acute care hospitals,138,16,25
luverne,acute care hospitals,139,16,25
luverne,acute care hospitals,140,16,25
luverne,acute care hospitals,141,16,25
luverne,acute care hospitals,142,16,25
luverne,acute care hospitals,143,16,25
hartselle,acute care hospitals,144,17,25
hartselle,acute care hospitals,145,17,25
hartselle,acute care hospitals,146,17,25
hartselle,acute care hospitals,147,17,25
hartselle,acute care hospitals,148,17,25
hartselle,acute care hospitals,149,17,25
hartselle,acute care hospitals,150,17,25
hartselle,acute care hospitals,151,17,25
hartselle,acute care hospitals,152,17,25
hartselle,acute care hospitals,153,17,25
hartselle,acute care hospitals,154,17,25
hartselle,acute care hospitals,155,17,25
hartselle,acute care hospitals,156,17,25
