Sample,original_index,unique_index,count
empty,0,0,60
empty,1,0,60
empty,2,0,60
empty,3,0,60
empty,4,0,60
empty,5,0,60
empty,6,0,60
empty,7,0,60
33 patients,8,1,4
13 patients,9,2,5
4 patients,10,3,21
4 patients,11,3,21
14 patients,12,4,11
0 patients,13,5,103
0 patients,14,5,103
114 patients,15,6,3
149 patients,16,7,3
3x patients,17,8,1
41 patients,18,9,6
270 patients,19,10,2
516 patients,20,11,1
71 patients,21,12,4
244 patients,22,13,1
441 patients,23,14,1
0 patients,24,5,103
40 patients,25,15,3
455 patients,26,16,1
514 patients,27,17,1
165 patients,28,18,3
110 patients,29,19,4
191 patients,30,20,1
125 patients,31,21,7
107 patients,32,22,3
196 patients,33,23,4
147 patients,34,24,4
160 patients,35,25,3
79 patients,36,26,6
399 patients,37,27,2
405 patients,38,28,2
385 patients,39,29,1
136 patients,40,30,4
537 patients,41,31,1
185 patients,42,32,2
184 patients,43,33,2
20 patients,44,34,2
5 patients,45,35,13
2 patients,46,36,21
0 patients,47,5,103
5 patients,48,35,13
0 patients,49,5,103
0 patients,50,5,103
110 patients,51,19,4
160 patients,52,25,3
69 patients,53,37,6
34 patients,54,38,6
172 patients,55,39,1
120 patients,56,40,1
98 patients,57,41,5
211 patients,58,42,2
175 patients,59,43,1
118 patients,60,44,2
14 patients,61,4,11
168 patients,62,45,1
167 patients,63,46,1
158 patients,64,47,3
0 patients,65,5,103
237 patients,66,48,1
76 patients,67,49,6
76 patients,68,49,6
159 patients,69,50,1
247 patients,70,51,2
43 patients,71,52,3
103 patients,72,53,4
227 patients,73,54,1
0 patients,74,5,103
61 patients,75,55,2
217 patients,76,56,1
259 patients,77,57,3
84 patients,78,58,3
53 patients,79,59,2
174 patients,80,60,1
137 patients,81,61,2
65 patients,82,62,4
200 patients,83,63,2
138 patients,84,64,3
85 patients,85,65,8
107 patients,86,22,3
457 patients,87,66,1
462 patients,88,67,1
439 patients,89,68,1
130 patients,90,69,4
619 paxienxs,91,70,1
242 patients,92,71,4
242 patients,93,71,4
5 patients,94,35,13
2 patients,95,36,21
0 patients,96,5,103
0 patients,97,5,103
2 patients,98,36,21
0 patients,99,5,103
0 patients,100,5,103
59 patients,101,72,6
76 patients,102,49,6
14 patients,103,4,11
8 patients,104,73,8
85 patients,105,65,8
64 patients,106,74,3
28 patients,107,75,4
87 patients,108,76,3
57 patients,109,77,3
63 patients,110,78,3
11 patients,111,79,4
101 patients,112,80,7
101 patients,113,80,7
100 patients,114,81,1
0 patixnts,115,82,1
123 patients,116,83,3
77 patients,117,84,5
76 patients,118,49,6
1 patients,119,85,24
1 patients,120,85,24
0 patients,121,5,103
0 patients,122,5,103
1 patients,123,85,24
0 patients,124,5,103
0 patients,125,5,103
26 patients,126,86,5
39 patients,127,87,6
8 patients,128,73,8
5 patients,129,35,13
16 patients,130,88,8
15 patients,131,89,11
9 patients,132,90,8
21 pxtients,133,91,1
21 patients,134,92,2
15 patients,135,89,11
1 patients,136,85,24
2 patients,137,36,21
2 patients,138,36,21
2 patients,139,36,21
0 patients,140,5,103
4 patients,141,3,21
4 patients,142,3,21
4 patients,143,3,21
6 patients,144,93,10
1 patients,145,85,24
1 patients,146,85,24
2 patients,147,36,21
3 patients,148,94,19
0 patients,149,5,103
0 patients,150,5,103
35 patients,151,95,3
42 patients,152,96,3
10 patients,153,97,13
12 patients,154,98,6
44 patients,155,99,4
30 patients,156,100,7
25 patients,157,101,6
51 patients,158,102,5
45 patients,159,103,3
30 patients,160,100,7
3 patients,161,94,19
6 patients,162,93,10
7 patients,163,104,7
5 patients,164,35,13
0 patients,165,5,103
xx patients,166,105,1
9 patients,167,90,8
9 patients,168,90,8
8 patients,169,73,8
6xpatients,170,106,1
2 patients,171,36,21
2 patients,172,36,21
6 patients,173,93,10
0 patients,174,5,103
0 patients,175,5,103
55 patients,176,107,4
80 patients,177,108,3
27 patients,178,109,3
10 patients,179,97,13
128 patients,180,110,2
115 patients,181,111,2
65 patients,182,62,4
158 patients,183,47,3
133 patients,184,112,1
101 patients,185,80,7
14 patients,186,4,11
66 patients,187,113,4
64 patients,188,74,3
63 patients,189,78,3
0 patients,190,5,103
155 patients,191,114,4
56 patients,192,115,5
56 patients,193,115,5
240 patients,194,116,1
295 patients,195,117,1
70 patients,196,118,4
131 patients,197,119,4
288 patients,198,120,1
0 patients,199,5,103
48 patients,200,121,5
316 patients,201,122,2
372 patients,202,123,1
130 patients,203,69,4
69 patients,204,37,6
125 patients,205,21,7
131 patients,206,119,4
69 patients,207,37,6
135 patients,208,124,2
112 patients,209,125,2
89 patients,210,126,4
125 patients,211,21,7
461 patients,212,127,1
473 patients,213,128,3
442 patients,214,129,1
127 patients,215,130,1
601 patients,216,131,2
229 patients,217,132,2
224 patients,218,133,2
46 patients,219,134,3
39 patients,220,87,6
11 patients,221,79,4
14 patients,222,4,11
41 patients,223,9,6
1 patiexts,224,135,1
5 patients,225,35,13
76 patients,226,49,6
94 patients,227,136,5
36 patients,228,137,4
15 patients,229,89,11
69 patients,230,37,6
91 patients,231,138,3
37 patients,232,139,5
88 patients,233,140,1
82 patientx,234,141,1
56 patients,235,115,5
16 patients,236,88,8
139 patients,237,142,4
147 patients,238,24,4
136 patients,239,30,4
0 patients,240,5,103
179 patients,241,143,4
90 patients,242,144,4
90 patients,243,144,4
0 patients,244,5,103
0 patients,245,5,103
0 patients,246,5,103
0 patients,247,5,103
0 patients,248,5,103
0 patients,249,5,103
0 patients,250,5,103
79 patients,251,26,6
91 patients,252,138,3
25 patients,253,101,6
17 patients,254,145,1
25 patients,255,101,6
24 patients,256,146,9
6 patients,257,93,10
24 patients,258,146,9
26 patients,259,86,5
24 patients,260,146,9
empty,261,0,60
14 patients,262,4,11
14 patients,263,4,11
14 patients,264,4,11
0 patients,265,5,103
15 patients,266,89,11
10 patients,267,97,13
10 patients,268,97,13
179 patients,269,143,4
208 patients,270,147,2
30 patients,271,100,7
98 patients,272,41,5
169 patients,273,148,2
0 patients,274,5,103
36 patients,275,137,4
210 patients,276,149,1
246 patients,277,150,1
71 patients,278,12,4
48 patients,279,121,5
235 patients,280,151,1
110 patients,281,19,4
131 patients,282,119,4
239 patients,283,152,3
116 patients,284,153,5
199 patients,285,154,1
96 patients,286,155,3
368 patients,287,156,1
370 patients,288,157,1
331 patients,289,158,2
116 patients,290,153,5
588 patients,291,159,1
226 patients,292,160,2
225 patients,293,161,1
empty,294,0,60
empty,295,0,60
empty,296,0,60
empty,297,0,60
empty,298,0,60
empty,299,0,60
empty,300,0,60
empty,301,0,60
empty,302,0,60
empty,303,0,60
empty,304,0,60
empty,305,0,60
empty,306,0,60
empty,307,0,60
empty,308,0,60
empty,309,0,60
empty,310,0,60
9 patients,311,90,8
9 patients,312,90,8
81 patients,313,162,1
73 patients,314,163,1
14 patients,315,4,11
29 xatients,316,164,1
67 patients,317,165,5
1 patients,318,85,24
15 patients,319,89,11
142 patients,320,166,2
157 patients,321,167,1
49 patients,322,168,2
41 patients,323,9,6
110 patients,324,19,4
102 patients,325,169,3
83 patients,326,170,1
145 patients,327,171,2
99 patients,328,172,2
87 patients,329,76,3
23 patients,330,173,4
342 patients,331,174,1
94 patients,332,136,5
62 patients,333,175,2
166 patients,334,176,1
152 patients,335,177,1
77 patients,336,84,5
146 patients,337,178,5
112 patients,338,125,2
128 patients,339,110,2
147 patients,340,24,4
950 patients,341,179,1
957 patients,342,180,1
882 patients,343,181,1
165 patients,344,18,3
1295 patients,345,182,1
497 patients,346,183,2
497 patients,347,183,2
239 patients,348,152,3
260 patients,349,184,1
41 patients,350,9,6
63 patients,351,78,3
242 patients,352,71,4
205 patients,353,185,1
1x patients,354,186,1
7 patients,355,104,7
2 patients,356,36,21
1 patients,357,85,24
8 patients,358,73,8
1 patients,359,85,24
0 patients,360,5,103
48 patients,361,121,5
59 patients,362,72,6
13 patients,363,2,5
14 patients,364,4,11
66 patients,365,113,4
59 patients,366,72,6
40 patients,367,15,3
85 patients,368,65,8
62 patients,369,175,2
45 patients,370,103,3
19 patients,371,187,8
102 patients,372,169,3
103 patients,373,53,4
98 patients,374,41,5
0 patients,375,5,103
146 patients,376,178,5
58 patients,377,188,3
58 patients,378,188,3
86 patients,379,189,2
91 patients,380,138,3
22 patients,381,190,3
58 patients,382,188,3
96 patients,383,155,3
0 patients,384,5,103
16 patients,385,88,8
146 patients,386,178,5
150 patients,387,191,2
84 patients,388,58,3
45 patients,389,103,3
7 patients,390,104,7
35 patients,391,95,3
4 patients,392,3,21
3 patients,393,94,19
0 patients,394,5,103
5 patients,395,35,13
0 patients,396,5,103
