City,CountyName,original_index,unique_index,count
birmingham,jefferson,0,0,72
birmingham,jefferson,1,0,72
birmingham,jefferson,2,0,72
birminghxm,jefferson,3,1,1
birmingham,jefferson,4,0,72
birmingham,jefferson,5,0,72
birmingham,jefferson,6,0,72
birmingxam,jefferson,7,2,1
sheffield,jefferson,8,3,21
sheffield,jefferson,9,3,21
sheffxeld,jefferson,10,4,1
sheffield,jefferson,11,3,21
sheffield,jefferson,12,3,21
sheffield,jefferson,13,3,21
sheffield,jefferson,14,3,21
sheffield,jefferson,15,3,21
sheffield,jefferson,16,3,21
sheffield,jefferson,17,3,21
sheffield,jefferson,18,3,21
dothan,houston,19,5,41
dothan,houston,20,5,41
dothan,houston,21,5,41
dothan,houston,22,5,41
dothan,houston,23,5,41
dothan,houston,24,5,41
dothan,houston,25,5,41
dothan,houston,26,5,41
dothan,houston,27,5,41
dothan,houston,28,5,41
dothan,houston,29,5,41
dothan,houston,30,5,41
dothan,houston,31,5,41
dothan,houston,32,5,41
dothan,houston,33,5,41
dothan,houston,34,5,41
dothan,houston,35,5,41
dothan,houston,36,5,41
dothan,houston,37,5,41
dothan,houston,38,5,41
dothan,houston,39,5,41
dothan,houston,40,5,41
dothan,houston,41,5,41
dothan,houston,42,5,41
dothan,houston,43,5,41
boaz,marshall,44,6,23
boaz,marshall,45,6,23
boaz,marshall,46,6,23
boaz,marshall,47,6,23
boaz,marshall,48,6,23
boaz,marshall,49,6,23
boaz,marshall,50,6,23
boaz,marshall,51,6,23
boaz,marshall,52,6,23
boaz,marshall,53,6,23
boaz,marshall,54,6,23
boaz,marshall,55,6,23
boxz,marshall,56,7,1
boaz,marshall,57,6,23
boaz,marshall,58,6,23
boaz,marshall,59,6,23
boaz,marshall,60,6,23
boaz,marshall,61,6,23
boaz,marshall,62,6,23
boaz,marshall,63,6,23
boaz,marshall,64,6,23
boaz,marshall,65,6,23
boaz,marshall,66,6,23
boaz,mxrshxll,67,8,1
boaz,marshall,68,6,23
florence,lauderdale,69,9,20
florence,lauderdale,70,9,20
florence,lauderdale,71,9,20
florence,laudxrdalx,72,10,1
florence,lauderdale,73,9,20
florence,lauderdale,74,9,20
florence,lauderdale,75,9,20
florence,lauderdale,76,9,20
florence,laudexdale,77,11,1
florence,lauderdale,78,9,20
fxorence,lauderdale,79,12,1
florence,lauderdale,80,9,20
florence,lauderdale,81,9,20
florence,lauderdale,82,9,20
florence,lauderdale,83,9,20
florence,lauderdale,84,9,20
florence,lauderdale,85,9,20
florence,lauderdale,86,9,20
florence,lauderdale,87,9,20
florxncx,lauderdale,88,13,1
florence,lauderdale,89,9,20
florence,lauderdale,90,9,20
florence,lauderdale,91,9,20
florence,lauderdale,92,9,20
flxrence,lauderdale,93,14,1
opp,covington,94,15,25
opp,covington,95,15,25
opp,covington,96,15,25
opp,covington,97,15,25
opp,covington,98,15,25
opp,covington,99,15,25
opp,covington,100,15,25
opp,covington,101,15,25
opp,covington,102,15,25
