ZipCode,EmergencyService,original_index,unique_index,count
35233,yes,0,0,47
35233,yes,1,0,47
35233,yes,2,0,47
35233,yes,3,0,47
35233,yes,4,0,47
35233,yes,5,0,47
35233,yes,6,0,47
35233,yes,7,0,47
35660,yes,8,1,25
35660,yes,9,1,25
35660,yes,10,1,25
35660,yes,11,1,25
35660,yes,12,1,25
35660,yes,13,1,25
35660,yes,14,1,25
35660,yes,15,1,25
35660,yes,16,1,25
35660,yes,17,1,25
35660,yes,18,1,25
36302,yes,19,2,23
36302,yes,20,2,23
36302,yes,21,2,23
36302,yes,22,2,23
36302,yes,23,2,23
36302,yxs,24,3,1
36302,yes,25,2,23
36302,yes,26,2,23
36302,yes,27,2,23
36302,yes,28,2,23
36302,yes,29,2,23
36302,yes,30,2,23
36302,yes,31,2,23
36302,yes,32,2,23
36302,yes,33,2,23
36302,yes,34,2,23
36302,yes,35,2,23
36302,yes,36,2,23
36302,yes,37,2,23
36302,yes,38,2,23
36302,yes,39,2,23
36302,yes,40,2,23
36302,yes,41,2,23
36302,yes,42,2,23
36302,yex,43,4,1
x5957,yes,44,5,1
35957,yes,45,6,22
35957,yes,46,6,22
35957,yes,47,6,22
35957,yes,48,6,22
35957,yes,49,6,22
35957,yes,50,6,22
35957,yxs,51,7,1
35957,yes,52,6,22
35957,yes,53,6,22
35957,yes,54,6,22
35957,yes,55,6,22
35957,yes,56,6,22
35957,yes,57,6,22
35957,yes,58,6,22
35957,yes,59,6,22
35957,yes,60,6,22
35957,yes,61,6,22
35957,yes,62,6,22
3595x,yes,63,8,1
35957,yes,64,6,22
35957,yes,65,6,22
35957,yes,66,6,22
35957,yes,67,6,22
35957,yes,68,6,22
35631,yes,69,9,23
3563x,yes,70,10,2
35631,yes,71,9,23
35631,yes,72,9,23
35631,yes,73,9,23
35631,yes,74,9,23
35631,yes,75,9,23
35631,yes,76,9,23
35631,yes,77,9,23
35631,yes,78,9,23
35631,yes,79,9,23
35631,yes,80,9,23
35631,yes,81,9,23
35631,yes,82,9,23
35631,yes,83,9,23
35631,yes,84,9,23
35631,yes,85,9,23
35631,yes,86,9,23
35631,yes,87,9,23
35631,yes,88,9,23
35631,yes,89,9,23
35631,yes,90,9,23
35631,yes,91,9,23
35631,yes,92,9,23
3563x,yes,93,10,2
36467,no,94,11,25
36467,no,95,11,25
36467,no,96,11,25
36467,no,97,11,25
36467,no,98,11,25
36467,no,99,11,25
36467,no,100,11,25
36467,no,101,11,25
36467,no,102,11,25
36467,no,103,11,25
36467,no,104,11,25
36467,no,105,11,25
36467,no,106,11,25
36467,no,107,11,25
36467,no,108,11,25
36467,no,109,11,25
36467,no,110,11,25
36467,no,111,11,25
36467,no,112,11,25
36467,no,113,11,25
36467,no,114,11,25
36467,no,115,11,25
36467,no,116,11,25
36467,no,117,11,25
36467,no,118,11,25
36049,yes,119,12,23
36049,yes,120,12,23
