HospitalName,City,original_index,unique_index,count
callahan eye foundation hospital,birmingham,0,0,23
callahan eye foundation hospital,birmingham,1,0,23
callahan eye foundation hospital,birmingham,2,0,23
callahan eye foundation hospital,birminghxm,3,1,1
callahan eye foundation hospital,birmingham,4,0,23
callahan eye foundation hospital,birmingham,5,0,23
callahan eye foundation hospital,birmingham,6,0,23
callahan eye foundation hospital,birmingxam,7,2,1
helen keller memorial hospital,sheffield,8,3,24
helen keller memorial hospital,sheffield,9,3,24
helen keller memorial hospital,sheffxeld,10,4,1
helen keller memorial hospital,sheffield,11,3,24
helen keller memorial hospital,sheffield,12,3,24
helen keller memorial hospital,sheffield,13,3,24
helen keller memorial hospital,sheffield,14,3,24
helen keller memorial hospital,sheffield,15,3,24
helen keller memorial hospital,sheffield,16,3,24
helen keller memorial hospital,sheffield,17,3,24
helen keller memorial hospital,sheffield,18,3,24
southeast alabama medical center,dothan,19,5,24
southeast alabama medical center,dothan,20,5,24
southeast alabama medical center,dothan,21,5,24
southeast alabama medical center,dothan,22,5,24
southeast alabama medical center,dothan,23,5,24
southeast alabama medical center,dothan,24,5,24
southeast alabama medical center,dothan,25,5,24
southeast alabama medxcal center,dothan,26,6,1
southeast alabama medical center,dothan,27,5,24
southeast alabama medical center,dothan,28,5,24
southeast alabama medical center,dothan,29,5,24
southeast alabama medical center,dothan,30,5,24
southeast alabama medical center,dothan,31,5,24
southeast alabama medical center,dothan,32,5,24
southeast alabama medical center,dothan,33,5,24
southeast alabama medical center,dothan,34,5,24
southeast alabama medical center,dothan,35,5,24
southeast alabama medical center,dothan,36,5,24
southeast alabama medical center,dothan,37,5,24
southeast alabama medical center,dothan,38,5,24
southeast alabama medical center,dothan,39,5,24
southeast alabama medical center,dothan,40,5,24
southeast alabama medical center,dothan,41,5,24
southeast alabama medical center,dothan,42,5,24
southeast alabama medical center,dothan,43,5,24
marshall medical center south,boaz,44,7,24
marshall medical center south,boaz,45,7,24
marshall medical center south,boaz,46,7,24
marshall medical center south,boaz,47,7,24
marshall medical center south,boaz,48,7,24
marshall medical center south,boaz,49,7,24
marshall medical center south,boaz,50,7,24
marshall medical center south,boaz,51,7,24
marshall medical center south,boaz,52,7,24
marshall medical center south,boaz,53,7,24
marshall medical center south,boaz,54,7,24
marshall medical center south,boaz,55,7,24
marshall medical center south,boxz,56,8,1
marshall medical center south,boaz,57,7,24
marshall medical center south,boaz,58,7,24
marshall medical center south,boaz,59,7,24
marshall medical center south,boaz,60,7,24
marshall medical center south,boaz,61,7,24
marshall medical center south,boaz,62,7,24
marshall medical center south,boaz,63,7,24
marshall medical center south,boaz,64,7,24
marshall medical center south,boaz,65,7,24
marshall medical center south,boaz,66,7,24
marshall medical center south,boaz,67,7,24
marshall medical center south,boaz,68,7,24
eliza coffee memorial hospital,florence,69,9,22
eliza coffee memorial hospital,florence,70,9,22
eliza coffee memorial hospital,florence,71,9,22
eliza coffee memorial hospital,florence,72,9,22
eliza coffee memorial hospital,florence,73,9,22
eliza coffee memorial hospital,florence,74,9,22
eliza coffee memorial hospital,florence,75,9,22
eliza coffee memorial hospital,florence,76,9,22
eliza coffee memorial hospital,florence,77,9,22
eliza coffee memorial hospital,florence,78,9,22
eliza coffee memorial hospital,fxorence,79,10,1
eliza coffee memorial hospital,florence,80,9,22
eliza coffee memorial hospital,florence,81,9,22
eliza coffee memorial hospital,florence,82,9,22
eliza coffee memorial hospital,florence,83,9,22
eliza coffee memorial hospital,florence,84,9,22
eliza coffee memorial hospital,florence,85,9,22
eliza coffee memorial hospital,florence,86,9,22
eliza coffee memorial hospital,florence,87,9,22
eliza coffee memorial hospital,florxncx,88,11,1
eliza coffee memorial hospital,florence,89,9,22
eliza coffee memorial hospital,florence,90,9,22
eliza coffee memorial hospital,florence,91,9,22
eliza coffee memorial hospital,florence,92,9,22
eliza coffee memorial hospital,flxrence,93,12,1
mizell memorial hospital,opp,94,13,25
mizell memorial hospital,opp,95,13,25
mizell memorial hospital,opp,96,13,25
mizell memorial hospital,opp,97,13,25
mizell memorial hospital,opp,98,13,25
mizell memorial hospital,opp,99,13,25
mizell memorial hospital,opp,100,13,25
mizell memorial hospital,opp,101,13,25
mizell memorial hospital,opp,102,13,25
mizell memorial hospital,opp,103,13,25
mizell memorial hospital,opp,104,13,25
mizell memorial hospital,opp,105,13,25
mizell memorial hospital,opp,106,13,25
mizell memorial hospital,opp,107,13,25
mizell memorial hospital,opp,108,13,25
mizell memorial hospital,opp,109,13,25
mizell memorial hospital,opp,110,13,25
mizell memorial hospital,opp,111,13,25
mizell memorial hospital,opp,112,13,25
mizell memorial hospital,opp,113,13,25
mizell memorial hospital,opp,114,13,25
mizell memorial hospital,opp,115,13,25
mizell memorial hospital,opp,116,13,25
mizell memorial hospital,opp,117,13,25
mizell memorial hospital,opp,118,13,25
crenshaw community hospital,luverne,119,14,24
crenshaw community hospital,luverne,120,14,24
crenshaw community hospital,luverne,121,14,24
crenshaw community hospital,luverne,122,14,24
crenshaw community hospital,luverne,123,14,24
crenshaw community hospital,luverne,124,14,24
crenshaw community hospital,luverne,125,14,24
crenshaw community hospital,luverne,126,14,24
crenshaw community hospital,luverne,127,14,24
crenshaw community hospital,luverne,128,14,24
crenshaw community hospital,luverne,129,14,24
crenshaw community hospital,luverne,130,14,24
crenshaw cxmmunity hxspital,luverne,131,15,1
crenshaw community hospital,luverne,132,14,24
crenshaw community hospital,luverne,133,14,24
crenshaw community hospital,luverne,134,14,24
crenshaw community hospital,luverne,135,14,24
crenshaw community hospital,luverne,136,14,24
crenshaw community hospital,luverne,137,14,24
crenshaw community hospital,luverne,138,14,24
crenshaw community hospital,luverne,139,14,24
crenshaw community hospital,luverne,140,14,24
crenshaw community hospital,luverne,141,14,24
crenshaw community hospital,luverne,142,14,24
crenshaw community hospital,luverne,143,14,24
hartselle medical center,hartselle,144,16,25
hartselle medical center,hartselle,145,16,25
hartselle medical center,hartselle,146,16,25
hartselle medical center,hartselle,147,16,25
hartselle medical center,hartselle,148,16,25
hartselle medical center,hartselle,149,16,25
hartselle medical center,hartselle,150,16,25
hartselle medical center,hartselle,151,16,25
hartselle medical center,hartselle,152,16,25
hartselle medical center,hartselle,153,16,25
hartselle medical center,hartselle,154,16,25
hartselle medical center,hartselle,155,16,25
hartselle medical center,hartselle,156,16,25
hartselle medical center,hartselle,157,16,25
hartselle medical center,hartselle,158,16,25
hartselle medical center,hartselle,159,16,25
hartselle medical center,hartselle,160,16,25
hartselle medical center,hartselle,161,16,25
hartselle medical center,hartselle,162,16,25
hartselle medical center,hartselle,163,16,25
hartselle medical center,hartselle,164,16,25
hartselle medical center,hartselle,165,16,25
hartselle medical center,hartselle,166,16,25
hartselle medical center,hartselle,167,16,25
hartselle medical center,hartselle,168,16,25
marshall medical center north,guntersville,169,17,23
marshall medical center north,guntersville,170,17,23
marshall medical cenxer norxh,guntersville,171,18,1
marshall medical center north,guntersville,172,17,23
marshall medical center north,guntersville,173,17,23
marshall medical center north,guntersville,174,17,23
marshall medical center north,guntersville,175,17,23
marshall medical center north,guntersville,176,17,23
marshall medical center north,guntersville,177,17,23
marshall medical center north,guntersville,178,17,23
marshall medical center north,guntersville,179,17,23
marshall medical center north,guntxrsvillx,180,19,1
marshall medical center north,guntersville,181,17,23
marshall medical center north,guntersville,182,17,23
marshall medical center north,guntersville,183,17,23
marshall medical center north,guntersville,184,17,23
marshall medical center north,guntersville,185,17,23
marshall medical center north,guntersville,186,17,23
marshall medical center north,guntersville,187,17,23
marshall medical center north,guntersville,188,17,23
marshall medical center north,guntersville,189,17,23
marshall medical center north,guntersville,190,17,23
marshall medical center north,guntersville,191,17,23
marshall medical center north,guntersville,192,17,23
marshall medical center north,guntersville,193,17,23
st vincents east,birmingham,194,20,23
st vincents east,birmingham,195,20,23
st vincents east,birmingham,196,20,23
st vincents east,birmingham,197,20,23
st vincents east,birmingham,198,20,23
st vincents east,birmingham,199,20,23
st vincents east,birmingham,200,20,23
st vincents east,birmingham,201,20,23
st vincents east,birmingham,202,20,23
st vincents east,birmingham,203,20,23
st vincents east,birmingham,204,20,23
st vincents east,birmingham,205,20,23
st vincents east,birmingham,206,20,23
st vincents east,birmixgham,207,21,1
st vincents east,birmingham,208,20,23
st vincents east,birmingham,209,20,23
st vincents east,birmingham,210,20,23
st vincents east,birmingham,211,20,23
st vincents east,bxrmxngham,212,22,1
st vincents east,birmingham,213,20,23
st vincents east,birmingham,214,20,23
st vincents east,birmingham,215,20,23
st vincents east,birmingham,216,20,23
st vincents east,birmingham,217,20,23
st vincents east,birmingham,218,20,23
dekalb regional medical center,fort payne,219,23,23
dekalb regional medical center,fort payne,220,23,23
dekalb regional medical center,fort payne,221,23,23
dekalb regional medical center,fort payne,222,23,23
dekalb regional medical center,fort payne,223,23,23
dekalb regional medical center,fort payne,224,23,23
dekalb regional medical center,fort payne,225,23,23
dekalb regional medical center,fort payne,226,23,23
dekalb regional medical center,fort payne,227,23,23
dekalb regional medical center,fort payxe,228,24,1
dekalb regional medical center,fort payne,229,23,23
dekalb regional medical center,fort payne,230,23,23
dekalb regional medical center,fort payne,231,23,23
dekalb regional medical center,fort payne,232,23,23
dekalb regional medical center,fort payne,233,23,23
dekalb regional medical center,fort payne,234,23,23
dekalb regional medical center,fort payne,235,23,23
dekalb regional medical center,fort payne,236,23,23
dekalb regional medical center,fort payne,237,23,23
dekalb regional medical center,fort payne,238,23,23
dekalb regional medical center,fort payne,239,23,23
dekalb regional medical center,fort payne,240,23,23
dekalb regional medical center,fort payne,241,23,23
dekalb regional medical center,fort payne,242,23,23
dexalb regional medical center,fort payne,243,25,1
southwest alabama medical center,thomasville,244,26,25
southwest alabama medical center,thomasville,245,26,25
southwest alabama medical center,thomasville,246,26,25
southwest alabama medical center,thomasville,247,26,25
southwest alabama medical center,thomasville,248,26,25
southwest alabama medical center,thomasville,249,26,25
southwest alabama medical center,thomasville,250,26,25
southwest alabama medical center,thomasville,251,26,25
southwest alabama medical center,thomasville,252,26,25
southwest alabama medical center,thomasville,253,26,25
southwest alabama medical center,thomasville,254,26,25
southwest alabama medical center,thomasville,255,26,25
southwest alabama medical center,thomasville,256,26,25
southwest alabama medical center,thomasville,257,26,25
southwest alabama medical center,thomasville,258,26,25
southwest alabama medical center,thomasville,259,26,25
southwest alabama medical center,thomasville,260,26,25
southwest alabama medical center,thomasville,261,26,25
southwest alabama medical center,thomasville,262,26,25
southwest alabama medical center,thomasville,263,26,25
southwest alabama medical center,thomasville,264,26,25
southwest alabama medical center,thomasville,265,26,25
southwest alabama medical center,thomasville,266,26,25
southwest alabama medical center,thomasville,267,26,25
southwest alabama medical center,thomasville,268,26,25
shelby baptist medical center,alabaster,269,27,25
