Address3,CountyName,original_index,unique_index,count
empty,jefferson,0,0,99
empty,jefferson,1,0,99
empty,jefferson,2,0,99
empty,jefferson,3,0,99
empty,jefferson,4,0,99
empty,jefferson,5,0,99
empty,jefferson,6,0,99
empty,jefferson,7,0,99
empty,jefferson,8,0,99
empty,jefferson,9,0,99
empty,jefferson,10,0,99
empty,jefferson,11,0,99
empty,jefferson,12,0,99
empty,jefferson,13,0,99
empty,jefferson,14,0,99
empty,jefferson,15,0,99
empty,jefferson,16,0,99
empty,jefferson,17,0,99
empty,jefferson,18,0,99
empty,houston,19,1,41
empty,houston,20,1,41
empty,houston,21,1,41
empty,houston,22,1,41
empty,houston,23,1,41
empty,houston,24,1,41
empty,houston,25,1,41
empty,houston,26,1,41
empty,houston,27,1,41
empty,houston,28,1,41
empty,houston,29,1,41
empty,houston,30,1,41
empty,houston,31,1,41
empty,houston,32,1,41
empty,houston,33,1,41
empty,houston,34,1,41
empty,houston,35,1,41
empty,houston,36,1,41
empty,houston,37,1,41
empty,houston,38,1,41
empty,houston,39,1,41
empty,houston,40,1,41
empty,houston,41,1,41
empty,houston,42,1,41
empty,houston,43,1,41
empty,marshall,44,2,49
empty,marshall,45,2,49
empty,marshall,46,2,49
empty,marshall,47,2,49
empty,marshall,48,2,49
empty,marshall,49,2,49
empty,marshall,50,2,49
empty,marshall,51,2,49
empty,marshall,52,2,49
empty,marshall,53,2,49
empty,marshall,54,2,49
empty,marshall,55,2,49
empty,marshall,56,2,49
empty,marshall,57,2,49
empty,marshall,58,2,49
empty,marshall,59,2,49
empty,marshall,60,2,49
empty,marshall,61,2,49
empty,marshall,62,2,49
empty,marshall,63,2,49
empty,marshall,64,2,49
empty,marshall,65,2,49
empty,marshall,66,2,49
empty,mxrshxll,67,3,1
empty,marshall,68,2,49
empty,lauderdale,69,4,23
empty,lauderdale,70,4,23
empty,lauderdale,71,4,23
empty,laudxrdalx,72,5,1
empty,lauderdale,73,4,23
empty,lauderdale,74,4,23
empty,lauderdale,75,4,23
empty,lauderdale,76,4,23
empty,laudexdale,77,6,1
empty,lauderdale,78,4,23
empty,lauderdale,79,4,23
empty,lauderdale,80,4,23
empty,lauderdale,81,4,23
empty,lauderdale,82,4,23
empty,lauderdale,83,4,23
empty,lauderdale,84,4,23
empty,lauderdale,85,4,23
empty,lauderdale,86,4,23
empty,lauderdale,87,4,23
empty,lauderdale,88,4,23
empty,lauderdale,89,4,23
empty,lauderdale,90,4,23
empty,lauderdale,91,4,23
empty,lauderdale,92,4,23
empty,lauderdale,93,4,23
empty,covington,94,7,49
empty,covington,95,7,49
empty,covington,96,7,49
empty,covington,97,7,49
empty,covington,98,7,49
empty,covington,99,7,49
empty,covington,100,7,49
empty,covington,101,7,49
empty,covington,102,7,49
empty,covington,103,7,49
empty,covington,104,7,49
empty,covington,105,7,49
empty,covington,106,7,49
empty,covington,107,7,49
empty,covington,108,7,49
empty,covington,109,7,49
empty,covington,110,7,49
empty,covington,111,7,49
empty,covington,112,7,49
empty,covington,113,7,49
empty,covington,114,7,49
empty,covington,115,7,49
empty,covington,116,7,49
empty,covington,117,7,49
empty,covington,118,7,49
empty,crenshaw,119,8,24
empty,crenshaw,120,8,24
empty,crenshaw,121,8,24
empty,crenshaw,122,8,24
empty,crenshaw,123,8,24
empty,crenshaw,124,8,24
empty,crenshaw,125,8,24
empty,crenshaw,126,8,24
empty,crenshaw,127,8,24
empty,crenshaw,128,8,24
empty,crenshaw,129,8,24
empty,crenshaw,130,8,24
empty,crenshaw,131,8,24
empty,crenshaw,132,8,24
empty,crenshaw,133,8,24
empty,crenshaw,134,8,24
empty,crenshaw,135,8,24
empty,crxnshaw,136,9,1
empty,crenshaw,137,8,24
empty,crenshaw,138,8,24
empty,crenshaw,139,8,24
empty,crenshaw,140,8,24
empty,crenshaw,141,8,24
empty,crenshaw,142,8,24
empty,crenshaw,143,8,24
empty,morgan,144,10,26
empty,morgan,145,10,26
empty,morgan,146,10,26
empty,morgan,147,10,26
