MeasureCode,MeasureName,original_index,unique_index
scip-card-2,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,0,0
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,1,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,2,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),3,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,4,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),5,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,6,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,7,7
ami-1,heart attack patients given aspirin at arrival,8,8
ami-2,heart attack patients given aspirin at discharge,9,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),10,10
ami-4,heart attack patients given smoking cessation advice/counseling,11,11
ami-5,heart attack patients given beta blocker at discharge,12,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,13,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,14,14
hf-1,heart failure patients given discharge instructions,15,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,16,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),17,17
hf-4,heart failure patients given smoking cessation advice/counseling,18,18
ami-1,heart attack patients given aspirin at arrival,19,8
ami-2,heart attack patients given aspirin at discharge,20,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),21,10
ami-4,heart attack patients given smoking cessation advice/counseling,22,11
ami-5,heart attack patients given beta blocker at discharge,23,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,24,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,25,14
hf-1,heart failure patients given discharge instructions,26,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,27,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),28,17
hf-4,heart failure patients given smoking cessation advice/counseling,29,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,30,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,31,20
pn-4,pneumonia patients given smoking cessation advice/counseling,32,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,33,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),34,23
pn-7,pneumonia patients assessed and given influenza vaccination,35,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,37,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,38,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),39,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,40,4
scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),41,5
scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,42,6
scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,43,7
ami-1,heart attack patients given aspirin at arrival,44,8
ami-2,heart attack patients given aspirin at discharge,45,9
ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),46,10
ami-4,heart attack patients given smoking cessation advice/counseling,47,11
ami-5,heart attack patients given beta blocker at discharge,48,12
ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,49,13
ami-8a,heart attack patients given pci within 90 minutes of arrival,50,14
hf-1,heart failure patients given discharge instructions,51,15
hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,52,16
hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),53,17
hf-4,heart failure patients given smoking cessation advice/counseling,54,18
pn-2,pneumonia patients assessed and given pneumococcal vaccination,55,19
pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,56,20
pn-4,pneumonia patients given smoking cessation advice/counseling,57,21
pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,58,22
pn-6,pneumonia patients given the most appropriate initial antibiotic(s),59,23
pn-7,pneumonia patients assessed and given influenza vaccination,60,24
scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,61,25
scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,62,1
scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,63,2
scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),64,3
scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,65,4
