ProviderNumber,City,original_index,unique_index,count
10018,birmingham,0,0,23
10018,birmingham,1,0,23
10018,birmingham,2,0,23
10018,birminghxm,3,1,1
10018,birmingham,4,0,23
10018,birmingham,5,0,23
10018,birmingham,6,0,23
10018,birmingxam,7,2,1
10019,sheffield,8,3,23
10019,sheffield,9,3,23
10019,sheffxeld,10,4,1
10019,sheffield,11,3,23
10019,sheffield,12,3,23
1xx19,sheffield,13,5,1
10019,sheffield,14,3,23
10019,sheffield,15,3,23
10019,sheffield,16,3,23
10019,sheffield,17,3,23
10019,sheffield,18,3,23
10001,dothan,19,6,25
10001,dothan,20,6,25
10001,dothan,21,6,25
10001,dothan,22,6,25
10001,dothan,23,6,25
10001,dothan,24,6,25
10001,dothan,25,6,25
10001,dothan,26,6,25
10001,dothan,27,6,25
10001,dothan,28,6,25
10001,dothan,29,6,25
10001,dothan,30,6,25
10001,dothan,31,6,25
10001,dothan,32,6,25
10001,dothan,33,6,25
10001,dothan,34,6,25
10001,dothan,35,6,25
10001,dothan,36,6,25
10001,dothan,37,6,25
10001,dothan,38,6,25
10001,dothan,39,6,25
10001,dothan,40,6,25
10001,dothan,41,6,25
10001,dothan,42,6,25
10001,dothan,43,6,25
10005,boaz,44,7,23
x0005,boaz,45,8,1
10005,boaz,46,7,23
10005,boaz,47,7,23
10005,boaz,48,7,23
10005,boaz,49,7,23
10005,boaz,50,7,23
10005,boaz,51,7,23
10005,boaz,52,7,23
10005,boaz,53,7,23
10005,boaz,54,7,23
10005,boaz,55,7,23
10005,boxz,56,9,1
10005,boaz,57,7,23
10005,boaz,58,7,23
10005,boaz,59,7,23
10005,boaz,60,7,23
10005,boaz,61,7,23
10005,boaz,62,7,23
10005,boaz,63,7,23
10005,boaz,64,7,23
10005,boaz,65,7,23
10005,boaz,66,7,23
10005,boaz,67,7,23
10005,boaz,68,7,23
10006,florence,69,10,21
10006,florence,70,10,21
10006,florence,71,10,21
10006,florence,72,10,21
10006,florence,73,10,21
10006,florence,74,10,21
10006,florence,75,10,21
10006,florence,76,10,21
10006,florence,77,10,21
10006,florence,78,10,21
10006,fxorence,79,11,1
10006,florence,80,10,21
1000x,florence,81,12,1
10006,florence,82,10,21
10006,florence,83,10,21
10006,florence,84,10,21
10006,florence,85,10,21
10006,florence,86,10,21
10006,florence,87,10,21
10006,florxncx,88,13,1
10006,florence,89,10,21
10006,florence,90,10,21
10006,florence,91,10,21
10006,florence,92,10,21
10006,flxrence,93,14,1
10007,opp,94,15,25
10007,opp,95,15,25
10007,opp,96,15,25
10007,opp,97,15,25
10007,opp,98,15,25
10007,opp,99,15,25
10007,opp,100,15,25
10007,opp,101,15,25
10007,opp,102,15,25
10007,opp,103,15,25
10007,opp,104,15,25
10007,opp,105,15,25
10007,opp,106,15,25
10007,opp,107,15,25
10007,opp,108,15,25
10007,opp,109,15,25
10007,opp,110,15,25
10007,opp,111,15,25
10007,opp,112,15,25
10007,opp,113,15,25
10007,opp,114,15,25
10007,opp,115,15,25
10007,opp,116,15,25
10007,opp,117,15,25
10007,opp,118,15,25
10008,luverne,119,16,25
10008,luverne,120,16,25
10008,luverne,121,16,25
10008,luverne,122,16,25
10008,luverne,123,16,25
10008,luverne,124,16,25
10008,luverne,125,16,25
10008,luverne,126,16,25
10008,luverne,127,16,25
10008,luverne,128,16,25
10008,luverne,129,16,25
10008,luverne,130,16,25
10008,luverne,131,16,25
10008,luverne,132,16,25
10008,luverne,133,16,25
10008,luverne,134,16,25
10008,luverne,135,16,25
10008,luverne,136,16,25
10008,luverne,137,16,25
10008,luverne,138,16,25
10008,luverne,139,16,25
10008,luverne,140,16,25
10008,luverne,141,16,25
10008,luverne,142,16,25
10008,luverne,143,16,25
10009,hartselle,144,17,25
10009,hartselle,145,17,25
10009,hartselle,146,17,25
10009,hartselle,147,17,25
10009,hartselle,148,17,25
10009,hartselle,149,17,25
10009,hartselle,150,17,25
10009,hartselle,151,17,25
10009,hartselle,152,17,25
10009,hartselle,153,17,25
10009,hartselle,154,17,25
10009,hartselle,155,17,25
10009,hartselle,156,17,25
10009,hartselle,157,17,25
10009,hartselle,158,17,25
10009,hartselle,159,17,25
10009,hartselle,160,17,25
10009,hartselle,161,17,25
10009,hartselle,162,17,25
10009,hartselle,163,17,25
10009,hartselle,164,17,25
10009,hartselle,165,17,25
10009,hartselle,166,17,25
10009,hartselle,167,17,25
10009,hartselle,168,17,25
10010,guntersville,169,18,24
10010,guntersville,170,18,24
10010,guntersville,171,18,24
10010,guntersville,172,18,24
10010,guntersville,173,18,24
10010,guntersville,174,18,24
10010,guntersville,175,18,24
10010,guntersville,176,18,24
10010,guntersville,177,18,24
10010,guntersville,178,18,24
10010,guntersville,179,18,24
10010,guntxrsvillx,180,19,1
10010,guntersville,181,18,24
10010,guntersville,182,18,24
10010,guntersville,183,18,24
10010,guntersville,184,18,24
10010,guntersville,185,18,24
10010,guntersville,186,18,24
10010,guntersville,187,18,24
10010,guntersville,188,18,24
10010,guntersville,189,18,24
10010,guntersville,190,18,24
10010,guntersville,191,18,24
10010,guntersville,192,18,24
10010,guntersville,193,18,24
10011,birmingham,194,20,22
10011,birmingham,195,20,22
10011,birmingham,196,20,22
10011,birmingham,197,20,22
10011,birmingham,198,20,22
10011,birmingham,199,20,22
10011,birmingham,200,20,22
10011,birmingham,201,20,22
10011,birmingham,202,20,22
10011,birmingham,203,20,22
10011,birmingham,204,20,22
10011,birmingham,205,20,22
10011,birmingham,206,20,22
10011,birmixgham,207,21,1
10011,birmingham,208,20,22
10011,birmingham,209,20,22
10011,birmingham,210,20,22
10011,birmingham,211,20,22
10011,bxrmxngham,212,22,1
x00xx,birmingham,213,23,1
10011,birmingham,214,20,22
10011,birmingham,215,20,22
10011,birmingham,216,20,22
10011,birmingham,217,20,22
10011,birmingham,218,20,22
10012,fort payne,219,24,24
10012,fort payne,220,24,24
10012,fort payne,221,24,24
10012,fort payne,222,24,24
10012,fort payne,223,24,24
10012,fort payne,224,24,24
10012,fort payne,225,24,24
10012,fort payne,226,24,24
10012,fort payne,227,24,24
10012,fort payxe,228,25,1
10012,fort payne,229,24,24
10012,fort payne,230,24,24
10012,fort payne,231,24,24
10012,fort payne,232,24,24
10012,fort payne,233,24,24
10012,fort payne,234,24,24
10012,fort payne,235,24,24
10012,fort payne,236,24,24
10012,fort payne,237,24,24
10012,fort payne,238,24,24
10012,fort payne,239,24,24
10012,fort payne,240,24,24
10012,fort payne,241,24,24
10012,fort payne,242,24,24
10012,fort payne,243,24,24
x00x5,thomasville,244,26,1
10015,thomasville,245,27,23
10015,thomasville,246,27,23
10015,thomasville,247,27,23
10015,thomasville,248,27,23
10015,thomasville,249,27,23
10015,thomasville,250,27,23
10015,thomasville,251,27,23
10015,thomasville,252,27,23
1xx15,thomasville,253,28,1
10015,thomasville,254,27,23
10015,thomasville,255,27,23
10015,thomasville,256,27,23
10015,thomasville,257,27,23
10015,thomasville,258,27,23
10015,thomasville,259,27,23
10015,thomasville,260,27,23
10015,thomasville,261,27,23
10015,thomasville,262,27,23
10015,thomasville,263,27,23
10015,thomasville,264,27,23
10015,thomasville,265,27,23
10015,thomasville,266,27,23
10015,thomasville,267,27,23
10015,thomasville,268,27,23
10016,alabaster,269,29,24
10016,alabaster,270,29,24
10016,alabaster,271,29,24
10016,alabaster,272,29,24
1xx16,alabaster,273,30,1
10016,alabaster,274,29,24
10016,alabaster,275,29,24
10016,alabaster,276,29,24
10016,alabaster,277,29,24
10016,alabaster,278,29,24
10016,alabaster,279,29,24
10016,alabaster,280,29,24
10016,alabaster,281,29,24
10016,alabaster,282,29,24
10016,alabaster,283,29,24
10016,alabaster,284,29,24
10016,alabaster,285,29,24
10016,alabaster,286,29,24
10016,alabaster,287,29,24
10016,alabaster,288,29,24
10016,alabaster,289,29,24
10016,alabaster,290,29,24
10016,alabaster,291,29,24
10016,alabaster,292,29,24
10016,alabaster,293,29,24
10018,birmingham,294,0,23
10018,birmingham,295,0,23
10018,birmingham,296,0,23
10018,birmingham,297,0,23
10018,birmingham,298,0,23
10018,birmingham,299,0,23
10018,birmingham,300,0,23
10018,birmingham,301,0,23
10018,birmingham,302,0,23
10018,birmingham,303,0,23
10018,birmingham,304,0,23
10018,birmingham,305,0,23
10018,birmingham,306,0,23
10018,birmingham,307,0,23
10018,birmingham,308,0,23
10018,birmingham,309,0,23
10018,birmingham,310,0,23
10038,axxistox,311,31,1
10038,anniston,312,32,25
10038,anniston,313,32,25
100x8,anniston,314,33,1
10038,anniston,315,32,25
10038,anniston,316,32,25
10038,anniston,317,32,25
10038,anniston,318,32,25
10038,anniston,319,32,25
10038,anniston,320,32,25
10038,anniston,321,32,25
10038,anniston,322,32,25
10038,anniston,323,32,25
10038,anniston,324,32,25
10038,anniston,325,32,25
10038,anniston,326,32,25
10038,anniston,327,32,25
10038,anniston,328,32,25
10038,anniston,329,32,25
10038,anniston,330,32,25
10055,dothan,331,34,17
10055,dothan,332,34,17
10055,dothan,333,34,17
10055,dothan,334,34,17
10055,dothan,335,34,17
10055,dothan,336,34,17
10055,dothan,337,34,17
10055,dothan,338,34,17
10055,dothan,339,34,17
10055,dothan,340,34,17
10055,dothan,341,34,17
10055,dothan,342,34,17
10055,dothan,343,34,17
10055,dothan,344,34,17
10055,dothan,345,34,17
10055,dothan,346,34,17
10055,dothan,347,34,17
10056,birmingham,348,35,5
10056,birmingham,349,35,5
10056,birmingham,350,35,5
10056,birmingham,351,35,5
10056,birmingham,352,35,5
10085,decatur,353,36,1
10086,winfield,354,37,23
10086,winfield,355,37,23
10086,winfield,356,37,23
10086,winfield,357,37,23
10086,winfield,358,37,23
10086,winfield,359,37,23
100x6,winfield,360,38,1
10086,winfield,361,37,23
10086,winfield,362,37,23
10086,winfield,363,37,23
10086,winfield,364,37,23
10086,winfield,365,37,23
10086,winfield,366,37,23
10086,winfielx,367,39,1
10086,winfield,368,37,23
10086,winfield,369,37,23
10086,winfield,370,37,23
10086,winfield,371,37,23
10086,winfield,372,37,23
10086,winfield,373,37,23
10086,winfield,374,37,23
10086,winfield,375,37,23
10086,winfield,376,37,23
10086,winfield,377,37,23
10086,winfield,378,37,23
10087,mobile,379,40,13
10087,mobile,380,40,13
10087,mobile,381,40,13
10087,mobile,382,40,13
10087,mobile,383,40,13
10087,mobile,384,40,13
10087,mobile,385,40,13
10087,mobile,386,40,13
10087,mobile,387,40,13
10087,mobile,388,40,13
10087,mobile,389,40,13
10087,mobile,390,40,13
10087,mobile,391,40,13
10108,prattville,392,41,19
10108,prattville,393,41,19
10108,prattville,394,41,19
10108,prattville,395,41,19
10108,prattville,396,41,19
10108,prattville,397,41,19
10108,prattville,398,41,19
10108,prattville,399,41,19
10108,prattville,400,41,19
10108,prattville,401,41,19
10108,prattville,402,41,19
10108,prattville,403,41,19
10108,prattville,404,41,19
10108,prattville,405,41,19
10108,prattville,406,41,19
10108,prattville,407,41,19
x0x08,prattville,408,42,1
10108,prattville,409,41,19
10108,prattville,410,41,19
10108,prattville,411,41,19
10158,russellville,412,43,2
10158,russellville,413,43,2
10164,sylacauga,414,44,18
10164,sylacauga,415,44,18
10164,sylacauga,416,44,18
10164,sylacauga,417,44,18
10164,sylacauga,418,44,18
10164,sylacauga,419,44,18
10164,sylacauga,420,44,18
10164,sylacauga,421,44,18
10164,sylacauga,422,44,18
10164,sylacauga,423,44,18
10164,sylacauga,424,44,18
10164,sylacauga,425,44,18
10164,sylacauga,426,44,18
10164,sylacauga,427,44,18
10164,sylacauga,428,44,18
10164,sylacauga,429,44,18
10164,sylacauga,430,44,18
10164,sylacauga,431,44,18
20017,anchorage,432,45,17
20017,anchorage,433,45,17
20017,anchorage,434,45,17
20017,anchorage,435,45,17
20017,anchorage,436,45,17
20017,anchoraxe,437,46,1
20017,anchorage,438,45,17
20017,anchorage,439,45,17
20017,anchorage,440,45,17
20017,anchorage,441,45,17
20017,anchorage,442,45,17
20017,anchorage,443,45,17
20017,anchorage,444,45,17
20017,anchorage,445,45,17
20017,anchorage,446,45,17
20017,anchorage,447,45,17
