PC1,PC2,Cluster
-29.368454280337318,28.636179656134683,0
-29.51239037220928,28.576518106470857,0
-29.760425499957925,28.43189928920855,0
-30.07785998495736,28.230642293547106,0
-29.25020507531716,28.963915241471074,0
-30.331032490076417,28.139638283419337,0
-30.683166653701345,27.91006219855832,0
-30.480105959319154,28.13359154089025,0
-16.001875732315984,17.729388327667863,0
-9.38704094668276,17.962903639973213,0
9.096812726338468,18.929606156279007,0
38.08757883424184,20.263966734023263,2
-3.198877059295817,17.963819496153018,0
-18.471893773783485,16.499316877645644,0
-21.34232709206049,16.70223695702571,0
1.171415638888885,16.936899552564626,0
-21.556649847006174,15.606478202264707,0
-12.911595728870115,16.004670015702803,0
34.811059179803046,18.45035192701518,2
-17.82085818922452,-5.0137275211135375,0
-19.04930330459908,-5.212365499742686,0
-16.252009433593404,-5.109969565305909,0
37.16811716141451,-2.4653831956718526,2
-19.724009330593937,-5.589583773130579,0
-21.936251128957355,-5.814812557197373,0
9.19222004268807,-4.258246566650862,0
2.2936631448582676,-5.644158812116341,0
-22.395222316288738,-7.082618485149884,0
-12.769758210526707,-6.630407510344976,0
33.972486710520506,-4.238744760399409,2
-16.30101633438684,-7.703312588545622,0
-11.7511005598819,-7.6627928665725715,0
-24.640366490891786,-8.424703514004799,0
-15.995312372755734,-8.0265117005667,0
-2.5523073523661415,-7.443181347893214,0
-7.528894025117366,-7.716300525991822,0
3.132953722956803,-15.847674082256486,0
-20.90518672975451,-9.30726166833136,0
-26.055271795632947,-9.721976292427762,0
-13.627376441494787,-9.220984190320648,0
-23.584231395740268,-9.081922017431621,0
-16.82177890949175,-9.474045684548855,0
-12.271676106934704,-9.430174495947233,0
-9.129265825408138,-9.034224958178855,0
4.406996607699247,-14.751198341069935,0
23.926806826134083,12.111968440365603,2
37.23460043473595,13.584065496560983,2
-22.011719371750303,10.053350084663524,0
36.70364347256124,13.263157306208191,2
-22.368990912745684,9.877388806937082,0
-22.616839012442156,9.736121456303309,0
