year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  ,Cluster
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.6             ,"Horror,Thriller                                                                      ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.6             ,"Horror,Thriller                                                                      ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,96 min        ,7.5             ,Documentary                                                                            ,-1
2010           ,"English,French                                                                         ","UK,USA                                                                                                 ",93 min        ,6.7             ,Documentary                                                                            ,-1
1969           ,"English,Spanish,French,Russian                                                         ",USA                                                                                                      ,93 min        ,6.3             ,Horror                                                                                 ,-1
1976           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.8             ,"Horror,Thriller                                                                      ",-1
1987           ,English                                                                                  ,USA                                                                                                      ,92 min        ,5.9             ,"Horror,Thriller                                                                      ",-1
2015           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.3             ,"Drama,Romance                                                                        ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,              ,6.8             ,"Comedy,Romance                                                                       ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.9             ,"Comedy,Drama                                                                         ",-1
2009           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.2             ,Documentary                                                                            ,-1
2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,7.6             ,"Comedy,Drama                                                                         ",-1
2007           ,"English,French,Arabic,Russian,Spanish                                                  ","UK,USA                                                                                                 ",101 min       ,7.1             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,6.9             ,"Horror,Thriller                                                                      ",-1
2002           ,"English,French                                                                         ","UK,USA                                                                                                 ",91 min        ,6.7             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,"English,Spanish                                                                        ","USA,Germany,Japan,UK                                                                                   ",101 min       ,6.5             ,"Action,Adventure,Fantasy                                                             ",-1
1999           ,"English,Egyptian (Ancient),Arabic                                                      ",USA                                                                                                      ,95 min        ,7.0             ,"Action,Adventure,Fantasy                                                             ",-1
2013           ,English                                                                                  ,"UK,Germany,Hungary,USA                                                                                 ",101 min       ,7.0             ,Documentary                                                                            ,-1
2006           ,"English,French                                                                         ",USA                                                                                                      ,100 min       ,6.8             ,"Action,Fantasy,Sci-Fi                                                                ",-1
