City,EmergencyService,original_index,unique_index,count
birmingham,yes,0,0,73
birmingham,yes,1,0,73
birmingham,yes,2,0,73
birminghxm,yes,3,1,1
birmingham,yes,4,0,73
birmingham,yes,5,0,73
birmingham,yes,6,0,73
birmingxam,yes,7,2,1
sheffield,yes,8,3,24
sheffield,yes,9,3,24
sheffxeld,yes,10,4,1
sheffield,yes,11,3,24
sheffield,yes,12,3,24
sheffield,yes,13,3,24
sheffield,yes,14,3,24
sheffield,yes,15,3,24
sheffield,yes,16,3,24
sheffield,yes,17,3,24
sheffield,yes,18,3,24
dothan,yes,19,5,39
dothan,yes,20,5,39
dothan,yes,21,5,39
dothan,yes,22,5,39
dothan,yes,23,5,39
dothan,yxs,24,6,1
dothan,yes,25,5,39
dothan,yes,26,5,39
dothan,yes,27,5,39
dothan,yes,28,5,39
dothan,yes,29,5,39
dothan,yes,30,5,39
dothan,yes,31,5,39
dothan,yes,32,5,39
dothan,yes,33,5,39
dothan,yes,34,5,39
dothan,yes,35,5,39
dothan,yes,36,5,39
dothan,yes,37,5,39
dothan,yes,38,5,39
dothan,yes,39,5,39
dothan,yes,40,5,39
dothan,yes,41,5,39
dothan,yes,42,5,39
dothan,yex,43,7,2
boaz,yes,44,8,23
boaz,yes,45,8,23
boaz,yes,46,8,23
boaz,yes,47,8,23
boaz,yes,48,8,23
boaz,yes,49,8,23
boaz,yes,50,8,23
boaz,yxs,51,9,1
boaz,yes,52,8,23
boaz,yes,53,8,23
boaz,yes,54,8,23
boaz,yes,55,8,23
boxz,yes,56,10,1
boaz,yes,57,8,23
boaz,yes,58,8,23
boaz,yes,59,8,23
boaz,yes,60,8,23
boaz,yes,61,8,23
boaz,yes,62,8,23
boaz,yes,63,8,23
boaz,yes,64,8,23
boaz,yes,65,8,23
boaz,yes,66,8,23
boaz,yes,67,8,23
boaz,yes,68,8,23
florence,yes,69,11,22
florence,yes,70,11,22
florence,yes,71,11,22
florence,yes,72,11,22
florence,yes,73,11,22
florence,yes,74,11,22
florence,yes,75,11,22
florence,yes,76,11,22
florence,yes,77,11,22
florence,yes,78,11,22
fxorence,yes,79,12,1
florence,yes,80,11,22
florence,yes,81,11,22
florence,yes,82,11,22
florence,yes,83,11,22
florence,yes,84,11,22
florence,yes,85,11,22
florence,yes,86,11,22
florence,yes,87,11,22
florxncx,yes,88,13,1
florence,yes,89,11,22
florence,yes,90,11,22
florence,yes,91,11,22
florence,yes,92,11,22
flxrence,yes,93,14,1
opp,no,94,15,25
opp,no,95,15,25
opp,no,96,15,25
opp,no,97,15,25
opp,no,98,15,25
opp,no,99,15,25
opp,no,100,15,25
opp,no,101,15,25
opp,no,102,15,25
opp,no,103,15,25
opp,no,104,15,25
opp,no,105,15,25
