Score,Sample,original_index,unique_index,count
empty,empty,0,0,60
empty,empty,1,0,60
empty,empty,2,0,60
empty,empty,3,0,60
empty,empty,4,0,60
empty,empty,5,0,60
empty,empty,6,0,60
empty,empty,7,0,60
97%,33 patients,8,1,2
92%,13 patients,9,2,2
75%,4 patients,10,3,3
100%,4 patients,11,4,15
86%,14 patients,12,5,4
empty,0 patients,13,6,103
empty,0 patients,14,6,103
80%,114 patients,15,7,1
99%,149 patients,16,8,2
92%,3x patients,17,9,1
100%,41 patients,18,10,3
98%,270 patients,19,11,1
99%,516 patients,20,12,1
96%,71 patients,21,13,1
100%,244 patients,22,14,1
99%,441 patients,23,15,1
empty,0 patients,24,6,103
72%,40 patients,25,16,1
78%,455 patients,26,17,1
99%,514 patients,27,18,1
91%,165 patients,28,19,1
100%,110 patients,29,20,2
93%,191 patients,30,21,1
89%,125 patients,31,22,1
99%,107 patients,32,23,1
92%,196 patients,33,24,1
80%,147 patients,34,25,1
84%,160 patients,35,26,1
72%,79 patients,36,27,1
94%,399 patients,37,28,1
98%,405 patients,38,29,2
88%,385 patients,39,30,1
96%,136 patients,40,31,1
90%,537 patients,41,32,1
86%,185 patients,42,33,1
83%,184 patients,43,34,1
80%,20 patients,44,35,1
60%,5 patients,45,36,3
100%,2 patients,46,37,14
empty,0 patients,47,6,103
100%,5 patients,48,38,5
empty,0 patients,49,6,103
empty,0 patients,50,6,103
78%,110 patients,51,39,1
99%,160 patients,52,40,2
90%,69 patients,53,41,1
94%,34 patients,54,42,1
97%,172 patients,55,43,1
97%,120 patients,56,44,1
97%,98 patients,57,45,1
96%,211 patients,58,46,1
92%,175 patients,59,47,1
81%,118 patients,60,48,1
36%,14 patients,61,49,1
96%,168 patients,62,50,1
93%,167 patients,63,51,1
95%,158 patients,64,52,1
empty,0 patients,65,6,103
100%,237 patients,66,53,1
78%,76 patients,67,54,1
74%,76 patients,68,55,1
97%,159 patients,69,56,1
96%,247 patients,70,57,1
93%,43 patients,71,58,1
100%,103 patients,72,59,1
96%,227 patients,73,60,1
empty,0 patients,74,6,103
98%,61 patients,75,61,2
79%,217 patients,76,62,1
97%,259 patients,77,63,1
82%,84 patients,78,64,2
100%,53 patients,79,65,2
90%,174 patients,80,66,1
95%,137 patients,81,67,1
100%,65 patients,82,68,1
96%,200 patients,83,69,1
91%,138 patients,84,70,1
88%,85 patients,85,71,2
96%,107 patients,86,72,1
99%,457 patients,87,73,1
99%,462 patients,88,74,1
94%,439 patients,89,75,1
89%,130 patients,90,76,1
100%,619 paxienxs,91,77,1
95%,242 patients,92,78,1
92%,242 patients,93,79,1
60%,5 patients,94,36,3
50%,2 patients,95,80,4
empty,0 patients,96,6,103
empty,0 patients,97,6,103
100%,2 patients,98,37,14
empty,0 patients,99,6,103
empty,0 patients,100,6,103
98%,59 patients,101,81,2
87%,76 patients,102,82,1
