column_1_name,column_2_name,column_1_count,column_2_count,dependency
Actors,Cast,703,111,"Actors, Cast"
Country,Filming Locations,140,324,"Country, Filming Locations"
Country,Genre,73,56,"Country, Genre"
Creator,Director,546,33,"Director, Creator"
Duration,RatingCount,109,534,"Duration, RatingCount"
Duration,RatingValue,22,273,"Duration, RatingValue"
Description,Genre,80,331,"Genre, Description"
Filming Locations,Genre,449,79,"Genre, Filming Locations"
Description,Language,30,458,"Language, Description"
Description,Name,211,115,"Name, Description"
Director,Name,217,85,"Name, Director"
Genre,Name,139,150,"Name, Genre"
Name,Year,64,200,"Name, Year"
Name,RatingCount,3,17,"RatingValue, RatingCount"
Country,Director,339,56,"Release Date, Country"
Description,ReviewCount,1,749,"ReviewCount, Description"
Description,Year,186,313,"Year, Description"
Duration,Year,60,157,"Year, Duration"
Genre,Year,26,156,"Year, Genre"
