Country,Filming Locations,original_index,unique_index
USA,"Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA",0,0
USA,"Sanibel Island, Florida, USA",1,1
USA,"Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",2,2
USA,,3,3
"USA,UK","Geneva, Canton de Genève, Switzerland",4,4
USA,"Place Gaillon, Paris 2, Paris, France",5,5
USA,"4254 Lexington Avenue, Los Angeles, California, USA",6,6
USA,"12890 E Main St, Humboldt, Arizona, USA",7,7
"USA,Netherlands","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA",8,8
USA,,9,3
USA,"New York City, New York, USA",10,9
USA,"Los Angeles, California, USA",11,10
USA,"144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",12,11
"USA,Germany","Berlin, Germany",13,12
"France,USA","1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA",14,13
"USA,Germany,France","Dobbs Ferry, New York, USA",15,14
"USA,Germany,Japan,UK","Amboseli National Park, Kenya",16,15
USA,"Ait Benhaddou, Morocco",17,16
"UK,Germany,Hungary,USA","Budapest, Hungary",18,17
USA,"Britannia Beach, British Columbia, Canada",19,18
USA,,20,3
USA,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",21,19
USA,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",22,19
"USA,Germany","San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA",23,20
USA,USA,24,21
"UK,USA","London, England, UK",25,22
USA,"Long Beach, California, USA",26,23
USA,,27,3
USA,"Portland, Oregon, USA",28,24
USA,"Louisiana, USA",29,25
"USA,New Zealand,Japan","Santa Clarita, California, USA",30,26
USA,"California, USA",31,27
"USA,New Zealand","Alameda, California, USA",32,28
USA,"Metro-North Station, Poughkeepsie, New York, USA",33,29
USA,"Stage 4, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",34,30
USA,"Hotel Monte Vista, Flagstaff, Arizona, USA",35,31
"USA,UK","Shepperton Studios, Shepperton, Surrey, England, UK",36,32
USA,"Brooklyn, New York City, New York, USA",37,33
USA,"128 Northern Boulevard, Wilmington, North Carolina, USA",38,34
"UK,USA",UK,39,35
"UK,USA","Albany, New York, USA",40,36
USA,"Bora Bora, Leeward Islands, French Polynesia",41,37
USA,"Los Angeles, California, USA",42,10
USA,USA,43,21
USA,,44,3
USA,"Los Angeles, California, USA",45,10
USA,,46,3
USA,"Baltimore, Maryland, USA",47,38
USA,,48,3
USA,"Flemington, New Jersey, USA",49,39
USA,,50,3
"Chile,USA","Santiago, Chile",51,40
USA,"Garden State News 666 Anderson Ave, Cliffside Park, New Jersey, USA",52,41
"USA,Australia","Gare Windsor, Montréal, Québec, Canada",53,42
"USA,Germany","Hanover, Pennsylvania, USA",54,43
"USA,Australia","Fox Studios, Moore Park, Sydney, New South Wales, Australia",55,44
USA,"England, UK",56,45
USA,"Los Angeles, California, USA",57,10
USA,"Montréal, Québec, Canada",58,46
USA,"Vancouver, British Columbia, Canada",59,47
"USA,Switzerland","New Orleans, Louisiana, USA",60,48
USA,"Burbank, California, USA",61,49
USA,"4267 Roxbury Street, Forest Hills, Simi Valley, California, USA",62,50
USA,"New York City, New York, USA",63,9
USA,"4th Street, Downtown, Los Angeles, California, USA",64,51
"USA,Italy",Malta,65,52
USA,"New York City, New York, USA",66,9
USA,"Clinton, Louisiana, USA",67,53
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",68,54
USA,"Cedars of Lebanon Hospital. 4833 Fountain Ave. Los Angeles, California, USA",69,55
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",70,56
USA,"2552 Hyde Street, San Francisco, California, USA",71,57
USA,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",72,58
USA,,73,3
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",74,54
USA,,75,3
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",76,54
USA,"Providencia Ranch, Hollywood Hills, Los Angeles, California, USA",77,59
USA,"North Hollywood, Los Angeles, California, USA",78,60
USA,"California Highway 118, California, USA",79,61
USA,"Arkansas, USA",80,62
USA,"Chichén Itzá, Yucatán, Mexico",81,63
"Japan,USA",Japan,82,64
"USA,Netherlands","Budapest, Hungary",83,65
"UK,USA","Back Bay, Boston, Massachusetts, USA",84,66
USA,"Coral Gables, Florida, USA",85,67
USA,"Camp Waldemar - 1005 Ranch Road 1340, Hunt, Texas, USA",86,68
USA,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",87,58
USA,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",88,69
USA,"Santa Clarita, California, USA",89,70
USA,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",90,71
USA,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",91,58
USA,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",92,72
USA,,93,3
USA,,94,3
USA,"UCLA, Westwood, Los Angeles, California, USA",95,73
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",96,56
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",97,56
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",98,54
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",99,56
USA,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",100,56
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",101,54
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",102,54
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",103,54
USA,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",104,54
"USA,West Germany",Germany,105,74
"Canada,USA,South Korea",,106,75
USA,"2nd Street Tunnel between Hill and Figueroa, Los Angeles, California, USA",107,76
USA,"The Astral House, 2210 Astral Place, Los Angeles, California, USA",108,77
"UK,USA","Irvington, New York, USA",109,78
USA,"Magazine Street, New Orleans, Louisiana, USA",110,79
USA,"Alameda, California, USA",111,80
USA,"6621 Whitley Terrace, Whitley Heights, Hollywood, Los Angeles, California, USA",112,81
USA,"2nd Floor, Marquette County Courthouse - 234 W. Baraga Avenue, Marquette, Michigan, USA",113,82
USA,"North Carolina, USA",114,83
USA,Romania,115,84
USA,"Los Angeles, California, USA",116,10
USA,"Anzio, Italy",117,85
USA,"Kayenta, Arizona, USA",118,86
USA,"South Flower Street, Los Angeles, California, USA",119,87
USA,"Aircraft Hanger, Van Nuys Airport - 6590 Hayvenhurst Avenue, Van Nuys, Los Angeles, California, USA",120,88
USA,"Snohomish High School - 1316 5th Street, Snohomish, Washington, USA",121,89
USA,"Muriwai Beach, Woodhill Forest, Woodhill, Auckland, New Zealand",122,90
"USA,Canada","Toronto, Ontario, Canada",123,91
"Germany,USA,Canada","Playland Amusement Park, Pacific National Exhibition Grounds, Vancouver, British Columbia, Canada",124,92
USA,"Harahan, Louisiana, USA",125,93
USA,"169 N. Baldwin Avenue, Sierra Madre, California, USA",126,94
USA,"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",127,95
USA,"Empire Studios, Rome, Lazio, Italy",128,96
USA,"Glendale, California, USA",129,97
"USA,UK","Downtown, Los Angeles, California, USA",130,98
USA,"Yuma, Arizona, USA",131,99
USA,"Manhattan Beach, California, USA",132,100
USA,,133,3
USA,"Plymouth, Massachusetts, USA",134,101
USA,"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",135,102
"UK,USA","Associated British Picture Studios, Borehamwood, Hertfordshire, England, UK",136,103
"UK,USA","Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",137,104
USA,"Chatham Historic Dockyard, Chatham, Kent, England, UK",138,105
USA,"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",139,106
USA,"Appleton, Wisconsin, USA",140,107
USA,"Antony House, Torpoint, Cornwall, England, UK",141,108
"UK,USA","England, UK",142,109
USA,,143,3
USA,,144,3
USA,"Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",145,110
USA,,146,3
USA,,147,3
USA,"Disney's Hollywood Studios, Walt Disney World, Lake Buena Vista, Florida, USA",148,111
USA,,149,3
USA,"Los Angeles, California, USA",150,10
"Australia,USA","Fox Studios, Moore Park, Sydney, New South Wales, Australia",151,112
USA,,152,3
USA,,153,3
USA,,154,3
USA,"Church of Saint Paul the Apostle, Columbus Avenue & West 60th Street, New York City, New York, USA",155,113
USA,"New York City, New York, USA",156,9
USA,"Boston Garden - 150 Causeway Street, Boston, Massachusetts, USA",157,114
USA,"Tarrant County, Texas, USA",158,115
