City,original_index,unique_index,count
birmingham,0,0,75
birmingham,1,0,75
birmingham,2,0,75
birminghxm,3,1,1
birmingham,4,0,75
birmingham,5,0,75
birmingham,6,0,75
birmingxam,7,2,1
sheffield,8,3,24
sheffield,9,3,24
sheffxeld,10,4,1
sheffield,11,3,24
sheffield,12,3,24
sheffield,13,3,24
sheffield,14,3,24
sheffield,15,3,24
sheffield,16,3,24
sheffield,17,3,24
sheffield,18,3,24
dothan,19,5,42
dothan,20,5,42
dothan,21,5,42
dothan,22,5,42
dothan,23,5,42
dothan,24,5,42
dothan,25,5,42
dothan,26,5,42
dothan,27,5,42
dothan,28,5,42
dothan,29,5,42
dothan,30,5,42
dothan,31,5,42
dothan,32,5,42
dothan,33,5,42
dothan,34,5,42
dothan,35,5,42
dothan,36,5,42
dothan,37,5,42
dothan,38,5,42
dothan,39,5,42
dothan,40,5,42
dothan,41,5,42
dothan,42,5,42
dothan,43,5,42
boaz,44,6,24
boaz,45,6,24
boaz,46,6,24
boaz,47,6,24
boaz,48,6,24
boaz,49,6,24
boaz,50,6,24
boaz,51,6,24
boaz,52,6,24
boaz,53,6,24
boaz,54,6,24
boaz,55,6,24
boxz,56,7,1
boaz,57,6,24
boaz,58,6,24
boaz,59,6,24
boaz,60,6,24
boaz,61,6,24
boaz,62,6,24
boaz,63,6,24
boaz,64,6,24
boaz,65,6,24
boaz,66,6,24
boaz,67,6,24
boaz,68,6,24
florence,69,8,22
florence,70,8,22
florence,71,8,22
florence,72,8,22
florence,73,8,22
florence,74,8,22
florence,75,8,22
florence,76,8,22
florence,77,8,22
florence,78,8,22
fxorence,79,9,1
florence,80,8,22
florence,81,8,22
florence,82,8,22
florence,83,8,22
florence,84,8,22
florence,85,8,22
florence,86,8,22
florence,87,8,22
florxncx,88,10,1
florence,89,8,22
florence,90,8,22
florence,91,8,22
florence,92,8,22
flxrence,93,11,1
opp,94,12,25
opp,95,12,25
opp,96,12,25
opp,97,12,25
opp,98,12,25
opp,99,12,25
opp,100,12,25
opp,101,12,25
opp,102,12,25
opp,103,12,25
opp,104,12,25
opp,105,12,25
opp,106,12,25
opp,107,12,25
opp,108,12,25
opp,109,12,25
opp,110,12,25
opp,111,12,25
opp,112,12,25
opp,113,12,25
opp,114,12,25
opp,115,12,25
opp,116,12,25
opp,117,12,25
opp,118,12,25
luverne,119,13,25
luverne,120,13,25
luverne,121,13,25
luverne,122,13,25
luverne,123,13,25
luverne,124,13,25
luverne,125,13,25
luverne,126,13,25
luverne,127,13,25
luverne,128,13,25
luverne,129,13,25
luverne,130,13,25
luverne,131,13,25
luverne,132,13,25
luverne,133,13,25
luverne,134,13,25
luverne,135,13,25
luverne,136,13,25
luverne,137,13,25
luverne,138,13,25
luverne,139,13,25
luverne,140,13,25
luverne,141,13,25
luverne,142,13,25
luverne,143,13,25
hartselle,144,14,25
hartselle,145,14,25
hartselle,146,14,25
hartselle,147,14,25
hartselle,148,14,25
hartselle,149,14,25
hartselle,150,14,25
hartselle,151,14,25
hartselle,152,14,25
hartselle,153,14,25
hartselle,154,14,25
hartselle,155,14,25
hartselle,156,14,25
hartselle,157,14,25
hartselle,158,14,25
hartselle,159,14,25
hartselle,160,14,25
hartselle,161,14,25
hartselle,162,14,25
hartselle,163,14,25
hartselle,164,14,25
hartselle,165,14,25
hartselle,166,14,25
hartselle,167,14,25
hartselle,168,14,25
guntersville,169,15,24
guntersville,170,15,24
guntersville,171,15,24
guntersville,172,15,24
guntersville,173,15,24
guntersville,174,15,24
guntersville,175,15,24
guntersville,176,15,24
guntersville,177,15,24
