completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
4,135,139,00:01.535,1,index
1962,1722,3684,00:13.552,1,ProviderNumber
1482,1920,3402,00:09.518,1,HospitalName
1861,2039,3900,00:12.585,1,Address1
22,769,791,00:01.195,1,Address2
22,769,791,00:01.249,1,Address3
1591,1760,3351,00:12.731,1,City
73,805,878,00:01.245,1,State
1370,1715,3085,00:08.701,1,ZipCode
1986,1648,3634,00:13.449,1,CountyName
1712,1893,3605,00:10.660,1,PhoneNumber
376,965,1341,00:02.963,1,HospitalType
963,1244,2207,00:06.167,1,HospitalOwner
297,831,1128,00:02.479,1,EmergencyService
1096,1197,2293,00:07.879,1,Condition
1277,1553,2830,00:08.231,1,MeasureCode
2379,2800,5179,00:15.261,1,MeasureName
889,1597,2486,00:06.021,1,Score
6278,7428,13706,00:40.689,4,Sample
1710,1979,3689,00:11.716,1,Stateavg
