abv,original_index,unique_index
0.05,0,0
0.066,1,1
0.071,2,2
0.09%,3,3
0.075,4,4
0.077,5,5
0.045%,6,6
0.065,7,7
0.055,8,8
0.086,9,9
0.072,10,10
0.073,11,11
0.069%,12,12
0.085,13,13
0.061%,14,14
0.06,15,15
0.06,16,15
0.06,17,15
0.06,18,15
0.082,19,16
0.082,20,16
0.099,21,17
0.079,22,18
0.079,23,18
0.044,24,19
0.049,25,20
0.049%,26,21
0.049,27,20
0.07,28,22
0.07%,29,23
0.07%,30,23
0.085,31,13
0.097,32,24
0.044,33,19
0.079%,34,25
0.068%,35,26
0.083,36,27
0.07,37,22
0.049,38,20
0.07,39,22
0.05,40,0
0.059,41,28
0.035,42,29
0.045%,43,6
0.055%,44,30
0.06,45,15
0.055%,46,30
0.065,47,7
0.065,48,7
0.05,49,0
0.065,50,7
0.05,51,0
0.09,52,31
0.069,53,32
0.09%,54,3
0.046%,55,33
0.052000000000000005%,56,34
0.059,57,28
0.054,58,35
0.054,59,35
0.084,60,36
0.038,61,37
0.055,62,8
0.055,63,8
0.065,64,7
0.042,65,38
0.045,66,39
0.082,67,16
0.05,68,0
0.08,69,40
0.125%,70,41
0.077,71,5
0.042,72,38
0.05,73,0
0.066,74,1
0.04,75,42
0.055,76,8
0.076,77,43
0.051%,78,44
0.065%,79,45
0.06,80,15
0.05,81,0
0.053,82,46
0.05,83,0
0.052,84,47
0.04,85,42
0.053,86,46
0.082,87,16
0.053,88,46
0.053,89,46
0.057,90,48
0.043,91,49
0.065,92,7
0.054,93,35
0.062,94,50
0.062,95,50
0.059000000000000004%,96,51
0.065%,97,45
0.045%,98,6
0.049,99,20
0.055999999999999994%,100,52
0.042,101,38
0.042,102,38
0.048%,103,53
0.06,104,15
0.057,105,48
0.056,106,54
0.07,107,22
0.057999999999999996%,108,55
0.057,109,48
0.055,110,8
0.057999999999999996%,111,55
0.056,112,54
0.057%,113,56
0.069%,114,12
0.07,115,22
0.058,116,57
0.056,117,54
0.055,118,8
0.06,119,15
0.054000000000000006%,120,58
0.047%,121,59
0.05,122,0
0.05%,123,60
0.05,124,0
0.068,125,61
0.06,126,15
0.085%,127,62
0.071,128,2
0.047,129,63
0.06,130,15
0.06%,131,64
0.062,132,50
0.052,133,47
0.092,134,65
0.051%,135,44
0.052,136,47
0.07,137,22
0.032,138,66
0.053,139,46
0.06,140,15
0.048,141,67
0.077,142,5
0.077,143,5
0.056,144,54
0.07%,145,23
0.057,146,48
0.08199999999999999%,147,68
0.062,148,50
0.06,149,15
0.075,150,4
0.055%,151,30
0.052,152,47
0.045,153,39
0.05%,154,60
0.05,155,0
0.07,156,22
0.062%,157,69
0.051,158,70
0.053,159,46
0.052,160,47
0.08%,161,71
0.064,162,72
0.047,163,63
0.056,164,54
0.063,165,73
0.055,166,8
0.062,167,50
0.072,168,10
0.048%,169,53
0.067,170,74
0.092,171,65
0.061,172,75
0.086,173,9
0.06,174,15
0.049%,175,21
0.07,176,22
0.05,177,0
0.06%,178,64
0.06%,179,64
0.068,180,61
0.044000000000000004%,181,76
0.07%,182,23
0.038%,183,77
0.052000000000000005%,184,34
0.07,185,22
0.046,186,78
0.07,187,22
0.045,188,39
0.045%,189,6
0.035,190,29
0.07,191,22
0.06,192,15
0.045,193,39
0.049%,194,21
0.067,195,74
0.068,196,61
0.05,197,0
0.051,198,70
0.054,199,35
0.067%,200,79
0.05,201,0
0.054,202,35
0.053,203,46
0.07%,204,23
0.047,205,63
0.068,206,61
0.066,207,1
0.047,208,63
0.055,209,8
0.049%,210,21
0.069,211,32
0.088,212,80
0.05,213,0
0.057999999999999996%,214,55
0.068%,215,26
0.048,216,67
0.057999999999999996%,217,55
0.06%,218,64
0.05,219,0
0.058,220,57
0.07,221,22
0.058,222,57
0.044,223,19
0.083,224,27
0.057%,225,56
0.06,226,15
0.072,227,10
0.056,228,54
0.062,229,50
0.06%,230,64
0.05,231,0
0.055,232,8
0.053,233,46
0.078%,234,81
0.047%,235,59
0.064,236,72
0.055999999999999994%,237,52
0.06,238,15
0.081,239,82
0.095%,240,83
0.041,241,84
0.067,242,74
0.07%,243,23
0.065,244,7
0.06,245,15
0.08,246,40
0.062,247,50
0.06,248,15
0.075,249,4
0.05,250,0
0.06,251,15
0.062,252,50
0.05%,253,60
0.05,254,0
0.051,255,70
0.072,256,10
0.051,257,70
0.05,258,0
0.062,259,50
0.047,260,63
0.05,261,0
0.05,262,0
0.051%,263,44
0.069,264,32
0.057999999999999996%,265,55
0.053,266,46
0.099%,267,85
0.098,268,86
0.055,269,8
0.066,270,1
0.055,271,8
0.052,272,47
0.063,273,73
0.054,274,35
0.072,275,10
0.045%,276,6
0.075,277,4
0.05,278,0
0.058,279,57
0.071,280,2
0.071,281,2
0.078,282,87
0.066,283,1
0.048%,284,53
0.046,285,78
0.073%,286,88
0.048,287,67
0.06,288,15
0.052,289,47
0.068,290,61
0.07,291,22
0.055,292,8
0.05%,293,60
,294,89
0.055%,295,30
0.08,296,40
0.096,297,90
0.052,298,47
,299,89
0.05,300,0
0.064,301,72
0.045,302,39
0.056,303,54
0.055999999999999994%,304,52
0.055999999999999994%,305,52
0.046,306,78
0.059,307,28
0.059000000000000004%,308,51
0.08%,309,71
0.059,310,28
0.065,311,7
0.053,312,46
0.059,313,28
0.049,314,20
,315,89
,316,89
,317,89
,318,89
0.07,319,22
0.06%,320,64
0.044,321,19
0.055,322,8
0.06,323,15
0.053,324,46
0.04,325,42
0.05%,326,60
0.05,327,0
0.065,328,7
0.055,329,8
0.06%,330,64
0.042%,331,91
0.04,332,42
0.051,333,70
0.045,334,39
0.066,335,1
0.075,336,4
0.048,337,67
0.056,338,54
0.07,339,22
0.047,340,63
0.068,341,61
0.047,342,63
0.047,343,63
0.048,344,67
0.049%,345,21
0.053,346,46
0.064%,347,92
0.061,348,75
0.058,349,57
0.057999999999999996%,350,55
0.048,351,67
0.048,352,67
0.066,353,1
0.071,354,2
0.045,355,39
0.065,356,7
0.055,357,8
0.055999999999999994%,358,52
0.049,359,20
0.049,360,20
0.053,361,46
0.053,362,46
0.049,363,20
0.049,364,20
0.057,365,48
0.049,366,20
0.062,367,50
0.065,368,7
0.058,369,57
0.047%,370,59
0.06%,371,64
0.057,372,48
0.07,373,22
0.06,374,15
0.055%,375,30
0.052,376,47
0.05,377,0
0.042,378,38
0.045,379,39
0.062%,380,69
0.054,381,35
0.05,382,0
0.072,383,10
0.05%,384,60
0.055,385,8
0.057999999999999996%,386,55
0.053,387,46
0.067,388,74
0.06,389,15
0.098,390,86
0.06,391,15
0.07,392,22
0.077,393,5
0.065,394,7
0.065,395,7
0.065%,396,45
0.065,397,7
0.05,398,0
0.09,399,31
0.055,400,8
0.059,401,28
0.066%,402,93
0.040999999999999995%,403,94
0.08199999999999999%,404,68
0.065,405,7
0.062%,406,69
,407,89
,408,89
0.061,409,75
0.063,410,73
0.055999999999999994%,411,52
0.099,412,17
0.051,413,70
0.062,414,50
0.062,415,50
0.053,416,46
0.063,417,73
0.064,418,72
0.07%,419,23
0.067%,420,79
0.067,421,74
0.05,422,0
0.06,423,15
0.065,424,7
0.045%,425,6
0.063,426,73
0.093,427,95
0.073,428,11
0.055999999999999994%,429,52
0.093,430,95
0.065,431,7
0.05%,432,60
0.09%,433,3
0.082,434,16
0.098,435,86
0.06%,436,64
0.099%,437,85
0.095,438,96
0.092%,439,97
0.065,440,7
0.099,441,17
0.062,442,50
0.09,443,31
0.092,444,65
0.097,445,24
0.085,446,13
0.055%,447,30
0.06%,448,64
0.065,449,7
,450,89
,451,89
0.061,452,75
0.05,453,0
0.052,454,47
0.048%,455,53
0.061,456,75
0.068%,457,26
0.045,458,39
0.068,459,61
0.045,460,39
0.052,461,47
0.052000000000000005%,462,34
0.08%,463,71
,464,89
0.073,465,11
0.099,466,17
0.062%,467,69
0.057999999999999996%,468,55
0.052,469,47
0.053%,470,98
0.045%,471,6
0.06,472,15
0.06,473,15
0.09,474,31
0.065%,475,45
0.068,476,61
0.078,477,87
0.055,478,8
0.099,479,17
0.06,480,15
0.065,481,7
0.068%,482,26
0.072,483,10
0.068,484,61
0.055,485,8
0.05,486,0
0.056,487,54
0.049%,488,21
0.068,489,61
0.049,490,20
0.043%,491,99
0.093,492,95
0.062,493,50
0.06,494,15
0.048,495,67
0.077,496,5
0.097,497,24
0.052,498,47
0.053,499,46
0.063,500,73
0.068%,501,26
0.063,502,73
0.053,503,46
0.068%,504,26
0.06,505,15
0.055999999999999994%,506,52
0.039,507,100
0.054,508,35
0.061,509,75
0.061%,510,14
0.055999999999999994%,511,52
0.056,512,54
0.056,513,54
0.056,514,54
0.056,515,54
0.054,516,35
0.061,517,75
0.05,518,0
0.065%,519,45
,520,89
,521,89
,522,89
,523,89
0.099,524,17
0.09,525,31
0.055%,526,30
0.054,527,35
0.055%,528,30
0.055,529,8
0.049%,530,21
0.065,531,7
0.052,532,47
0.046%,533,33
0.056,534,54
0.046,535,78
0.062,536,50
0.052000000000000005%,537,34
0.042%,538,91
0.052,539,47
0.05,540,0
,541,89
0.04,542,42
0.05%,543,60
0.035,544,29
0.059,545,28
0.057%,546,56
0.051,547,70
0.099,548,17
0.039,549,100
0.078,550,87
0.042,551,38
0.069,552,32
0.069,553,32
0.056,554,54
0.052,555,47
0.047,556,63
0.07,557,22
0.047,558,63
0.052,559,47
0.056,560,54
0.048,561,67
0.078,562,87
0.057999999999999996%,563,55
0.054,564,35
0.085,565,13
,566,89
0.068%,567,26
0.051%,568,44
0.051%,569,44
0.05,570,0
0.05%,571,60
0.05,572,0
0.05,573,0
0.045,574,39
0.05,575,0
0.052,576,47
0.051,577,70
0.072,578,10
0.095,579,96
0.075,580,4
0.07,581,22
0.06,582,15
0.05,583,0
0.07%,584,23
0.045,585,39
0.065,586,7
0.055,587,8
0.045%,588,6
0.08%,589,71
0.055,590,8
0.057%,591,56
0.057%,592,56
0.052,593,47
0.089,594,101
0.049,595,20
0.05,596,0
0.05%,597,60
0.055,598,8
0.062,599,50
0.082,600,16
0.055,601,8
0.055,602,8
0.06,603,15
0.045,604,39
0.07,605,22
0.07,606,22
0.063,607,73
0.07%,608,23
0.07,609,22
0.07,610,22
0.055,611,8
0.052,612,47
0.075,613,4
0.075,614,4
0.08,615,40
0.05%,616,60
0.055,617,8
0.055%,618,30
0.05%,619,60
0.07200000000000001%,620,102
0.075,621,4
0.05%,622,60
0.048,623,67
0.06,624,15
0.045,625,39
0.062%,626,69
0.065,627,7
0.038%,628,77
0.055999999999999994%,629,52
0.067,630,74
0.06%,631,64
0.044,632,19
0.047,633,63
0.062,634,50
0.046,635,78
0.065,636,7
0.052,637,47
0.052,638,47
0.058,639,57
0.068,640,61
0.048,641,67
0.056,642,54
0.05,643,0
0.052,644,47
0.057,645,48
0.061,646,75
0.038,647,37
0.05%,648,60
0.048%,649,53
0.075%,650,103
0.077,651,5
0.06,652,15
0.075%,653,103
0.059,654,28
,655,89
,656,89
0.052,657,47
0.06,658,15
0.052,659,47
0.065,660,7
0.045%,661,6
0.049%,662,21
0.055%,663,30
0.056,664,54
0.065,665,7
0.066,666,1
0.055%,667,30
0.045,668,39
0.055%,669,30
0.069,670,32
0.06,671,15
0.06%,672,64
0.052,673,47
0.049%,674,21
0.054,675,35
0.08,676,40
0.063,677,73
0.045%,678,6
0.06%,679,64
0.08,680,40
0.05%,681,60
0.053,682,46
0.055,683,8
0.092,684,65
0.065%,685,45
0.07,686,22
0.06,687,15
0.065%,688,45
0.065%,689,45
0.07200000000000001%,690,102
0.055,691,8
0.05,692,0
0.05,693,0
0.063%,694,104
0.06%,695,64
0.075%,696,103
0.085,697,13
0.06%,698,64
0.07,699,22
0.048,700,67
0.046,701,78
0.052000000000000005%,702,34
0.07,703,22
0.045,704,39
0.05,705,0
0.059,706,28
0.056,707,54
0.065,708,7
0.058,709,57
0.07,710,22
0.05%,711,60
0.05%,712,60
0.052000000000000005%,713,34
0.049%,714,21
0.063%,715,104
0.05,716,0
0.05%,717,60
0.096,718,90
0.049%,719,21
0.044000000000000004%,720,76
0.052,721,47
0.054000000000000006%,722,58
,723,89
0.071,724,2
0.074,725,105
0.045%,726,6
0.065%,727,45
,728,89
,729,89
,730,89
,731,89
,732,89
,733,89
,734,89
0.049,735,20
0.051,736,70
0.066%,737,93
0.051,738,70
0.043,739,49
0.057999999999999996%,740,55
0.061%,741,14
0.045%,742,6
0.05,743,0
0.078,744,87
0.06,745,15
0.05,746,0
0.055,747,8
0.045,748,39
0.078,749,87
0.057%,750,56
0.049,751,20
0.07,752,22
0.05%,753,60
0.052,754,47
0.052,755,47
0.05%,756,60
0.062,757,50
0.043%,758,99
0.062,759,50
0.049%,760,21
0.07%,761,23
0.051,762,70
0.052,763,47
0.048,764,67
0.054,765,35
0.04%,766,106
0.085,767,13
0.055,768,8
0.027000000000000003%,769,107
0.055%,770,30
0.05,771,0
0.045,772,39
0.067,773,74
0.063%,774,104
0.07,775,22
0.07,776,22
0.05%,777,60
0.05,778,0
0.05,779,0
0.07%,780,23
0.075%,781,103
0.046,782,78
0.051,783,70
0.075,784,4
0.069,785,32
0.05,786,0
0.081,787,82
0.08199999999999999%,788,68
0.082,789,16
0.055%,790,30
0.045,791,39
0.055%,792,30
0.048,793,67
0.09%,794,3
0.08,795,40
0.086,796,9
0.05,797,0
0.053%,798,98
0.08%,799,71
0.055,800,8
0.075,801,4
0.055,802,8
0.047%,803,59
0.045,804,39
0.075,805,4
0.053,806,46
0.047,807,63
0.047,808,63
0.065,809,7
0.05,810,0
0.06,811,15
,812,89
0.055%,813,30
0.071%,814,108
0.047,815,63
0.04,816,42
0.07,817,22
0.078,818,87
0.06%,819,64
0.065%,820,45
0.045,821,39
0.05,822,0
0.069,823,32
0.052000000000000005%,824,34
0.062%,825,69
0.045,826,39
0.065,827,7
0.062,828,50
0.067,829,74
0.058,830,57
0.052,831,47
0.055,832,8
0.088,833,80
0.051,834,70
0.07400000000000001%,835,109
,836,89
0.047%,837,59
0.056,838,54
0.046,839,78
0.063,840,73
0.085,841,13
0.072,842,10
0.047,843,63
0.076%,844,110
0.057,845,48
0.052,846,47
0.055,847,8
0.05,848,0
0.06,849,15
0.064,850,72
0.04%,851,106
0.052,852,47
0.06,853,15
